year,Company,CIK,Revenue
2012,AAPL,320193,156508
2012,AMZN,1018724,61093
2012,FB,1326801,5089
2012,JPM,19617,97031
2012,V,1403161,10421
2012,INTC,50863,53341
2012,UNH,731766,110618
2012,T,732717,127434
2012,DIS,1001039,10782
2012,VZ,732712,115846
2012,PFE,78003,58986
2012,CSCO,858877,46061
2012,ADBE,796343,4403677
2012,BA,12927,68735
2012,NFLX,1065280,3609282
2012,ABT,1800,39873910
2012,CRM,1108524,3050195
2012,NVDA,1045810,4280159
2012,AMGN,318154,17265
2012,IBM,51143,104507
2012,UNP,100885,20926
2012,LLY,59478,22603.4
2012,TXN,97476,12825
2012,TSLA,1318605,413256
2012,QCOM,804328,19121
2012,AMT,1053507,2875960
2012,CVS,64803,123133
2012,GILD,882095,9702517
2012,BDX,10795,7708382
2012,CI,701221,29119
2012,CME,1156375,2914.6
2012,TJX,109198,23191455
2012,ANTM,1156039,61711.7
2012,SPGI,64040,4450
2012,INTU,896878,4151
2012,SO,92122,16537000000
2012,DUK,1326160,19624
2012,D,715957,13093
2012,FISV,798354,4482
2012,ISRG,1035267,2178.8
2012,MS,895421,26112
2012,CL,21665,17085
2012,RTN,1047122,24414
2012,MU,723125,8234
2012,VRTX,875320,333994
2012,BIIB,875045,5516461
2012,ITW,49826,17924
2012,BSX,885725,7249
2012,AMAT,6951,8719
2012,TGT,27419,22726
2012,NSC,702165,11040
2012,SCHW,316709,4883
2012,AON,315293,11514
2012,WM,823768,13649
2012,AMD,2488,5422
2012,EQIX,1101239,1895744
2012,HUM,49071,9557
2012,EW,1099800,1899.6
2012,LRCX,707549,2665192
2012,ATVI,718877,4856
2012,ADSK,769397,2312.2
2012,ILMN,1110803,1148516
2012,MCO,1059556,2730.3
2012,ADI,6281,2701142
2012,ETN,1551182,16311
2012,KMI,1506307,9973000000
2012,MAR,1048286,11814
2012,ALL,899051,33315
2012,MET,1099219,68150
2012,PRU,1137774,84815
2012,CNC,1071739,8667612
2012,OXY,797468,24172
2012,XEL,72903,10128223
2012,CTSH,1058290,7346472
2012,DAL,27904,36670
2012,YUM,1041061,13633
2012,EA,712515,4143
2012,OKE,1039684,12632559
2012,ORLY,898173,6182184
2012,JCI,833444,10403
2012,TDG,1260221,1700208
2012,EQR,906107,2123715000
2012,MSI,68505,8698
2012,PEG,788784,9781
2012,ES,72741,6273787
2012,SBAC,1034054,954084
2012,WLTW,1140536,3480
2012,FLT,1175454,707534
2012,MCK,927653,122734
2012,KLAC,319201,3171944
2012,EIX,827052,11862
2012,PCAR,75362,17050.5
2012,VFC,103379,10879855
2012,AZO,866787,8603863
2012,SWK,93556,10190.5
2012,MCHP,827054,1383176000
2012,CMI,26172,17334
2012,DTE,936340,8791
2012,CERN,804753,2665436
2012,MSCI,1408198,72524
2012,TSN,100493,33278
2012,CSGP,1057352,349936
2012,RMD,943819,1368515
2012,ANSS,1013462,798018
2012,IDXX,874716,1293338
2012,LVS,1300514,11131132
2012,SNPS,883241,1756017
2012,XLNX,743988,2240736
2012,BXP,1037540,1876267
2012,AMP,820027,10259
2012,HSY,47111,6644252
2012,VTR,740260,2485299
2012,DXCM,1093557,99.9
2012,HIG,874766,26412
2012,ALGN,1097149,560041
2012,RSG,1060391,8118300000
2012,CPRT,900075,924191
2012,ESS,920522,543425
2012,HAL,45012,28503
2012,CDW,1402057,2601
2012,AJG,354190,2520.3
2012,CMS,811156,6253
2012,MTD,1037646,2341528
2012,LH,920148,5671.4
2012,ACGL,947484,3482381
2012,COO,711404,1445136
2012,FTNT,1262039,533639
2012,MRVL,1058057,3168630
2012,KSU,54480,2238.6
2012,OMC,29989,14219.4
2012,MGM,789570,9160844
2012,BMRN,1048477,500723
2012,MAA,912595,497165
2012,CTL,18926,18376
2012,PFG,1126328,2295.9
2012,EXPE,1324424,4030347
2012,CTXS,877890,2586123
2012,AKAM,1086222,1373947
2012,DGX,1022079,7382562
2012,WAB,943452,2391122
2012,HOLX,859737,2002652
2012,SUI,912593,339616
2012,WPC,1025378,373995
2012,LDOS,1336920,11173
2012,GRMN,1121788,2715675
2012,MAS,62996,7745
2012,WAT,1000697,1843641
2012,LNT,352541,3094.5
2012,ABC,1140859,19452974
2012,NTAP,1002047,6233.2
2012,LNG,3570,266220
2012,L,60086,14552
2012,TDY,1094285,2127.3
2012,TTWO,946581,148084
2012,INCY,879169,297059
2012,DRE,783280,1109440000
2012,IT,749251,1615808
2012,NDAQ,1120193,3119
2012,CE,1306830,6418
2012,FMC,37785,3748.3
2012,HRL,48465,8230670
2012,FNF,1331875,7201.7
2012,WYNN,1174922,5154284000
2012,IEX,832101,1954258
2012,XRAY,818479,2928429
2012,JKHY,779152,1027109
2012,MKTX,1278021,198204
2012,ELS,895417,709877000
2012,HST,1070750,5286
2012,TER,97210,248404
2012,TXT,217346,12237
2012,WU,1365135,1424.7
2012,AVY,8818,6035.6
2012,MPW,1287865,201397
2012,VMW,1124610,4605047
2012,URI,1067701,1249
2012,PODD,1145197,211369
2012,DPZ,1286681,1678439
2012,PHM,822416,1566966
2012,TRMB,864749,2040113
2012,UHS,352915,6961400
2012,PNW,764622,3301804
2012,WRB,11544,5823554
2012,BRO,79282,1200032
2012,FDS,1013237,805793
2012,PKI,31791,2115205
2012,REG,910606,496920
2012,LKQ,1065696,4122930
2012,CCK,1219601,2037
2012,NDSN,72331,1409578
2012,NBL,72207,4223
2012,FBHS,1519751,3591.1
2012,MRO,101778,16221
2012,GWRE,1528396,232061
2012,NRG,1013871,8422
2012,WEX,1309108,623151
2012,FRT,34903,608018
2012,WHR,106640,18143
2012,CF,1324404,1481.4
2012,ALB,915913,687596
2012,OGE,1021635,3671.2
2012,LYV,1335258,5819047
2012,AAP,1158449,6205003
2012,IPG,51644,6956.2
2012,CGNX,851205,324279
2012,PTC,857005,1255679
2012,PCG,1004980,15040
2012,SEIC,350894,992522
2012,UGI,884614,6519.2
2012,CY,791915,769687
2012,AZPN,929940,243134
2012,POOL,945841,1953974
2012,NOV,1021860,20041
2012,LII,1069202,2949.4
2012,ABMD,815094,126375
2012,RNR,913144,348430
2012,G,1398659,1901971
2012,AIZ,1267238,8508270
2012,AFG,1042046,5062
2012,MOH,1179929,6028763
2012,ALK,766421,4657
2012,JAZZ,1232524,585979
2012,EEFT,1029199,351246
2012,KIM,879101,922304
2012,BIO,12208,2069235
2012,AIV,922864,1033197
2012,TPR,1116132,4763180
2012,NWL,814453,5902.7
2012,OLED,1005284,83244
2012,JNPR,1043604,4365.4
2012,RS,861884,8442.3
2012,ST,1477294,1913910
2012,ENTG,1101302,715903
2012,LPLA,1397911,3661088
2012,SLG,1040971,1400255
2012,CRL,1100682,1129530
2012,ATR,896622,2331036
2012,IONS,874015,102049
2012,NLSN,1492633,5612
2012,BG,1144519,60991
2012,FLIR,354908,1405358
2012,KSS,885639,19279
2012,BEN,38777,7101
2012,PFPT,1212458,106295
2012,DEI,1364250,578999
2012,IVZ,914208,4177
2012,WBC,1390844,2477.4
2012,SPR,1364885,1425.6
2012,FAF,1472787,4541821
2012,CACI,16058,3774473
2012,XRX,108772,22390
2012,CIEN,936395,1833923
2012,ORI,74260,4970.1
2012,HTA,1360604,299644
2012,FLS,30625,4751339
2012,DNKN,1357204,658181
2012,OSK,775158,8180.9
2012,BWXT,1486957,3291359
2012,UNM,5513,10515.4
2012,MDU,67716,4075431
2012,STLD,1022671,7290234
2012,LEG,58492,3720.8
2012,INGR,1046257,6532
2012,JBL,898293,17151941
2012,RL,1037038,6859.5
2012,NATI,935494,1143692
2012,SON,91767,4786129
2012,SEE,1012100,7648.1
2012,SNX,1177394,10285507
2012,SRCL,861878,1913149
2012,WSO,105016,3431712
2012,NUAN,1002517,1651509
2012,LB,701985,10459
2012,NXST,1142417,378632
2012,EPR,1045450,83362
2012,NYT,71691,1990080
2012,EXEL,939767,47450
2012,THG,944695,4590.7
2012,CREE,895419,1164658
2012,AXS,1214816,3926565
2012,EV,350797,1209036
2012,M,794367,26405
2012,HBI,1359841,1153256
2012,LSI,944314,236007
2012,SRC,1308606,282852
2012,HE,354707,3374995
2012,WPX,1518832,3189
2012,FHN,36966,1281996
2012,BC,14930,3748
2012,ZNGA,1439404,1281267
2012,MTG,876437,1378364
2012,IPGP,1111928,562528
2012,MANH,1056696,376248
2012,MAT,63276,6420881
2012,SMG,825542,401.2
2012,HEI,46619,897347
2012,AL,1487712,58366
2012,DISCA,1437107,4487
2012,HUN,1307954,11187
2012,KNX,1492691,3493182
2012,HP,46765,3151802
2012,CIT,1171825,1057.8
2012,CACC,885550,609.2
2012,DLB,1308547,926264
2012,CR,25445,2579068
2012,LSTR,853816,2793420
2012,LAZ,1311370,1994013
2012,LFUS,889331,667913
2012,NCR,70866,5730
2012,AGO,1273813,973
2012,CLH,822818,558962
2012,FL,850209,5623
2012,UTHR,1082554,916076
2012,FSLR,1274494,3368545
2012,ADS,1101215,3641390
2012,HLF,1180262,4072330
2012,TPX,1206264,1402.9
2012,WEN,30697,2505242
2012,ERIE,922621,1372
2012,GPS,39911,15651
2012,NKTR,906709,81191
2012,ICUI,883984,316869
2012,AVT,8858,25707522
2012,VSAT,797721,863627
2012,COHR,21510,769088
2012,GRA,1045309,3155.5
2012,CHH,1046311,691509
2012,CFX,1420800,3913856
2012,LM,704051,2662574
2012,CNK,1385280,2473531
2012,OFC,860546,528007
2012,MAC,912242,881323
2012,MUR,717423,28626046
2012,PEGA,1013857,461710
2012,UHAL,4457,2502675
2012,H,1468174,3949
2012,APLE,1418121,365586
2012,MSM,1003078,2355918
2012,MORN,1289419,658288
2012,EVR,1360901,657674
2012,RIG,1451505,9196
2012,NEU,1282637,2223309
2012,DKS,1089063,5836119
2012,TDC,816761,2665
2012,FLR,1124198,27577135
2012,OLN,74303,2184.7
2012,THS,1320695,2182125
2012,CXP,1252849,576691
2012,SLGN,849869,3588318
2012,CBT,16040,3300
2012,CLR,732834,2572520
2012,TREE,1434621,54617
2012,GHC,104889,1050096
2012,WLK,1262823,801041
2012,TRN,99780,3811.9
2012,WCC,929008,6579301
2012,HAIN,910406,1378247
2012,KOS,1509991,672209
2012,SBGI,912752,1061679
2012,URBN,912615,2473801
2012,BGCP,1094831,1766993
2012,AMCX,1514991,1352577
2012,PTEN,889900,2723414
2012,X,1163302,19328
2012,PPC,802481,8121382
2012,MCY,64996,2783370
2012,CNA,21175,9547
2012,ANAT,904163,2987060
2012,CHK,895126,12316
2012,RRC,315852,458038
