year,Company,CIK,Revenue
2017,AAPL,320193,2.29E+11
2017,AMZN,1018724,1.78E+11
2017,FB,1326801,40653000000
2017,GOOGL,1652044,1.11E+11
2017,JPM,19617,7248000000
2017,INTC,50863,62761000000
2017,UNH,731766,2.01E+11
2017,T,732717,1.61E+11
2017,DIS,1001039,55137000000
2017,VZ,732712,1.26E+11
2017,CSCO,858877,48005000000
2017,ADBE,796343,7301505000
2017,BA,12927,93392000000
2017,WMT,104169,5.00E+11
2017,MDT,1613103,29710000000
2017,NFLX,1065280,11692713000
2017,ABT,1800,27390000000
2017,NVDA,1045810,9714000000
2017,PYPL,1633917,13094000000
2017,AMGN,318154,22849000000
2017,IBM,51143,79139000000
2017,UNP,100885,21240000000
2017,LLY,59478,22871300000
2017,TXN,97476,3750000000
2017,TSLA,1318605,11758751000
2017,QCOM,804328,22291000000
2017,AMT,1053507,6663900000
2017,CVS,64803,1.85E+11
2017,GILD,882095,26107000000
2017,CHTR,1091667,10602000000
2017,CI,701221,41616000000
2017,CME,1156375,3644700000
2017,TJX,109198,33183744000
2017,ANTM,1156039,90039400000
2017,SPGI,64040,1589000000
2017,INTU,896878,5177000000
2017,SO,92122,1652000000
2017,D,715957,12586000000
2017,FISV,798354,5696000000
2017,ISRG,1035267,3128900000
2017,ZTS,1555280,5307000000
2017,CL,21665,15454000000
2017,RTN,1047122,25348000000
2017,AGN,1578845,15940700000
2017,MU,723125,20322000000
2017,VRTX,875320,651634000
2017,BIIB,875045,12273900000
2017,ITW,49826,14314000000
2017,BSX,885725,9048000000
2017,AMAT,6951,14537000000
2017,TGT,27419,71879000000
2017,NSC,702165,10551000000
2017,SCHW,316709,8618000000
2017,AON,315293,2909000000
2017,WM,823768,14485000000
2017,AMD,2488,1480000000
2017,EQIX,1101239,4368428000
2017,ICE,1571949,5834000000
2017,AEP,4904,15424900000
2017,HUM,49071,13189000000
2017,EW,1099800,3435300000
2017,LRCX,707549,8013620000
2017,ATVI,718877,7017000000
2017,ADSK,769397,2056600000
2017,BAX,10456,10163000000
2017,ILMN,1110803,2752000000
2017,MCO,1059556,4204100000
2017,ADI,6281,5107503000
2017,KMI,1506307,13705000000
2017,MAR,1048286,22894000000
2017,ALL,899051,38524000000
2017,DD,30554,7053000000
2017,MET,1099219,62308000000
2017,PRU,1137774,59689000000
2017,CNC,1071739,48382000000
2017,OXY,797468,12508000000
2017,XEL,72903,11404000000
2017,CTSH,1058290,14810000000
2017,TRV,86312,7451000000
2017,DAL,27904,41244000000
2017,YUM,1041061,5878000000
2017,INFO,1598014,3599700000
2017,HLT,1585689,9140000000
2017,EA,712515,4845000000
2017,OKE,1039684,12173907000
2017,ORLY,898173,8977726000
2017,JCI,833444,30172000000
2017,TDG,1260221,3504286000
2017,WDAY,1327811,2143050000
2017,MSI,68505,6380000000
2017,PEG,788784,9084000000
2017,ES,72741,7751952000
2017,SBAC,1034054,1727674000
2017,FLT,1175454,2249538000
2017,MCK,927653,1.99E+11
2017,KLAC,319201,3480014000
2017,EIX,827052,12320000000
2017,SQ,1512673,2214253000
2017,PPL,922224,7447000000
2017,AZO,866787,10888676000
2017,SWK,93556,12747200000
2017,TWTR,1418091,2443299000
2017,SPLK,1353283,1270788000
2017,MCHP,827054,3407807000
2017,CMI,26172,20428000000
2017,DTE,936340,12607000000
2017,CERN,804753,5142272000
2017,MSCI,1408198,334779000
2017,TSN,100493,38260000000
2017,CSGP,1057352,965230000
2017,ANSS,1013462,1095250000
2017,PXD,1038357,5455000000
2017,IDXX,874716,1969058000
2017,LVS,1300514,12882000000
2017,SNPS,883241,2724880000
2017,PANW,1327567,509100000
2017,XLNX,743988,2349330000
2017,BXP,1037540,2602076000
2017,LYB,1489393,34484000000
2017,ALXN,899866,3551100000
2017,HSY,47111,7515426000
2017,VTR,740260,3574149000
2017,DXCM,1093557,718500000
2017,HIG,874766,16974000000
2017,ALGN,1097149,1473413000
2017,CLX,21076,5973000000
2017,RSG,1060391,10041500000
2017,CPRT,900075,1447981000
2017,ESS,920522,1363899000
2017,HAL,45012,20620000000
2017,CDW,1402057,3838600000
2017,AJG,354190,6159600000
2017,CMS,811156,6583000000
2017,MTD,1037646,2725053000
2017,LH,920148,10441400000
2017,TFX,96943,2146303000
2017,ACGL,947484,5627375000
2017,COO,711404,2139000000
2017,FTNT,1262039,1494930000
2017,MRVL,1058057,2409170000
2017,KSU,54480,2582900000
2017,OMC,29989,15273600000
2017,CINF,20286,5732000000
2017,MGM,789570,10773904000
2017,BMRN,1048477,1313646000
2017,PAYC,1590955,433047000
2017,CTL,18926,5323000000
2017,TWLO,1447669,399020000
2017,PFG,1126328,14093200000
2017,EXPE,1324424,10059844000
2017,RNG,1384905,501526000
2017,CTXS,877890,2824686000
2017,AKAM,1086222,2502996000
2017,BURL,1579298,6110043000
2017,DGX,1022079,7709000000
2017,WAB,943452,3881756000
2017,HOLX,859737,3058800000
2017,SUI,912593,982570000
2017,WPC,1025378,848302000
2017,LDOS,1336920,4712000000
2017,GRMN,1121788,3087004000
2017,MAS,62996,7644000000
2017,LBRDK,1611983,13092000
2017,WAT,1000697,2309078000
2017,LNT,352541,3382200000
2017,ABC,1140859,1.53E+11
2017,NTAP,1002047,5519000000
2017,LNG,3570,5601000000
2017,L,60086,13735000000
2017,CBOE,1374310,2229100000
2017,ANET,1596532,1646186000
2017,FOXA,1308161,28500000000
2017,TDY,1094285,704400000
2017,TTWO,946581,1779748000
2017,INCY,879169,1536216000
2017,DRE,783280,780934000
2017,IT,749251,3311494000
2017,NDAQ,1120193,3965000000
2017,CE,1306830,6140000000
2017,HAS,46080,5209782000
2017,ZBRA,877212,3722000000
2017,WYNN,1174922,6306368000
2017,QRVO,1604778,642992000
2017,IEX,832101,2287312000
2017,STE,1624899,2612756000
2017,XRAY,818479,3993400000
2017,JKHY,779152,383769000
2017,MKTX,1278021,397471000
2017,HST,1070750,5387000000
2017,MYL,1623613,11907700000
2017,TXT,217346,14198000000
2017,AVY,8818,6086500000
2017,NCLH,1513761,5396175000
2017,WST,105770,1509100000
2017,URI,1067701,1922000000
2017,PODD,1145197,463768000
2017,AAL,6201,42207000000
2017,DPZ,1286681,2787979000
2017,PHM,822416,8573250000
2017,TRMB,864749,2654200000
2017,UHS,352915,10409865000
2017,PNW,764622,3565296000
2017,WRB,11544,7684764000
2017,BRO,79282,1881347000
2017,FDS,1013237,1221179000
2017,ROKU,1428439,512763000
2017,WRK,1636023,14859700000
2017,PKI,31791,2256982000
2017,ARMK,1584509,14604412000
2017,REG,910606,984326000
2017,LKQ,1065696,9736909000
2017,HSIC,1000228,12461543000
2017,VER,1507385,1252285000
2017,CCK,1219601,8698000000
2017,NDSN,72331,2066982000
2017,NBL,72207,4256000000
2017,FBHS,1519751,5283300000
2017,COUP,1385867,186780000
2017,MRO,101778,4765000000
2017,GWRE,1528396,514284000
2017,BFAM,1437578,1740905000
2017,ZEN,1463172,430492000
2017,GLPI,1575965,240697000
2017,MTN,812011,1907218000
2017,NRG,1013871,10629000000
2017,WEX,1309108,1250548000
2017,RGA,898174,12515769000
2017,WHR,106640,21253000000
2017,ALB,915913,3071976000
2017,OGE,1021635,2261100000
2017,LYV,1335258,10337448000
2017,AAP,1158449,2036986000
2017,IPG,51644,7882400000
2017,CGNX,851205,747950000
2017,PTC,857005,1164039000
2017,PCG,1004980,17135000000
2017,SEIC,350894,1526552000
2017,UGI,884614,6120700000
2017,CY,791915,2327771000
2017,AZPN,929940,482942000
2017,CTLT,1596783,2075400000
2017,POOL,945841,2788188000
2017,LII,1069202,3839600000
2017,ABMD,815094,445304000
2017,RNR,913144,491293000
2017,XPO,1166003,15380800000
2017,STOR,1538990,452847000
2017,VOYA,1535929,8618000000
2017,AIZ,1267238,6415000000
2017,AFG,1042046,6865000000
2017,CZR,858339,4852000000
2017,MOH,1179929,19883000000
2017,ALK,766421,7933000000
2017,JAZZ,1232524,1618693000
2017,EEFT,1029199,604645000
2017,KIM,879101,1200834000
2017,ZAYO,1608249,2199800000
2017,AIV,922864,1005437000
2017,TPR,1116132,4488300000
2017,MPWR,1280452,470929000
2017,NWL,814453,14742200000
2017,OLED,1005284,335629000
2017,JNPR,1043604,5027200000
2017,RS,861884,9721000000
2017,ST,1477294,3306733000
2017,ENTG,1101302,1342532000
2017,LPLA,1397911,4281481000
2017,SLG,1040971,1511473000
2017,CRL,1100682,1857601000
2017,CHE,19584,1666724000
2017,ATR,896622,2469283000
2017,IONS,874015,507666000
2017,NLSN,1492633,6572000000
2017,BG,1144519,45794000000
2017,PRGO,1585364,2632200000
2017,FLIR,354908,1800434000
2017,KSS,885639,19095000000
2017,BEN,38777,6392200000
2017,HUBS,1404655,375612000
2017,STWD,1465128,879888000
2017,PFPT,1212458,515289000
2017,DEI,1364250,812052000
2017,IVZ,914208,5160300000
2017,WBC,1390844,3304200000
2017,SPR,1364885,1714600000
2017,FAF,1472787,5772363000
2017,MDB,1441816,154519000
2017,PRAH,1613859,2259389000
2017,PLNT,1637207,429942000
2017,ATH,1527469,8727000000
2017,CIEN,936395,2801687000
2017,ORI,74260,6263100000
2017,HTA,1360604,613990000
2017,FLS,30625,3660831000
2017,FIVE,1177609,1278208000
2017,DNKN,1357204,860501000
2017,OSK,775158,6829600000
2017,BWXT,1486957,1687738000
2017,ITT,216228,2585300000
2017,UNM,5513,11286800000
2017,MDU,67716,4443351000
2017,STLD,1022671,9538797000
2017,W,1616707,4720895000
2017,AXTA,1616862,4377000000
2017,SABR,1597033,881862000
2017,LEG,58492,3943800000
2017,Z,1617640,1076794000
2017,CUZ,25232,466185000
2017,JBL,898293,19063121000
2017,RL,1037038,6652800000
2017,NATI,935494,1289386000
2017,CASY,726958,7506587000
2017,NTNX,1618732,226102000
2017,SON,91767,5036650000
2017,BERY,1378992,1881000000
2017,ETSY,1370637,441231000
2017,SNX,1177394,17045700000
2017,SRCL,861878,3580700000
2017,WSO,105016,4341955000
2017,NUAN,1002517,1939362000
2017,LB,701985,4823000000
2017,EPR,1045450,575991000
2017,NYT,71691,1675639000
2017,EXEL,939767,452477000
2017,THG,944695,5184400000
2017,AXS,1214816,4591595000
2017,EV,350797,1529010000
2017,HOG,793952,5647224000
2017,M,794367,25778000000
2017,HBI,1359841,1645175000
2017,HE,354707,2555625000
2017,WPX,1518832,1336000000
2017,PRI,1475922,1689102000
2017,FHN,36966,1332533000
2017,BC,14930,4510000000
2017,GRUB,1594109,683067000
2017,ZNGA,1439404,861390000
2017,MTG,876437,1066054000
2017,IPGP,1111928,1408889000
2017,MANH,1056696,594599000
2017,HHC,1498828,1100120000
2017,MAT,63276,4881951000
2017,SMG,825542,376700000
2017,HEI,46619,1524813000
2017,GDI,1699150,2375400000
2017,AL,1487712,1516380000
2017,DISCA,1437107,6873000000
2017,HUN,1307954,8358000000
2017,PCTY,1591698,300010000
2017,HP,46765,1804741000
2017,BHF,1685040,6842000000
2017,CACC,885550,1110000000
2017,DLB,1308547,1081454000
2017,CR,25445,2786000000
2017,LSTR,853816,3646364000
2017,LAZ,1311370,2697829000
2017,NCR,70866,6516000000
2017,AGO,1273813,1739000000
