year,Company,CIK,Revenue
2014,AAPL,320193,182795
2014,AMZN,1018724,88988
2014,FB,1326801,12466
2014,JPM,19617,94205
2014,V,1403161,12702
2014,INTC,50863,55870
2014,UNH,731766,130474
2014,T,732717,132447
2014,DIS,1001039,48813
2014,VZ,732712,127079
2014,CSCO,858877,47142
2014,ADBE,796343,4147065
2014,BA,12927,90762
2014,NFLX,1065280,5504656
2014,ABT,1800,20247
2014,NVDA,1045810,4681507
2014,AMGN,318154,20063
2014,IBM,51143,92793
2014,UNP,100885,23988
2014,LLY,59478,19615.6
2014,TXN,97476,13045
2014,TSLA,1318605,3198356
2014,QCOM,804328,26487
2014,AMT,1053507,4100048
2014,CVS,64803,139367
2014,GILD,882095,24890
2014,CHTR,1091667,2360
2014,BDX,10795,8446
2014,CI,701221,34914
2014,CME,1156375,3112.5
2014,TJX,109198,29078407
2014,ANTM,1156039,73874.1
2014,SPGI,64040,5051
2014,INTU,896878,4506
2014,SO,92122,18467000000
2014,DUK,1326160,23925
2014,D,715957,12436
2014,FISV,798354,5066
2014,ISRG,1035267,2131.7
2014,MS,895421,34275
2014,CL,21665,17277
2014,RTN,1047122,22826
2014,AGN,1578845,13062.3
2014,MU,723125,16358
2014,VRTX,875320,580415
2014,BIIB,875045,9703324
2014,ITW,49826,14484
2014,BSX,885725,7380
2014,AMAT,6951,9072
2014,TGT,27419,72618
2014,NSC,702165,11624
2014,SCHW,316709,6058
2014,AON,315293,3299
2014,WM,823768,13996
2014,AMD,2488,5506
2014,EQIX,1101239,2443776
2014,ICE,1571949,4221
2014,HUM,49071,12328
2014,EW,1099800,2322.9
2014,LRCX,707549,4607309
2014,AIG,5272,64406
2014,ATVI,718877,4408
2014,ADSK,769397,2512.2
2014,BAX,10456,16671
2014,ILMN,1110803,1861358
2014,MCO,1059556,3334300000
2014,ADI,6281,2864773
2014,ETN,1551182,22552
2014,KMI,1506307,16226
2014,MAR,1048286,13796
2014,ALL,899051,35239
2014,MET,1099219,73316
2014,PRU,1137774,54105
2014,CNC,1071739,16560
2014,XEL,72903,11686135
2014,CTSH,1058290,10262681
2014,DAL,27904,40362
2014,YUM,1041061,13279
2014,HLT,1585689,2828
2014,OKE,1039684,12195091
2014,ORLY,898173,7216081
2014,JCI,833444,10340
2014,TDG,1260221,2372906
2014,WDAY,1327811,787860
2014,EQR,906107,2614748
2014,MSI,68505,5881
2014,PEG,788784,10886
2014,ES,72741,7741856
2014,SBAC,1034054,1526996
2014,WLTW,1140536,3802
2014,FLT,1175454,1199390
2014,MCK,927653,137609
2014,KLAC,319201,2929408
2014,EIX,827052,13413
2014,VFC,103379,12282161
2014,AZO,866787,9475313
2014,SWK,93556,11338.6
2014,TWTR,1418091,1403002
2014,SPLK,1353283,450875
2014,MCHP,827054,1931217
2014,CMI,26172,19221
2014,DTE,936340,12301
2014,CERN,804753,3402703
2014,MSCI,1408198,996680
2014,TSN,100493,37580
2014,CSGP,1057352,575936
2014,RMD,943819,1554973
2014,ANSS,1013462,936021
2014,PXD,1038357,5055
2014,IDXX,874716,1485807
2014,LVS,1300514,14583849
2014,SNPS,883241,2057472
2014,PANW,1327567,178231
2014,XLNX,743988,2382531
2014,BXP,1037540,2396998
2014,LYB,1489393,45608
2014,AMP,820027,12296
2014,HSY,47111,7421768
2014,VTR,740260,3075746
2014,DXCM,1093557,259.2
2014,ALGN,1097149,761653
2014,RSG,1060391,8788.3
2014,CPRT,900075,1163489
2014,ESS,920522,969305
2014,HAL,45012,32870
2014,CDW,1402057,3050.1
2014,AJG,354190,4626.5
2014,CMS,811156,7179
2014,MTD,1037646,2485983
2014,FCX,831259,21438000000
2014,LH,920148,6011.6
2014,ACGL,947484,3988873
2014,COO,711404,1717776
2014,FTNT,1262039,770364
2014,MRVL,1058057,3706963
2014,KSU,54480,2577.1
2014,OMC,29989,15317.8
2014,CINF,20286,4945
2014,MGM,789570,10081984
2014,BMRN,1048477,751040
2014,PAYC,1590955,150929
2014,MAA,912595,989296
2014,CTL,18926,18031
2014,ULTA,1403568,2670573
2014,PFG,1126328,10477.6
2014,EXPE,1324424,5763485
2014,RNG,1384905,219887
2014,CTXS,877890,3142856
2014,AKAM,1086222,1963874
2014,BURL,1579298,4849634
2014,DGX,1022079,7435
2014,WAB,943452,3044454
2014,HOLX,859737,2530.7
2014,SUI,912593,471675
2014,WPC,1025378,906193
2014,LDOS,1336920,5063
2014,GRMN,1121788,2870658
2014,MAS,62996,8521
2014,WAT,1000697,1989344
2014,LNT,352541,3350.3
2014,ABC,1140859,119569127
2014,NTAP,1002047,6325.1
2014,LNG,3570,267954
2014,L,60086,14325
2014,ANET,1596532,584106
2014,FOXA,1308161,31867
2014,TDY,1094285,2394
2014,TTWO,946581,195208
2014,INCY,879169,511495
2014,DRE,783280,1164704000
2014,IT,749251,2021441
2014,EXAS,1124140,1798
2014,NDAQ,1120193,3500
2014,CE,1306830,6802
2014,FMC,37785,4037.7
2014,FNF,1331875,8024
2014,WYNN,1174922,5433661
2014,IEX,832101,2147767
2014,XRAY,818479,2922620
2014,JKHY,779152,310938
2014,MKTX,1278021,262774
2014,ELS,895417,776809
2014,HST,1070750,5354
2014,TER,97210,323236
2014,TXT,217346,13878
2014,WU,1365135,1409.9
2014,AVY,8818,6330.3
2014,NCLH,1513761,3125881
2014,WST,105770,1421.4
2014,VMW,1124610,6035
2014,URI,1067701,1564
2014,PODD,1145197,288720
2014,DPZ,1286681,1993833
2014,PHM,822416,1822557
2014,TRMB,864749,2395546
2014,UHS,352915,2107581
2014,PNW,764622,3491632
2014,WRB,11544,7128928
2014,BRO,79282,1575796
2014,FDS,1013237,920335
2014,PKI,31791,2237219
2014,ARMK,1584509,14832913
2014,REG,910606,537898
2014,LKQ,1065696,1684131
2014,HSIC,1000228,10371390
2014,VER,1507385,1579257
2014,CCK,1219601,9097
2014,NDSN,72331,1704021
2014,NBL,72207,5101
2014,FBHS,1519751,4013.6
2014,MRO,101778,11258
2014,GWRE,1528396,350246
2014,BFAM,1437578,1352999
2014,ZEN,1463172,127049
2014,GLPI,1575965,159036
2014,MTN,812011,135488
2014,NRG,1013871,4192
2014,WEX,1309108,817647
2014,RGA,898174,10904194
2014,WHR,106640,19872
2014,CF,1324404,1216.5
2014,ALB,915913,2445548
2014,OGE,1021635,2453.1
2014,LYV,1335258,6866964
2014,AAP,1158449,2237209
2014,IPG,51644,7537.1
2014,CGNX,851205,486270
2014,PTC,857005,1356967
2014,PCG,1004980,17090
2014,SEIC,350894,1266005
2014,UGI,884614,8277.3
2014,CY,791915,725497
2014,AZPN,929940,391453
2014,CTLT,1596783,1827.7
2014,POOL,945841,2246562
2014,NOV,1021860,21440
2014,LII,1069202,3367.4
2014,ABMD,815094,183643
2014,RNR,913144,318798
2014,XPO,1166003,2356.6
2014,G,1398659,2279438
2014,AIZ,1267238,10381653
2014,AFG,1042046,5713
2014,CZR,858339,8516
2014,MOH,1179929,9666601
2014,ALK,766421,5368
2014,JAZZ,1232524,1172875
2014,EEFT,1029199,461951
2014,KIM,879101,993897
2014,BIO,12208,2132694
2014,AIV,922864,984363
2014,TPR,1116132,4806226
2014,MPWR,1280452,282535
2014,NWL,814453,5727
2014,OLED,1005284,191031
2014,JNPR,1043604,4627.1
2014,RS,861884,10451.6
2014,ST,1477294,2409803
2014,ENTG,1101302,962069
2014,LPLA,1397911,4373662
2014,SLG,1040971,1519978
2014,CRL,1100682,1297662
2014,ATR,896622,2597809
2014,IONS,874015,214161
2014,NLSN,1492633,6288
2014,BG,1144519,57161
2014,PRGO,1585364,4060.8
2014,FLIR,354908,1530654
2014,KSS,885639,19023
2014,BEN,38777,8491.4
2014,HUBS,1404655,115876
2014,STWD,1465128,702875
2014,PFPT,1212458,195607
2014,DEI,1364250,599539
2014,IVZ,914208,5147.1
2014,WBC,1390844,2851
2014,SPR,1364885,1574.4
2014,FAF,1472787,4677949
2014,CACI,16058,3564562
2014,XRX,108772,19540
2014,CIEN,936395,2288289
2014,ORI,74260,5530.7
2014,HTA,1360604,371505
2014,FLS,30625,4877885
2014,FIVE,1177609,680218
2014,DNKN,1357204,748709
2014,ARW,7536,22768674
2014,OSK,775158,6808.2
2014,BWXT,1486957,2923019
2014,ITT,216228,2654.6
2014,UNM,5513,10509.7
2014,MDU,67716,4670558
2014,STLD,1022671,8755952
2014,W,1616707,1318951
2014,SABR,1597033,646142
2014,LEG,58492,3782.3
2014,CUZ,25232,361383
2014,JBL,898293,15762146
2014,RL,1037038,7450
2014,NATI,935494,1243862
2014,CASY,726958,7840255
2014,SON,91767,5014534
2014,SEE,1012100,7750.5
2014,BERY,1378992,4958
2014,SNX,1177394,13839590
2014,SRCL,861878,2555601
2014,WSO,105016,3944540
2014,NUAN,1002517,1923451
2014,NXST,1142417,631311
2014,EPR,1045450,104669
2014,NYT,71691,1588528
2014,EXEL,939767,25111
2014,THG,944695,5067.6
2014,AXS,1214816,4346523
2014,EV,350797,1450294
2014,HOG,793952,6228508
2014,M,794367,27931
2014,HBI,1359841,1522596
2014,LSI,944314,326080
2014,SRC,1308606,602871
2014,HE,354707,3239542
2014,WPX,1518832,3493
2014,PRI,1475922,1340030
2014,FHN,36966,1150762000
2014,BC,14930,3838.7
2014,GRUB,1594109,253873
2014,ZNGA,1439404,690410
2014,MTG,876437,941797
2014,IPGP,1111928,769832
2014,MANH,1056696,492104
2014,MAT,63276,6023819
2014,SMG,825542,454.3
2014,HEI,46619,1132311
2014,AL,1487712,1050493
2014,HUN,1307954,11578
2014,KNX,1492691,4298724
2014,PCTY,1591698,108687
2014,HP,46765,3719707
2014,CACC,885550,723.5
2014,DLB,1308547,960176
2014,CR,25445,2924997000
2014,LSTR,853816,3184790
2014,LAZ,1311370,2363017
2014,NCR,70866,6591
2014,AGO,1273813,1994
2014,FL,850209,7151
2014,UTHR,1082554,1288519
2014,FSLR,1274494,3391814
2014,ADS,1101215,5302940
2014,HLF,1180262,4958.6
2014,TPX,1206264,2989.8
2014,WEN,30697,2061063
2014,LOGM,1420302,221956
2014,ERIE,922621,1589
2014,GPS,39911,16435
2014,NKTR,906709,200707
2014,ICUI,883984,309260
2014,AVT,8858,27499654
2014,COHR,21510,794639
2014,GRA,1045309,3243
2014,CHH,1046311,757970
2014,CFX,1420800,4624476
2014,CNK,1385280,2626990
2014,OFC,860546,586473
2014,MAC,912242,1105247
2014,MUR,717423,5476084
2014,PEGA,1013857,590004
2014,MIC,1289790,1350918
2014,UHAL,4457,2835252
2014,H,1468174,4415
2014,FEYE,1370880,425662
2014,MSM,1003078,2787122
2014,MORN,1289419,760071
2014,EVR,1360901,931402
2014,TRIP,1526520,1246
2014,SIX,701374,1175793
2014,RIG,1451505,9174
2014,AGIO,1439222,65358
2014,NEU,1282637,2335405
2014,DKS,1089063,6814479
2014,TDC,816761,2732
2014,FLR,1124198,21531577
2014,OLN,74303,2241.2
2014,THS,1320695,2946102
2014,CXP,1252849,540797
2014,SLGN,849869,3911790
2014,GHC,104889,925343
2014,WLK,1262823,4415350
2014,TRN,99780,6170
2014,WCC,929008,7889626
2014,ESRT,1541401,127583
2014,HAIN,910406,2153611
2014,KOS,1509991,882738
2014,PINC,1577916,910549
2014,SBGI,912752,1976558
2014,URBN,912615,3086608
2014,BGCP,1094831,1787490
2014,PAG,1019849,17177.2
2014,AMCX,1514991,2175641
2014,PTEN,889900,3182291
2014,X,1163302,17507
2014,PPC,802481,8411148
2014,MCY,64996,3011773
2014,CNA,21175,9692
2014,CHK,895126,20951
2014,RRC,315852,872214
