year,Company,CIK,Revenue
2016,AAPL,320193,2.15639E+11
2016,AMZN,1018724,1.35987E+11
2016,FB,1326801,27638000000
2016,GOOGL,1652044,90272000000
2016,V,1403161,15082000000
2016,INTC,50863,59387000000
2016,UNH,731766,1.8484E+11
2016,T,732717,1.63786E+11
2016,DIS,1001039,55632000000
2016,VZ,732712,1.2598E+11
2016,CSCO,858877,49247000000
2016,ADBE,796343,5854430000
2016,BA,12927,94571000000
2016,WMT,104169,4.85873E+11
2016,MDT,1613103,28833000000
2016,NFLX,1065280,8830669000
2016,ABT,1800,20853000000
2016,NVDA,1045810,6910000000
2016,PYPL,1633917,10842000000
2016,AMGN,318154,22991000000
2016,IBM,51143,79919000000
2016,UNP,100885,19941000000
2016,LLY,59478,21222100000
2016,TXN,97476,13370000000
2016,AVGO,1649338,13240000000
2016,TSLA,1318605,7000132000
2016,QCOM,804328,23554000000
2016,AMT,1053507,5785668000
2016,CVS,64803,1.77526E+11
2016,GILD,882095,30390000000
2016,CHTR,1091667,10275000000
2016,BDX,10795,12483000000
2016,CI,701221,39668000000
2016,CME,1156375,3595200000
2016,TJX,109198,33183744000
2016,ANTM,1156039,84863000000
2016,SPGI,64040,1399000000
2016,INTU,896878,4694000000
2016,SO,92122,1652000000
2016,DUK,1326160,22743000000
2016,D,715957,11737000000
2016,FISV,798354,5505000000
2016,ISRG,1035267,2704400000
2016,ZTS,1555280,4888000000
2016,CL,21665,15195000000
2016,RTN,1047122,24069000000
2016,AGN,1578845,14570600000
2016,MU,723125,12399000000
2016,VRTX,875320,1702177000
2016,BIIB,875045,11448800000
2016,ITW,49826,13599000000
2016,BSX,885725,8386000000
2016,AMAT,6951,10825000000
2016,TGT,27419,69495000000
2016,NSC,702165,9888000000
2016,SCHW,316709,7478000000
2016,AON,315293,11627000000
2016,WM,823768,13609000000
2016,AMD,2488,4272000000
2016,EQIX,1101239,3611989000
2016,AEP,4904,16380100000
2016,HUM,49071,12878000000
2016,EW,1099800,2963700000
2016,LRCX,707549,5885893000
2016,AIG,5272,52367000000
2016,ATVI,718877,6608000000
2016,ADSK,769397,2031000000
2016,BAX,10456,10163000000
2016,ILMN,1110803,2398373000
2016,MCO,1059556,3604200000
2016,ADI,6281,3421409000
2016,KMI,1506307,13058000000
2016,MAR,1048286,17072000000
2016,ALL,899051,36534000000
2016,MET,1099219,63476000000
2016,PRU,1137774,58779000000
2016,CNC,1071739,40607000000
2016,OXY,797468,10090000000
2016,XEL,72903,11106920000
2016,CTSH,1058290,13487000000
2016,DAL,27904,39639000000
2016,YUM,1041061,6366000000
2016,INFO,1598014,2734800000
2016,HLT,1585689,11663000000
2016,EA,712515,4396000000
2016,OKE,1039684,8920934000
2016,ORLY,898173,8593096000
2016,JCI,833444,37674000000
2016,TDG,1260221,3171411000
2016,WDAY,1327811,1569407000
2016,EQR,906107,2425800000
2016,MSI,68505,6038000000
2016,PEG,788784,9061000000
2016,ES,72741,7639129000
2016,SBAC,1034054,1633125000
2016,WLTW,1140536,7887000000
2016,FLT,1175454,1831546000
2016,MCK,927653,1.90884E+11
2016,KLAC,319201,2984493000
2016,EIX,827052,11869000000
2016,SQ,1512673,1708721000
2016,PPL,922224,7517000000
2016,AZO,866787,10635676000
2016,SWK,93556,11406900000
2016,TWTR,1418091,2529619000
2016,SPLK,1353283,949955000
2016,MCHP,827054,2173334000
2016,CMI,26172,17509000000
2016,DTE,936340,10630000000
2016,CERN,804753,4796473000
2016,MSCI,1408198,292812000
2016,TSN,100493,36881000000
2016,CSGP,1057352,837630000
2016,ANSS,1013462,988465000
2016,PXD,1038357,3824000000
2016,IDXX,874716,1775423000
2016,LVS,1300514,11410000000
2016,SNPS,883241,2422532000
2016,PANW,1327567,1378500000
2016,XLNX,743988,2213881000
2016,BXP,1037540,2550820000
2016,LYB,1489393,29183000000
2016,ALXN,899866,3084000000
2016,HSY,47111,7440181000
2016,VTR,740260,3443522000
2016,DXCM,1093557,573300000
2016,ALGN,1097149,1079874000
2016,CLX,21076,5761000000
2016,RSG,1060391,9387700000
2016,CPRT,900075,1268449000
2016,ESS,920522,1294001000
2016,HAL,45012,15887000000
2016,CDW,1402057,3492400000
2016,AJG,354190,5594800000
2016,CMS,811156,6399000000
2016,MTD,1037646,2508257000
2016,LH,920148,6011600000
2016,TFX,96943,1868027000
2016,ACGL,947484,4463556000
2016,COO,711404,1966814000
2016,FTNT,1262039,1275443000
2016,MRVL,1058057,2317674000
2016,KSU,54480,2334200000
2016,OMC,29989,15416900000
2016,CINF,20286,5449000000
2016,MGM,789570,9455123000
2016,BMRN,1048477,1116854000
2016,PAYC,1590955,329141000
2016,CTL,18926,17470000000
2016,TWLO,1447669,277335000
2016,PFG,1126328,12394100000
2016,EXPE,1324424,8773564000
2016,RNG,1384905,379724000
2016,CTXS,877890,3418265000
2016,AKAM,1086222,2340049000
2016,BURL,1579298,5590950000
2016,DGX,1022079,7515000000
2016,WAB,943452,2931188000
2016,HOLX,859737,2832700000
2016,SUI,912593,833778000
2016,WPC,1025378,941533000
2016,LDOS,1336920,4712000000
2016,GRMN,1121788,3018665000
2016,MAS,62996,7357000000
2016,WAT,1000697,2167423000
2016,LNT,352541,3320000000
2016,ABC,1140859,37560603000
2016,NTAP,1002047,5546000000
2016,LNG,3570,1283167000
2016,L,60086,13105000000
2016,ANET,1596532,327969000
2016,FOXA,1308161,27326000000
2016,TDY,1094285,552900000
2016,TTWO,946581,1413698000
2016,INCY,879169,1105719000
2016,DRE,783280,902244000
2016,IT,749251,2444540000
2016,EXAS,1124140,99376000
2016,NDAQ,1120193,3705000000
2016,CE,1306830,5389000000
2016,HAS,46080,5019822000
2016,ZBRA,877212,3574000000
2016,HRL,48465,9523224000
2016,WYNN,1174922,4466297000
2016,QRVO,1604778,2610726000
2016,IEX,832101,2113043000
2016,STE,1624899,2238764000
2016,XRAY,818479,3745300000
2016,JKHY,779152,366970000
2016,MKTX,1278021,369919000
2016,HST,1070750,5430000000
2016,MYL,1623613,11076900000
