year,Company,CIK,Revenue
2018,AAPL,320193,2.65595E+11
2018,V,1403161,20609000000
2018,UNH,731766,2.26247E+11
2018,T,732717,1.70756E+11
2018,DIS,1001039,59434000000
2018,VZ,732712,1.30863E+11
2018,KO,21344,31856000000
2018,CSCO,858877,49330000000
2018,ADBE,796343,9030008000
2018,BA,12927,28341000000
2018,WMT,104169,5.14405E+11
2018,MDT,1613103,29953000000
2018,NFLX,1065280,15794341000
2018,AMGN,318154,23747000000
2018,IBM,51143,79591000000
2018,UNP,100885,22832000000
2018,LLY,59478,24555700000
2018,TSLA,1318605,21461268000
2018,QCOM,804328,22732000000
2018,AMT,1053507,7440100000
2018,CVS,64803,1.94579E+11
2018,CHTR,1091667,11231000000
2018,BDX,10795,15983000000
2018,CI,701221,41616000000
2018,CME,1156375,4309400000
2018,TJX,109198,35864664000
2018,ANTM,1156039,92105000000
2018,INTU,896878,5964000000
2018,D,715957,13366000000
2018,FISV,798354,5823000000
2018,PLD,1045609,2804449000
2018,ZTS,1555280,5825000000
2018,RTN,1047122,27058000000
2018,MU,723125,30391000000
2018,BIIB,875045,13452900000
2018,ITW,49826,14768000000
2018,BSX,885725,9048000000
2018,AMAT,6951,17253000000
2018,SCHW,316709,10132000000
2018,AON,315293,2770000000
2018,EQIX,1101239,5071654000
2018,AEP,4904,16195700000
2018,HUM,49071,14168000000
2018,LRCX,707549,11076998000
2018,AIG,5272,47389000000
2018,ADI,6281,6200942000
2018,KMI,1506307,14144000000
2018,MAR,1048286,5289000000
2018,ALL,899051,39815000000
2018,DD,30554,7053000000
2018,MET,1099219,67941000000
2018,PRU,1137774,62992000000
2018,CNC,1071739,60116000000
2018,XEL,72903,11537000000
2018,CTSH,1058290,16125000000
2018,YUM,1041061,1558000000
2018,INFO,1598014,4009200000
2018,EA,712515,5150000000
2018,OKE,1039684,12593196000
2018,JCI,833444,31400000000
2018,TDG,1260221,3811126000
2018,EQR,906107,2578434000
2018,PEG,788784,9696000000
2018,ES,72741,8448201000
2018,SBAC,1034054,1865695000
2018,MCK,927653,2.08357E+11
2018,KLAC,319201,4036701000
2018,EIX,827052,12657000000
2018,SQ,1512673,3298177000
2018,PCAR,75362,23495700000
2018,PPL,922224,7785000000
2018,AZO,866787,11221077000
2018,SWK,93556,13982400000
2018,TWTR,1418091,3042359000
2018,MCHP,827054,3980800000
2018,CMI,26172,23771000000
2018,CERN,804753,5366325000
2018,TSN,100493,40052000000
2018,ANSS,1013462,1293636000
2018,PXD,1038357,9415000000
2018,LVS,1300514,13729000000
2018,SNPS,883241,3121058000
2018,PANW,1327567,658100000
2018,XLNX,743988,2539004000
2018,BXP,1037540,2717076000
2018,LYB,1489393,39004000000
2018,HSY,47111,1987902000
2018,VTR,740260,923263000
2018,HIG,874766,18955000000
2018,CLX,21076,6124000000
2018,CPRT,900075,1805695000
2018,CMS,811156,6873000000
2018,MTD,1037646,2935586000
2018,FCX,831259,3684000000
2018,LH,920148,11333400000
2018,ACGL,947484,5450568000
2018,COO,711404,2532800000
2018,FTNT,1262039,1801200000
2018,KSU,54480,2714000000
2018,INVH,1687229,1722962000
2018,OMC,29989,15290200000
2018,CINF,20286,5407000000
2018,MAA,912595,1571346000
2018,CTL,18926,23443000000
2018,PFG,1126328,3770600000
2018,BURL,1579298,6668479000
2018,DGX,1022079,7531000000
2018,HOLX,859737,3217900000
2018,SUI,912593,1126825000
2018,WPC,1025378,885732000
2018,LBRDK,1611983,22256000
2018,LNT,352541,3534500000
2018,UDR,74208,1046859000
2018,ABC,1140859,1.6794E+11
2018,NTAP,1002047,5911000000
2018,AES,874761,10736000000
2018,LNG,3570,5601000000
2018,EXR,1289490,1196604000
2018,FOXA,1308161,30400000000
2018,TTWO,946581,1792892000
2018,INCY,879169,1881883000
2018,DRE,783280,947870000
2018,HAS,46080,4579646000
2018,WYNN,1174922,6717660000
2018,QRVO,1604778,665383000
2018,IEX,832101,2483666000
2018,STE,1624899,2619996000
2018,JKHY,779152,417229000
2018,NVR,906163,7163674000
2018,MYL,1623613,11433900000
2018,TXT,217346,13972000000
2018,URI,1067701,2306000000
2018,DPZ,1286681,3432867000
2018,PNW,764622,3691247000
2018,WRB,11544,7691651000
2018,BRO,79282,2014246000
2018,FDS,1013237,1350145000
2018,REG,910606,1120975000
2018,HSIC,1000228,13201995000
2018,CCK,1219601,2734000000
2018,NDSN,72331,2254668000
2018,TAP,24545,13338000000
2018,FBHS,1519751,5485100000
2018,MRO,101778,6582000000
2018,GWRE,1528396,661067000
2018,BFAM,1437578,1903182000
2018,GLPI,1575965,303317000
2018,MTN,812011,2011553000
2018,NRG,1013871,9478000000
2018,WEX,1309108,386617000
2018,RGA,898174,12875664000
2018,OHI,888491,881682000
2018,ALB,915913,3374950000
2018,OGE,1021635,2270300000
2018,LYV,1335258,10787800000
2018,IPG,51644,2856000000
2018,PTC,857005,1241824000
2018,KRC,1025996,747298000
2018,DXC,1688568,24556000000
2018,SEIC,350894,1624167000
2018,UGI,884614,1273100000
2018,AZPN,929940,499514000
2018,CTLT,1596783,2463400000
2018,POOL,945841,2998097000
2018,LII,1069202,3883900000
2018,ABMD,815094,593749000
2018,RNR,913144,547997000
2018,XPO,1166003,17279000000
2018,STOR,1538990,540756000
2018,VOYA,1535929,8514000000
2018,ATUS,1702780,9566608000
2018,AIZ,1267238,8057600000
2018,AFG,1042046,7150000000
2018,DVA,927066,11404851000
2018,MOH,1179929,18890000000
2018,ALK,766421,8264000000
2018,EEFT,1029199,649385000
2018,KIM,879101,1164762000
2018,BIO,12208,2160153000
2018,ZAYO,1608249,2604000000
2018,AIV,922864,972410000
2018,TPR,1116132,5880000000
2018,OLED,1005284,247414000
2018,RS,861884,11534500000
2018,LPLA,1397911,5188400000
2018,SLG,1040971,1227392000
2018,CHE,19584,1782648000
2018,ATR,896622,2764761000
2018,BG,1144519,45743000000
2018,FLIR,354908,1775686000
2018,BEN,38777,6319100000
2018,STWD,1465128,1109280000
2018,DEI,1364250,881316000
2018,SPR,1364885,1835300000
2018,FAF,1472787,5747844000
2018,MDB,1441816,154519000
2018,POST,1530950,6257200000
2018,ATH,1527469,6543000000
2018,CIEN,936395,3094286000
2018,ORI,74260,6021800000
2018,HTA,1360604,696426000
2018,FIVE,1177609,1559563000
2018,OSK,775158,7705500000
2018,ITT,216228,2745100000
2018,UNM,5513,11598500000
2018,MDU,67716,4531552000
2018,STLD,1022671,11821839000
2018,AXTA,1616862,4696000000
2018,SABR,1597033,923928000
2018,CUZ,25232,475212000
2018,JBL,898293,22095416000
2018,RL,1037038,6182300000
2018,CASY,726958,8391124000
2018,SON,91767,5036650000
2018,SEE,1012100,4732700000
2018,BERY,1378992,2054000000
2018,SNX,1177394,20053764000
2018,WSO,105016,4546653000
2018,HPP,1482512,728418000
2018,NUAN,1002517,2051661000
2018,EPR,1045450,700731000
2018,MSG,1636519,1559095000
2018,ROL,84839,1821565000
2018,THG,944695,4494300000
2018,AXS,1214816,5090406000
2018,HOG,793952,5716875000
2018,M,794367,24837000000
2018,HBI,1359841,1768301000
2018,HE,354707,2860849000
2018,WPX,1518832,1022000000
2018,PE,1594466,1826431000
2018,PRI,1475922,1899843000
2018,FHN,36966,1936105000
2018,BC,14930,5159200000
2018,MTG,876437,1123848000
