year,Company,CIK,Revenue
2013,AAPL,320193,170910
2013,AMZN,1018724,74452
2013,FB,1326801,7872
2013,JPM,19617,96606
2013,V,1403161,11778
2013,INTC,50863,52708
2013,UNH,731766,122489
2013,T,732717,128752
2013,DIS,1001039,11568
2013,VZ,732712,120550
2013,PFE,78003,51584
2013,CSCO,858877,48607
2013,ADBE,796343,4055240
2013,BA,12927,86623
2013,NFLX,1065280,4374562
2013,ABT,1800,21848
2013,CRM,1108524,4071003
2013,NVDA,1045810,4130162
2013,AMGN,318154,18676
2013,IBM,51143,99751
2013,UNP,100885,21963
2013,LLY,59478,23113.1
2013,TXN,97476,12205
2013,TSLA,1318605,2013496
2013,QCOM,804328,24866
2013,AMT,1053507,3361407
2013,CVS,64803,126761
2013,GILD,882095,11201688
2013,CI,701221,32380
2013,CME,1156375,2936.3
2013,TJX,109198,25878372
2013,ANTM,1156039,71023.5
2013,SPGI,64040,4875
2013,INTU,896878,4171
2013,SO,92122,17087000000
2013,DUK,1326160,24598
2013,D,715957,13120
2013,FISV,798354,4814
2013,ISRG,1035267,2265.1
2013,MS,895421,32417
2013,CL,21665,17420
2013,RTN,1047122,23706
2013,MU,723125,9073
2013,VRTX,875320,1211975
2013,BIIB,875045,6932199
2013,ITW,49826,14135
2013,BSX,885725,7143
2013,AMAT,6951,7509
2013,TGT,27419,72596
2013,NSC,702165,11245
2013,SCHW,316709,5435
2013,AON,315293,11815
2013,WM,823768,13983
2013,AMD,2488,5299
2013,EQIX,1101239,2152766
2013,ICE,1571949,1795
2013,HUM,49071,10187
2013,EW,1099800,2045.5
2013,LRCX,707549,3598916
2013,AIG,5272,68678
2013,ATVI,718877,4583
2013,ADSK,769397,2273.9
2013,ILMN,1110803,1421178
2013,MCO,1059556,2972.5
2013,ADI,6281,2633689
2013,KMI,1506307,14070000000
2013,MAR,1048286,12784
2013,ALL,899051,34507
2013,MET,1099219,68199
2013,PRU,1137774,41461
2013,CNC,1071739,10863329
2013,OXY,797468,24455
2013,XEL,72903,10914922
2013,CTSH,1058290,8843189
2013,DAL,27904,37773
2013,YUM,1041061,13084
2013,EA,712515,3797
2013,OKE,1039684,14602717
2013,ORLY,898173,6649237
2013,JCI,833444,10647
2013,WDAY,1327811,468938
2013,EQR,906107,2387702
2013,MSI,68505,8696
2013,PEG,788784,9968
2013,ES,72741,7301204
2013,SBAC,1034054,1304866
2013,WLTW,1140536,3655
2013,FLT,1175454,895171
2013,MCK,927653,122455
2013,KLAC,319201,2842781
2013,EIX,827052,12581
2013,PCAR,75362,17050.5
2013,VFC,103379,11419648
2013,AZO,866787,9147530
2013,SWK,93556,11001.2
2013,SPLK,1353283,302623
2013,MCHP,827054,1581623
2013,CMI,26172,17301
2013,DTE,936340,9661
2013,CERN,804753,2910748
2013,MSCI,1408198,267622
2013,TSN,100493,34374
2013,CSGP,1057352,440943
2013,RMD,943819,1514457
2013,ANSS,1013462,861260
2013,IDXX,874716,1377058
2013,LVS,1300514,13769885
2013,SNPS,883241,1962214
2013,PANW,1327567,112385
2013,XLNX,743988,2168652
