year,Company,CIK,Revenue
2011,AAPL,320193,108249
2011,JPM,19617,97234
2011,V,1403161,9188
2011,INTC,50863,53999
2011,UNH,731766,101862
2011,T,732717,126723
2011,DIS,1001039,40893
2011,VZ,732712,110875
2011,PFE,78003,67425
2011,CSCO,858877,43218
2011,ADBE,796343,4216258
2011,BA,12927,68735
2011,NFLX,1065280,3204577
2011,ABT,1800,38851259
2011,CRM,1108524,2266539
2011,NVDA,1045810,3997930
2011,AMGN,318154,15582
2011,IBM,51143,106916
2011,UNP,100885,19557
2011,LLY,59478,24286.5
2011,TXN,97476,13735
2011,TSLA,1318605,204242
2011,QCOM,804328,14957
2011,AMT,1053507,2443532
2011,CVS,64803,107100
2011,GILD,882095,8385385
2011,BDX,10795,7828904
2011,CI,701221,21998
2011,CME,1156375,3280.6
2011,TJX,109198,23191455
2011,ANTM,1156039,60710.7
2011,SPGI,64040,6246
2011,INTU,896878,3851
2011,SO,92122,17657000000
2011,DUK,1326160,14529
2011,D,715957,14379
2011,FISV,798354,4337
2011,ISRG,1035267,1757.3
2011,MS,895421,32403
2011,CL,21665,16734
2011,RTN,1047122,24857
2011,VRTX,875320,563340
2011,BIIB,875045,5048634
2011,ITW,49826,17786583
2011,BSX,885725,7622
2011,AMAT,6951,10517
2011,NOC,1133421,26412
2011,NSC,702165,11172
2011,SCHW,316709,4691
2011,AON,315293,11287
2011,WM,823768,13378
2011,EQIX,1101239,1606842
2011,EW,1099800,1678.6
2011,LRCX,707549,3237693
2011,GD,40533,32677
2011,ATVI,718877,4755
2011,ADSK,769397,2215.6
2011,ILMN,1110803,1055535
2011,GM,1467858,57474000000
2011,MCO,1059556,2280.7
2011,ADI,6281,2993320
2011,KMI,1506307,8264.9
2011,MAR,1048286,12317
2011,ALL,899051,32654
2011,MET,1099219,16746
2011,PRU,1137774,49045
2011,CNC,1071739,5340582
2011,OXY,797468,23939
2011,XEL,72903,10654770
2011,CTSH,1058290,6121156
2011,IR,1466258,14782
2011,DAL,27904,35115
2011,YUM,1041061,12626
2011,EA,712515,3589
2011,OKE,1039684,14805794
2011,ORLY,898173,5788816
2011,JCI,833444,17355
2011,TDG,1260221,342953
2011,EQR,906107,1989463
2011,MSI,68505,8203
2011,PEG,788784,11079
2011,ES,72741,4465657
2011,SBAC,1034054,698170
2011,WLTW,1140536,3447
2011,FLT,1175454,519591
2011,KLAC,319201,3175167
2011,EIX,827052,12760
2011,PCAR,75362,16355.2
2011,VFC,103379,9459232
2011,O,726728,421059
2011,AZO,866787,8072973
2011,SWK,93556,10376.4
2011,MCHP,827054,379985
2011,CMI,26172,18048
2011,CERN,804753,2203153
2011,TSN,100493,32266
2011,CSGP,1057352,251738
2011,RMD,943819,1243148
2011,ANSS,1013462,691449
2011,IDXX,874716,1218689
2011,LVS,1300514,9410745
2011,SNPS,883241,1535643
2011,XLNX,743988,2369445
2011,BXP,1037540,1759526
2011,AMP,820027,10239
2011,HSY,47111,6080788
2011,VRSN,1014473,771978
2011,VTR,740260,1764991
2011,DXCM,1093557,76266
2011,HIG,874766,21859
2011,ALGN,1097149,479741
2011,CDNS,813672,1149835
2011,RSG,1060391,8192.9
2011,CPRT,900075,872246
2011,ESS,920522,475558
2011,RCL,884887,7537263
2011,HAL,45012,24829
2011,CDW,1402057,9602.4
2011,AJG,354190,2134.7
2011,MTD,1037646,2309328
2011,LH,920148,5542.3
2011,TFX,96943,1528911
2011,ACGL,947484,3063307
2011,COO,711404,1330835
2011,MRVL,1058057,3393040
2011,KSU,54480,2098.3
2011,OMC,29989,13872.5
2011,CINF,20286,3803
2011,MGM,789570,7849312
2011,BMRN,1048477,441358
2011,MAA,912595,448992
2011,CTL,18926,15351
2011,PFG,1126328,2059
2011,EXPE,1324424,3449009
2011,CTXS,877890,2206392
2011,AKAM,1086222,1158538
2011,DGX,1022079,7510490
2011,WAB,943452,1967637
2011,HOLX,859737,1789349
2011,WPC,1025378,336409
2011,LDOS,1336920,10587
2011,GRMN,1121788,2758569
2011,MAS,62996,7467
2011,SSNC,1402436,370828
2011,WAT,1000697,1851184
2011,LNT,352541,3665.3
2011,UDR,74208,708685
2011,ABC,1140859,20407670
2011,NTAP,1002047,5122.6
2011,L,60086,14127
2011,FOXA,1308161,33405
2011,SGEN,1060736,94778
2011,TDY,1094285,1941.9
2011,INCY,879169,94455
2011,DRE,783280,1274274
2011,IT,749251,1468588
2011,NDAQ,1120193,3438
2011,CE,1306830,6763
2011,FMC,37785,3377.9
2011,HRL,48465,7895089
2011,FNF,1331875,4839.6
2011,WYNN,1174922,5269792
2011,IEX,832101,1838451
2011,XRAY,818479,2537718
2011,MKTX,1278021,181099
2011,ELS,895417,580073
2011,HST,1070750,4998
2011,TER,97210,1429061
2011,TXT,217346,11275
2011,WU,1365135,5491.4
2011,AVY,8818,6026.3
2011,MPW,1287865,143319
2011,FICO,814547,619683
2011,VMW,1124610,3767096
2011,PODD,1145197,152255
2011,DPZ,1286681,1652193
2011,PHM,822416,4136690
2011,TRMB,864749,1644065
2011,PNW,764622,3241379
2011,WRB,11544,5155984
2011,BRO,79282,1013542
2011,FDS,1013237,726510
2011,PKI,31791,1921287
2011,REG,910606,500417
2011,LKQ,1065696,3269862
2011,CCK,1219601,2058
2011,NDSN,72331,1233159
2011,NBL,72207,3763
2011,FBHS,1519751,3328.6
2011,CHRW,1043277,10336346
2011,SIRI,908937,3014524
2011,MRO,101778,15282
2011,PKG,75677,2620111
2011,NRG,1013871,2132
2011,WEX,1309108,553076
2011,FRT,34903,553059
2011,RGA,898174,8829538
2011,WHR,106640,18666
2011,CF,1324404,1718.4
2011,NBIX,914475,77413
2011,ALB,915913,2869005
2011,OGE,1021635,3915.9
2011,LYV,1335258,1185682
2011,AAP,1158449,6170462
2011,JLL,1037976,3584544
2011,IPG,51644,7014.6
2011,CGNX,851205,321914
2011,PTC,857005,1166949
2011,PCG,1004980,14956
2011,SEIC,350894,929727
2011,UGI,884614,6091.3
2011,CY,791915,995204
2011,ON,1097864,3442.3
2011,POOL,945841,1793318
2011,NOV,1021860,14658
2011,LII,1069202,3303.6
2011,RNR,913144,208507
2011,G,1398659,1600436
2011,AIZ,1267238,8272804
2011,AFG,1042046,4750
2011,CZR,858339,8834.5
2011,ALK,766421,4317.8
2011,JAZZ,1232524,272277
2011,EEFT,1029199,1161304
2011,AIV,922864,1079584
2011,TPR,1116132,4158507
2011,MPWR,1280452,196519
2011,NWL,814453,5864.6
2011,JNPR,1043604,4448709
2011,ST,1477294,1826945
2011,ENTG,1101302,749259
2011,LPLA,1397911,3479375
2011,SLG,1040971,1263428
2011,CRL,1100682,1142647
2011,ATR,896622,2337183
2011,IONS,874015,99086
2011,NLSN,1492633,5532
2011,BG,1144519,58743
2011,FLIR,354908,1544062
2011,KSS,885639,18804
2011,BEN,38777,7140039
2011,DEI,1364250,575337
2011,IVZ,914208,4092.2
2011,WBC,1390844,2794.1
2011,FAF,1472787,3820574
2011,CACI,16058,3577780
2011,XRX,108772,22626
2011,CIEN,936395,1741970
2011,HZNP,1492426,6939
2011,ORI,74260,4645.5
2011,FLS,30625,4510201
2011,DNKN,1357204,628198
2011,OSK,775158,7584.7
2011,ACC,1283630,390317
2011,MKSI,1049502,822517
2011,UNM,5513,10278
2011,MDU,67716,4050492000
2011,STLD,1022671,7997500
2011,LEG,58492,3636
2011,INGR,1046257,6219
2011,JBL,898293,16518827
2011,NATI,935494,1024173
2011,SON,91767,4498932
2011,SEE,1012100,5640.9
2011,SNX,1177394,10409840
2011,SRCL,861878,1676048
2011,WSO,105016,2977759
2011,NUAN,1002517,1318741
2011,LB,701985,10364
2011,EPR,1045450,77608
2011,NYT,71691,2323401
2011,EXEL,939767,289636
2011,THG,944695,3931.6
2011,CREE,895419,987615
2011,AXS,1214816,3801226
2011,EV,350797,1260031
2011,HOG,793952,5311713
2011,M,794367,26405
2011,HBI,1359841,1145315
2011,LSI,944314,211156
2011,SRC,1308606,279345
2011,HE,354707,3242335
2011,FHN,36966,1442843
2011,BRKR,1109354,1651.7
2011,BC,14930,3748
2011,MTG,876437,1504279
2011,IPGP,1111928,474482
2011,MANH,1056696,329253
2011,MAT,63276,6266037
2011,SMG,825542,417.2
2011,AL,1487712,58366
2011,DISCA,1437107,4235
2011,KNX,1492691,3333908
2011,HP,46765,2543894
2011,CIT,1171825,1791000000
2011,CACC,885550,525192
2011,DLB,1308547,955505
2011,CR,25445,2545867
2011,LSTR,853816,2649082
2011,LAZ,1311370,1919638
2011,LFUS,889331,664955
2011,NCR,70866,5443
2011,AGO,1273813,1819313
2011,XEC,1168054,1757889
2011,CLH,822818,545886
2011,FL,850209,5623
2011,UTHR,1082554,743183
2011,FSLR,1274494,2766207
2011,ADS,1101215,3173287
2011,HLF,1180262,3454537
2011,TPX,1206264,1417938
2011,WEN,30697,2431358
2011,ERIE,922621,1418
2011,GPS,39911,14549
2011,NKTR,906709,71480
2011,ICUI,883984,302195
2011,GRA,1045309,3211.9
2011,CHH,1046311,638793
2011,CFX,1420800,693392
2011,CNK,1385280,2279613
2011,OFC,860546,556841
2011,MAC,912242,791250
2011,MUR,717423,27745549
2011,PEGA,1013857,416675
2011,MIC,1289790,988791
2011,APLE,1418121,320500
2011,MSM,1003078,2021792
2011,MORN,1289419,631400
2011,EVR,1360901,543655
2011,RIG,1451505,9142
2011,NEU,1282637,505556
2011,DKS,1089063,5211802
2011,TDC,816761,2362
2011,FLR,1124198,23381399
2011,OLN,74303,1961.1
2011,THS,1320695,2049985
2011,CXP,1252849,613157
2011,SLGN,849869,3509227
2011,CBT,16040,3102
2011,CLR,732834,1649789
2011,GHC,104889,1063439
2011,WLK,1262823,859175
2011,TRN,99780,3075.1
2011,WCC,929008,6125718
2011,HAIN,910406,1130257
2011,KOS,1509991,676780
2011,SBGI,912752,765288
2011,BGCP,1094831,1464685
2011,PTEN,889900,2565943
2011,PPC,802481,1602734
2011,MCY,64996,2777285
2011,CNA,21175,8947
2011,SEB,88121,5746902
2011,ANAT,904163,3023027
2011,CHK,895126,2728
