year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2014,AAPL,320193,182795.0,39510.0,-9571.0
2014,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2014,AMZN,1018724,88988.0,-241.0,-4893.0
2014,FB,1326801,12466.0,2940.0,-1831.0
2014,GOOGL,1652044,12466.0,2940.0,-1831.0
2014,JPM,19617,94205.0,21762.0,tag not found
2014,JNJ,200406,Income statement not found,0,-3714.0
2014,V,1403161,12702.0,0,-553.0
2014,PG,80424,Income statement not found,0,-3848.0
2014,INTC,50863,55870.0,11704.0,-10105.0
2014,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2014,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2014,UNH,731766,130474.0,0,-1525.0
2014,T,732717,132447.0,0,-21199.0
2014,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2014,HD,354950,Income statement not found,6345.0,-1442.0
2014,DIS,1001039,48813.0,0,-3311.0
2014,VZ,732712,127079.0,0,-17191.0
2014,KO,21344,0,0,-2406.0
2014,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2014,PFE,78003,0,0,-1199.0
2014,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2014,CSCO,858877,47142.0,7853.0,-1275.0
2014,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2014,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2014,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2014,ADBE,796343,4147065.0,268395.0,-148332.0
2014,BA,12927,90762.0,5446.0,-2236.0
2014,C,831001,Income statement not found,cash flow not found,cash flow not found
2014,WMT,104169,Income statement not found,cash flow not found,cash flow not found
2014,MDT,1613103,Income statement not found,cash flow not found,cash flow not found
2014,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2014,NFLX,1065280,5504656.0,266799.0,-69726.0
2014,ABT,1800,20247.0,cash flow not found,cash flow not found
2014,CRM,1108524,0,-262688.0,-290454.0
2014,BMY,14272,Income statement not found,0,-526.0
2014,NVDA,1045810,4681507.0,630587.0,tag not found
2014,PYPL,1633917,4681507.0,630587.0,tag not found
2014,AMGN,318154,20063.0,5158.0,-718.0
2014,IBM,51143,92793.0,cash flow not found,cash flow not found
2014,COST,909832,92793.0,0,-1993.0
2014,ACN,1467373,Income statement not found,cash flow not found,cash flow not found
2014,TMO,97745,Income statement not found,cash flow not found,cash flow not found
2014,PM,1413329,Income statement not found,0,-1153.0
2014,NEE,753308,0,2465.0,tag not found
2014,UNP,100885,23988.0,5180.0,-4346.0
2014,ABBV,1551152,Income statement not found,0,-612.0
2014,HON,773840,Income statement not found,cash flow not found,cash flow not found
2014,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2014,LLY,59478,19615.6,2390.5,tag not found
2014,TXN,97476,13045.0,2821.0,-385.0
2014,NKE,320187,13045.0,2821.0,-385.0
2014,AVGO,1649338,13045.0,2821.0,-385.0
2014,ORCL,1341439,13045.0,2821.0,-385.0
2014,GE,40545,Income statement not found,cash flow not found,cash flow not found
2014,LMT,936468,Income statement not found,3614.0,-845.0
2014,TSLA,1318605,3198356.0,-294040.0,-969885.0
2014,QCOM,804328,26487.0,0,-1185.0
2014,AMT,1053507,4100048.0,0,-974404.0
2014,SBUX,829224,Income statement not found,0,-1160.9
2014,DHR,313616,Income statement not found,2598.4,-597.5
2014,LOW,60667,Income statement not found,2698.0,-880.0
2014,CVS,64803,139367.0,0,-2136.0
2014,MMM,66740,Income statement not found,cash flow not found,cash flow not found
2014,AXP,4962,0,cash flow not found,cash flow not found
2014,FIS,1136893,Income statement not found,0,-148.5
2014,MO,764180,Income statement not found,0,-163.0
2014,GILD,882095,24890.0,0,-557.0
2014,MDLZ,1103982,Income statement not found,0,-1642.0
2014,CHTR,1091667,2360.0,0,-2221.0
2014,USB,36104,Income statement not found,cash flow not found,cash flow not found
2014,GS,886982,Income statement not found,8477.0,-678.0
2014,ADP,8670,Income statement not found,cash flow not found,cash flow not found
2014,BDX,10795,8446.0,1185.0,-592.0
2014,CI,701221,34914.0,0,-473.0
2014,CME,1156375,3112.5,0,-140.7
2014,TJX,109198,29078407.0,2215128.0,-911522.0
2014,SYK,310764,Income statement not found,515.0,-233.0
2014,CB,896159,Income statement not found,2853.0,tag not found
2014,UPS,1090727,Income statement not found,cash flow not found,cash flow not found
2014,CAT,18230,Income statement not found,cash flow not found,cash flow not found
2014,ANTM,1156039,73874.1,2569.7,-714.6
2014,SPGI,64040,5051.0,0,-92.0
2014,INTU,896878,4506.0,907.0,-104.0
2014,SO,92122,18467000000.0,907.0,-104.0
2014,DUK,1326160,23925.0,1883.0,-5384.0
2014,D,715957,12436.0,1310.0,-5345.0
2014,FISV,798354,5066.0,754.0,-292.0
2014,PLD,1045609,0,0,tag not found
2014,PNC,713676,Income statement not found,cash flow not found,cash flow not found
2014,ISRG,1035267,2131.7,418.8,-105.6
2014,ZTS,1555280,Income statement not found,cash flow not found,cash flow not found
2014,COP,1163165,Income statement not found,cash flow not found,cash flow not found
2014,BLK,1364742,0,0,-66.0
2014,MS,895421,34275.0,0,tag not found
2014,CL,21665,17277.0,0,-757.0
2014,RTN,1047122,22826.0,0,-326.0
2014,NOW,1373715,Income statement not found,0,-326.0
2014,AGN,1578845,13062.3,0,-238.6
2014,MU,723125,16358.0,0,-2658.0
2014,CCI,1051470,Income statement not found,cash flow not found,cash flow not found
2014,VRTX,875320,580415.0,0,-51201.0
2014,BIIB,875045,9703324.0,0,-287751.0
2014,GPN,1123360,9703324.0,0,-287751.0
2014,ITW,49826,14484.0,cash flow not found,cash flow not found
2014,BSX,885725,7380.0,0,-259.0
2014,MMC,62709,0,0,-368.0
2014,AMAT,6951,9072.0,1072.0,-241.0
2014,CSX,277948,Income statement not found,cash flow not found,cash flow not found
2014,NOC,1133421,Income statement not found,2069.0,-561.0
2014,TGT,27419,72618.0,0,-1786.0
2014,NSC,702165,11624.0,0,-2118.0
2014,SCHW,316709,6058.0,1321.0,-400.0
2014,APD,2969,Income statement not found,991.7,-1684.2
2014,AON,315293,3299.0,0,-256.0
2014,DE,315189,Income statement not found,cash flow not found,cash flow not found
2014,WM,823768,13996.0,0,-1151.0
2014,ECL,31462,Income statement not found,cash flow not found,cash flow not found
2014,AMD,2488,5506.0,-403.0,-95.0
2014,EQIX,1101239,2443776.0,0,tag not found
2014,ICE,1571949,4221.0,0,-172.0
2014,AEP,4904,4221.0,0,-172.0
2014,KMB,55785,Income statement not found,cash flow not found,cash flow not found
2014,COF,927628,0,4428.0,-502.0
2014,SLB,87347,Income statement not found,cash flow not found,cash flow not found
2014,PGR,80661,Income statement not found,1281.0,-108.1
2014,SHW,89800,Income statement not found,cash flow not found,cash flow not found
2014,HUM,49071,12328.0,1147.0,-528.0
2014,EW,1099800,2322.9,0,-82.9
2014,LRCX,707549,4607309.0,632289.0,-145503.0
2014,EXC,1109357,Income statement not found,cash flow not found,cash flow not found
2014,GD,40533,Income statement not found,2533.0,-521.0
2014,EMR,32604,Income statement not found,0,-767.0
2014,AIG,5272,64406.0,0,tag not found
2014,SRE,1032208,0,0,tag not found
2014,EOG,821189,Income statement not found,2915487.0,tag not found
