year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2011,AAPL,320193,108249.0,25922.0,-4260.0
2011,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2011,AMZN,1018724,Income statement not found,cash flow not found,cash flow not found
2011,FB,1326801,Income statement not found,cash flow not found,cash flow not found
2011,GOOGL,1652044,Income statement not found,cash flow not found,cash flow not found
2011,JPM,19617,97234.0,18976.0,tag not found
2011,JNJ,200406,Income statement not found,0,-2893.0
2011,V,1403161,9188.0,0,-353.0
2011,PG,80424,Income statement not found,11797.0,-3306.0
2011,INTC,50863,53999.0,12942.0,-10764.0
2011,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2011,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2011,UNH,731766,101862.0,5142.0,-1067.0
2011,T,732717,126723.0,0,-20110.0
2011,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2011,HD,354950,Income statement not found,3883.0,-1221.0
2011,DIS,1001039,40893.0,0,-3559.0
2011,VZ,732712,110875.0,0,-16244.0
2011,KO,21344,0,0,-2920.0
2011,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2011,PFE,78003,67425.0,0,-1660.0
2011,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2011,CSCO,858877,43218.0,6490.0,-1174.0
2011,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2011,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2011,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2011,ADBE,796343,4216258.0,832847.0,-210294.0
2011,BA,12927,68735.0,4018.0,-1713.0
2011,C,831001,Income statement not found,cash flow not found,cash flow not found
2011,WMT,104169,Income statement not found,cash flow not found,cash flow not found
2011,MDT,1613103,Income statement not found,cash flow not found,cash flow not found
2011,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2011,NFLX,1065280,3204577.0,226126.0,-49682.0
2011,ABT,1800,38851259.0,cash flow not found,cash flow not found
2011,CRM,1108524,2266539.0,0,-151645.0
2011,BMY,14272,Income statement not found,0,-367.0
2011,NVDA,1045810,3997930.0,581090.0,-138735.0
2011,PYPL,1633917,3997930.0,581090.0,-138735.0
2011,AMGN,318154,15582.0,3683.0,-567.0
2011,IBM,51143,106916.0,cash flow not found,cash flow not found
2011,COST,909832,106916.0,0,-1290.0
2011,ACN,1467373,Income statement not found,cash flow not found,cash flow not found
2011,TMO,97745,Income statement not found,cash flow not found,cash flow not found
2011,PM,1413329,Income statement not found,0,-897.0
2011,NEE,753308,0,1923.0,tag not found
2011,UNP,100885,19557.0,3292.0,-3176.0
2011,ABBV,1551152,19557.0,3292.0,-3176.0
2011,HON,773840,Income statement not found,cash flow not found,cash flow not found
2011,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2011,LLY,59478,24286.5,4347.7,tag not found
2011,TXN,97476,13735.0,2236.0,-816.0
2011,NKE,320187,13735.0,2236.0,-816.0
2011,AVGO,1649338,13735.0,2236.0,-816.0
2011,ORCL,1341439,13735.0,2236.0,-816.0
2011,GE,40545,Income statement not found,cash flow not found,cash flow not found
2011,LMT,936468,Income statement not found,2655.0,-814.0
2011,TSLA,1318605,204242.0,-254411.0,-197896.0
2011,QCOM,804328,14957.0,0,-593.0
2011,AMT,1053507,2443532.0,0,-523015.0
2011,SBUX,829224,Income statement not found,0,-531.9
2011,DHR,313616,Income statement not found,2172264.0,-334471.0
2011,LOW,60667,Income statement not found,2172264.0,-334471.0
2011,CVS,64803,107100.0,0,-1872.0
2011,MMM,66740,Income statement not found,cash flow not found,cash flow not found
2011,AXP,4962,0,4935.0,-1189.0
2011,FIS,1136893,Income statement not found,0,-123.9
2011,MO,764180,Income statement not found,0,-105.0
2011,GILD,882095,8385385.0,0,-131904.0
2011,MDLZ,1103982,Income statement not found,0,-131904.0
2011,CHTR,1091667,Income statement not found,0,-131904.0
