year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2013,AAPL,320193,170910.0,37037.0,-8165.0
2013,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2013,AMZN,1018724,74452.0,274.0,-3444.0
2013,FB,1326801,7872.0,1500.0,-1362.0
2013,GOOGL,1652044,7872.0,1500.0,-1362.0
2013,JPM,19617,96606.0,17923.0,tag not found
2013,JNJ,200406,Income statement not found,0,-3595.0
2013,V,1403161,11778.0,0,-471.0
2013,PG,80424,Income statement not found,0,-4008.0
2013,INTC,50863,52708.0,9620.0,-10711.0
2013,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2013,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2013,UNH,731766,122489.0,0,-1307.0
2013,T,732717,128752.0,0,-20944.0
2013,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2013,HD,354950,Income statement not found,5385.0,-1389.0
2013,DIS,1001039,11568.0,0,-2796.0
2013,VZ,732712,120550.0,0,-16604.0
2013,KO,21344,0,0,-2550.0
2013,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2013,PFE,78003,51584.0,cash flow not found,cash flow not found
2013,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2013,CSCO,858877,48607.0,9983.0,-1160.0
2013,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2013,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2013,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2013,ADBE,796343,4055240.0,289985.0,-188358.0
2013,BA,12927,86623.0,4585.0,-2098.0
2013,C,831001,Income statement not found,cash flow not found,cash flow not found
2013,WMT,104169,Income statement not found,cash flow not found,cash flow not found
2013,MDT,1613103,Income statement not found,cash flow not found,cash flow not found
2013,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2013,NFLX,1065280,4374562.0,112403.0,-54143.0
2013,ABT,1800,21848.0,cash flow not found,cash flow not found
2013,CRM,1108524,4071003.0,-232175.0,-299110.0
2013,BMY,14272,Income statement not found,0,-537.0
2013,NVDA,1045810,4130162.0,439990.0,tag not found
2013,PYPL,1633917,4130162.0,439990.0,tag not found
2013,AMGN,318154,18676.0,5081.0,-693.0
2013,IBM,51143,99751.0,cash flow not found,cash flow not found
2013,COST,909832,99751.0,0,-2083.0
2013,ACN,1467373,Income statement not found,cash flow not found,cash flow not found
2013,TMO,97745,Income statement not found,cash flow not found,cash flow not found
2013,PM,1413329,Income statement not found,0,-1200.0
2013,NEE,753308,0,1908.0,tag not found
2013,UNP,100885,21963.0,4388.0,-3496.0
2013,ABBV,1551152,Income statement not found,0,-491.0
2013,HON,773840,Income statement not found,cash flow not found,cash flow not found
2013,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2013,LLY,59478,23113.1,4684.8,tag not found
