cik,symbol,year,quarter,filing_url
28412,CMA,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1423824/0001209191-18-054084.txt
29534,DG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1530101/0000356028-18-000148.txt
29644,DCI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1241731/0001209191-18-052811.txt
29905,DOV,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1025092/0001209191-18-054449.txt
29989,OMC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1185039/0001179110-18-011954.txt
30554,DD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1185039/0001567619-18-003781.txt
30625,FLS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1204901/0001246360-18-002297.txt
30697,WEN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1074514/0001127602-18-029349.txt
31462,ECL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/942698/0001493152-18-014016.txt
31791,PKI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1091619/0001205233-18-000075.txt
32604,EMR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1035443/0001035443-18-000195.txt
33185,EFX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1580247/0001209191-18-052902.txt
33213,EQT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/775368/0000921895-18-002691.txt
34088,XOM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1576194/0001401708-18-000124.txt
34903,FRT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1191569/0001137411-18-000075.txt
35527,FITB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1205268/0001209191-18-053105.txt
36047,CLGX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1162028/0001398344-18-014262.txt
36104,USB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/939930/0000939930-18-000073.txt
36270,MTB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1086600/0001179110-18-011971.txt
36377,FHB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1109448/0001209191-18-052793.txt
36966,FHN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/899051/0001127602-18-029387.txt
37785,FMC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1639477/0000047518-18-000085.txt
37808,FNB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1626199/0000899243-18-025713.txt
37996,F,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1083436/0001209191-18-054134.txt
38777,BEN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1746738/0001213900-18-013610.txt
39263,CFR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1191307/0001093557-18-000213.txt
39911,GPS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/764180/0001182489-18-000426.txt
40533,GD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1550395/0001209191-18-053152.txt
40545,GE,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1720126/0001365916-18-000022.txt
40704,GIS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/897448/0001209191-18-053459.txt
40729,ALLY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1514991/0000899243-18-025817.txt
40987,GPC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/896262/0000899243-18-025705.txt
42582,GT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/4457/0001225208-18-014449.txt
42888,GGG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/919012/0001225208-18-014310.txt
45012,HAL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/4904/0001398889-18-000118.txt
46080,HAS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1738751/0001104659-18-059736.txt
46195,BOH,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/4962/0001127602-18-029136.txt
46619,HEI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/5272/0001225208-18-013907.txt
46765,HP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1201792/0001123292-18-000980.txt
47111,HSY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1056903/0001209191-18-052891.txt
47217,HPQ,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1053507/0001338678-18-000043.txt
47518,HRC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/932628/0001209191-18-053859.txt
48039,HFC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1140859/0001127602-18-029025.txt
48465,HRL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1178879/0000899243-18-026272.txt
48898,HUBB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/773910/0001127602-18-028992.txt
49071,HUM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/6281/0000006281-18-000117.txt
49196,HBAN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1314052/0001615774-18-010436.txt
49826,ITW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/50104/0001209191-18-054167.txt
50863,INTC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/50104/0000899243-18-025921.txt
51143,IBM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1753548/0001179110-18-011773.txt
51253,IFF,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1227159/0001209191-18-052642.txt
51434,IP,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1193504/0001028734-18-000119.txt
51644,IPG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1190775/0001209191-18-052957.txt
52827,RYN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1705110/0001179110-18-011854.txt
54480,KSU,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1215356/0000950117-18-000337.txt
55067,K,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/52795/0001209191-18-053901.txt
55785,KMB,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1016169/0001209191-18-054297.txt
56047,KEX,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1244482/0001020569-18-000106.txt
56873,KR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/6769/0001357400-18-000140.txt
58492,LEG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1204651/0001562180-18-004097.txt
59478,LLY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1433195/0001433195-18-000054.txt
59527,LECO,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1441683/0001209191-18-053294.txt
59558,LNC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/109563/0000109563-18-000119.txt
60086,L,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/6951/0001127602-18-029489.txt
60667,LOW,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/78128/0001127602-18-029209.txt
62709,MMC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1234357/0001127602-18-029476.txt
62996,MAS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/7084/0001225208-18-014276.txt
63276,MAT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1216543/0001209191-18-053129.txt
63754,MKC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1601086/0000919574-18-006525.txt
63908,MCD,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1026161/0001000623-18-000083.txt
64040,SPGI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1268849/0001567619-18-003662.txt
64803,CVS,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1215995/0001001039-18-000162.txt
64996,MCY,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1529132/0001213900-18-013373.txt
65984,ETR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/863110/0001127602-18-028893.txt
66740,MMM,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1674862/0001127602-18-029126.txt
67716,MDU,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1195347/0000048287-18-000198.txt
68505,MSI,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1487198/0001553350-18-001093.txt
70145,NFG,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/929940/0001127602-18-029034.txt
70858,BAC,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/928966/0001209191-18-053533.txt
70866,NCR,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/8063/0001209191-18-052798.txt
71691,NYT,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/732717/0001127602-18-029065.txt
72207,NBL,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1131096/0001131096-18-000196.txt
72331,NDSN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1260096/0001225208-18-014420.txt
72333,JWN,2018/,QTR4/,https://www.sec.gov/Archives/edgar/data/1419242/0001179110-18-011736.txt
