year,Company,CIK,Payments to acquire property
2013,AAPL,320193,-8165
2013,AMZN,1018724,-3444
2013,FB,1326801,-1362
2013,JNJ,200406,-3595
2013,V,1403161,-471
2013,PG,80424,-4008
2013,INTC,50863,-10711
2013,UNH,731766,-1307
2013,T,732717,-20944
2013,HD,354950,-1389
2013,DIS,1001039,-2796
2013,VZ,732712,-16604
2013,KO,21344,-2550
2013,CSCO,858877,-1160
2013,ADBE,796343,-188358
2013,BA,12927,-2098
2013,NFLX,1065280,-54143
2013,CRM,1108524,-299110
2013,BMY,14272,-537
2013,AMGN,318154,-693
2013,COST,909832,-2083
2013,PM,1413329,-1200
2013,UNP,100885,-3496
2013,ABBV,1551152,-491
2013,TXN,97476,-412
2013,LMT,936468,-836
2013,TSLA,1318605,-264224
2013,QCOM,804328,-1048
2013,AMT,1053507,-724532
2013,SBUX,829224,-1151.2
2013,DHR,313616,-551.5
2013,LOW,60667,-940
2013,CVS,64803,-1984
2013,AXP,4962,-1006
2013,FIS,1136893,-131.7
2013,MO,764180,-131
2013,GILD,882095,-190782
2013,MDLZ,1103982,-1622
2013,CHTR,1091667,-1825
2013,GS,886982,-706
2013,CI,701221,-527
2013,CME,1156375,-125.6
2013,TJX,109198,-978228
2013,SYK,310764,-195
2013,ANTM,1156039,-646.5
2013,SPGI,64040,-117
2013,INTU,896878,-129
2013,DUK,1326160,-5526
2013,FISV,798354,-236
2013,ISRG,1035267,-104.6
2013,BLK,1364742,-94
2013,CL,21665,-670
2013,RTN,1047122,-280
2013,NOW,1373715,-7959
2013,MU,723125,-1244
2013,VRTX,875320,-51393
2013,BIIB,875045,-246281
2013,BSX,885725,-245
2013,MMC,62709,-401
2013,AMAT,6951,-197
2013,NOC,1133421,-364
2013,TGT,27419,-3453
2013,NSC,702165,-1971
2013,APD,2969,-1524.2
2013,AON,315293,-229
2013,WM,823768,-1271
2013,AMD,2488,-84
2013,ICE,1571949,-136
2013,COF,927628,-818
2013,PGR,80661,-140.4
2013,HUM,49071,-441
2013,EW,1099800,-109
2013,LRCX,707549,-160795
2013,GD,40533,-440
2013,EMR,32604,-678
2013,SRE,1032208,-2572
2013,ILMN,1110803,-79215
2013,EL,1001250,-461
2013,MCO,1059556,-42.3
2013,ADI,6281,-123074
2013,ETN,1551182,-614
2013,ROST,745732,-424434
2013,DG,29534,-538444
2013,HCA,860730,-1943
2013,MAR,1048286,-404
2013,ALL,899051,-207
2013,DD,30554,-1882
2013,ROP,882835,-42528
2013,CNC,1071739,-67835
2013,OXY,797468,-9037
2013,XEL,72903,-3395325
2013,CTSH,1058290,-261626
2013,MPC,1510295,-1206
2013,VLO,1035002,-2121
2013,IR,1466258,-242.2
2013,ZBH,1136869,-100
2013,YUM,1041061,-1049
2013,HPQ,47217,-3199
2013,WEC,783325,-687.4
2013,TROW,1113169,-105.8
2013,OKE,1039684,-2256585
2013,ORLY,898173,-395881
2013,JCI,833444,-377
2013,TDG,1260221,-35535
2013,WDAY,1327811,-60725
2013,REGN,872589,-156323
2013,AVB,915912,-2200
2013,MSI,68505,-191
2013,PEG,788784,-2811
2013,LULU,1397187,-106408
2013,SBAC,1034054,-168893
2013,WLTW,1140536,-112
2013,FLT,1175454,-20785
2013,MCK,927653,-246
2013,KLAC,319201,-74573
2013,EIX,827052,-3599
2013,VRSK,1442145,-145976
2013,PCAR,75362,-515.4
2013,MNST,865752,-40762
2013,PPL,922224,-4212
2013,ADM,7084,-615
2013,TMUS,1283699,-4025
2013,AZO,866787,-414451
2013,SWK,93556,-365.6
2013,SPLK,1353283,-9308
2013,MCHP,827054,-4730
2013,CMI,26172,-676
2013,BLL,9389,-378.3
2013,CERN,804753,-352877
2013,AWK,1410636,-980252
2013,CTAS,723254,-980252
2013,MSCI,1408198,-40255
2013,DFS,1393612,-13
2013,TSN,100493,-558
2013,CSGP,1057352,-19042
2013,RMD,943819,-63579
2013,ANSS,1013462,-28848
2013,IDXX,874716,-77612
2013,LVS,1300514,-898111
2013,SNPS,883241,-65459
2013,PANW,1327567,-22442
2013,XLNX,743988,-30265
2013,LYB,1489393,-1561
2013,KR,56873,-2062
2013,AMP,820027,-105
2013,HSY,47111,-323551
2013,VRSN,1014473,-65594
2013,VTR,740260,-81614
2013,DXCM,1093557,-7.9
2013,FAST,815556,-206540
2013,FITB,35527,-274
2013,DLTR,935703,-330.1
2013,ALGN,1097149,-19412
2013,CLX,21076,-194
2013,CDNS,813672,-44929
2013,RSG,1060391,-880.8
2013,RCL,884887,-763777
2013,WDC,106040,-952
2013,BBY,764478,-705
2013,DHI,882184,-58
