year,Company,CIK,Payments to acquire property
2014,AAPL,320193,-9571
2014,AMZN,1018724,-4893
2014,FB,1326801,-1831
2014,JNJ,200406,-3714
2014,V,1403161,-553
2014,PG,80424,-3848
2014,INTC,50863,-10105
2014,UNH,731766,-1525
2014,T,732717,-21199
2014,HD,354950,-1442
2014,DIS,1001039,-3311
2014,VZ,732712,-17191
2014,KO,21344,-2406
2014,PFE,78003,-1199
2014,CSCO,858877,-1275
2014,ADBE,796343,-148332
2014,BA,12927,-2236
2014,NFLX,1065280,-69726
2014,CRM,1108524,-290454
2014,BMY,14272,-526
2014,AMGN,318154,-718
2014,COST,909832,-1993
2014,PM,1413329,-1153
2014,UNP,100885,-4346
2014,ABBV,1551152,-612
2014,TXN,97476,-385
2014,LMT,936468,-845
2014,TSLA,1318605,-969885
2014,QCOM,804328,-1185
2014,AMT,1053507,-974404
2014,SBUX,829224,-1160.9
2014,DHR,313616,-597.5
2014,LOW,60667,-880
2014,CVS,64803,-2136
2014,FIS,1136893,-148.5
2014,MO,764180,-163
2014,GILD,882095,-557
2014,MDLZ,1103982,-1642
2014,CHTR,1091667,-2221
2014,GS,886982,-678
2014,BDX,10795,-592
2014,CI,701221,-473
2014,CME,1156375,-140.7
2014,TJX,109198,-911522
2014,SYK,310764,-233
2014,ANTM,1156039,-714.6
2014,SPGI,64040,-92
2014,INTU,896878,-104
2014,DUK,1326160,-5384
2014,D,715957,-5345
2014,FISV,798354,-292
2014,ISRG,1035267,-105.6
2014,BLK,1364742,-66
2014,CL,21665,-757
2014,RTN,1047122,-326
2014,AGN,1578845,-238.6
2014,MU,723125,-2658
2014,VRTX,875320,-51201
2014,BIIB,875045,-287751
2014,BSX,885725,-259
2014,MMC,62709,-368
2014,AMAT,6951,-241
2014,NOC,1133421,-561
2014,TGT,27419,-1786
2014,NSC,702165,-2118
2014,SCHW,316709,-400
2014,APD,2969,-1684.2
2014,AON,315293,-256
2014,WM,823768,-1151
2014,AMD,2488,-95
2014,ICE,1571949,-172
2014,COF,927628,-502
2014,PGR,80661,-108.1
2014,HUM,49071,-528
2014,EW,1099800,-82.9
2014,LRCX,707549,-145503
2014,GD,40533,-521
2014,EMR,32604,-767
2014,ATVI,718877,-107
2014,BAX,10456,-1898
2014,ILMN,1110803,-105996
2014,EL,1001250,-510.2
2014,GM,1467858,-7091
2014,ADI,6281,-177913
2014,ETN,1551182,-632
2014,ROST,745732,-646691
2014,KMI,1506307,-3617
2014,DG,29534,-373967
2014,HCA,860730,-2176
2014,MAR,1048286,-411
2014,ALL,899051,-288
2014,DD,30554,-2020
2014,ROP,882835,-37644
2014,CNC,1071739,-103
2014,XEL,72903,-3199791
2014,CTSH,1058290,-212203
2014,MPC,1510295,-1480
2014,VLO,1035002,-2153
2014,IR,1466258,-233.5
2014,ZBH,1136869,-144.9
2014,YUM,1041061,-1033
2014,HPQ,47217,-3853
2014,WEC,783325,-736.1
2014,HLT,1585689,-268
2014,TROW,1113169,-126.2
2014,OKE,1039684,-1779150
2014,STZ,16918,-223.5
2014,ORLY,898173,-429987
2014,JCI,833444,-288
2014,TDG,1260221,-34146
2014,WDAY,1327811,-103646
2014,REGN,872589,-333006
2014,AVB,915912,-5923
2014,MSI,68505,-181
2014,PEG,788784,-2820
2014,LULU,1397187,-119733
2014,WLTW,1140536,-113
2014,FLT,1175454,-27070
2014,MCK,927653,-274
2014,KLAC,319201,-67502
2014,EIX,827052,-3906
2014,VRSK,1442145,-146818
2014,MNST,865752,-27952
2014,PPL,922224,-4090
2014,ADM,7084,-615
2014,TMUS,1283699,-4317
