year,Company,CIK,Payments to acquire property
2018,AAPL,320193,-13313000000
2018,AMZN,1018724,-13427000000
2018,FB,1326801,-13915000000
2018,GOOGL,1652044,-25139000000
2018,JNJ,200406,-3670000000
2018,V,1403161,-718000000
2018,PG,80424,-3717000000
2018,INTC,50863,-15181000000
2018,UNH,731766,-2063000000
2018,T,732717,-20758000000
2018,HD,354950,-2442000000
2018,DIS,1001039,-4465000000
2018,VZ,732712,-16658000000
2018,KO,21344,-1347000000
2018,PFE,78003,-2042000000
2018,CSCO,858877,-834000000
2018,ADBE,796343,-266579000
2018,WMT,104169,-10344000000
2018,MDT,1613103,-1068000000
2018,NFLX,1065280,-173946000
2018,CRM,1108524,-595000000
2018,BMY,14272,-951000000
2018,PYPL,1633917,-823000000
2018,AMGN,318154,-738000000
2018,PM,1413329,-1436000000
2018,UNP,100885,-3437000000
2018,ABBV,1551152,-638000000
2018,TXN,97476,-1131000000
2018,LMT,936468,-1278000000
2018,TSLA,1318605,-2100724000
2018,QCOM,804328,-784000000
2018,AMT,1053507,-913200000
2018,DHR,313616,-655700000
2018,LOW,60667,-1123000000
2018,CVS,64803,-2037000000
2018,AXP,4962,-1310000000
2018,MO,764180,-238000000
2018,GILD,882095,-924000000
2018,MDLZ,1103982,-1095000000
2018,CHTR,1091667,-9125000000
2018,GS,886982,-7982000000
2018,BDX,10795,-895000000
2018,CI,701221,-471000000
2018,CME,1156375,-116700000
2018,TJX,109198,-1057617000
2018,SYK,310764,-572000000
2018,ANTM,1156039,-1208000000
2018,SPGI,64040,-113000000
2018,INTU,896878,-38000000
2018,DUK,1326160,-113000000
2018,D,715957,-4254000000
2018,FISV,798354,-360000000
2018,ISRG,1035267,-187400000
2018,BLK,1364742,-204000000
2018,CL,21665,-436000000
2018,NOW,1373715,-224462000
2018,MU,723125,-8879000000
2018,VRTX,875320,-95524000
2018,BIIB,875045,-58200000
2018,MMC,62709,-314000000
2018,AMAT,6951,-622000000
2018,NOC,1133421,-1249000000
2018,TGT,27419,-3516000000
2018,NSC,702165,-1951000000
2018,SCHW,316709,-570000000
2018,APD,2969,-1568400000
2018,AON,315293,-240000000
2018,WM,823768,-1694000000
2018,AMD,2488,-163000000
2018,ICE,1571949,-134000000
2018,AEP,4904,-14600000
2018,COF,927628,-874000000
2018,PGR,80661,-266000000
2018,HUM,49071,-612000000
2018,EW,1099800,-238700000
2018,EXC,1109357,-7594000000
2018,EMR,32604,-617000000
2018,ATVI,718877,-131000000
2018,ILMN,1110803,-296000000
2018,EL,1001250,-629000000
2018,GM,1467858,-8761000000
2018,MCO,1059556,-90400000
2018,SPG,1063761,-781909000
2018,ADI,6281,-254876000
2018,ETN,1551182,-565000000
2018,ROST,745732,-371423000
2018,KMI,1506307,-2904000000
2018,DG,29534,-734380000
2018,HCA,860730,-3573000000
2018,MAR,1048286,-556000000
2018,ALL,899051,-277000000
2018,DD,30554,-426000000
2018,ROP,882835,-49100000
2018,CNC,1071739,-675000000
2018,OXY,797468,-4975000000
2018,XEL,72903,-3957000000
2018,NEM,1164727,-1032000000
2018,CTSH,1058290,-377000000
2018,MPC,1510295,-3578000000
2018,VLO,1035002,-124000000
2018,IR,1466258,-365600000
2018,ZBH,1136869,-162700000
2018,YUM,1041061,-234000000
2018,HPQ,47217,-546000000
2018,INFO,1598014,-222700000
2018,WEC,783325,61400000
2018,HLT,1585689,-72000000
2018,TROW,1113169,-168500000
2018,OKE,1039684,-2141475000
2018,ORLY,898173,-504268000
2018,JCI,833444,-1030000000
2018,TDG,1260221,-73341000
2018,WDAY,1327811,-202507000
2018,REGN,872589,-383100000
2018,AVB,915912,-3325000
2018,MSI,68505,-197000000
2018,PEG,788784,-3912000000
2018,ES,72741,-2523371000
2018,LULU,1397187,-225807000
2018,SBAC,1034054,-149812000
2018,WLTW,1140536,-268000000
2018,FE,1031296,-2675000000
2018,FLT,1175454,-81387000
2018,MCK,927653,-405000000
2018,KLAC,319201,-66961000
2018,EIX,827052,-4509000000
2018,SQ,1512673,-61203000
2018,VRSK,1442145,-231000000
2018,PCAR,75362,-457600000
2018,MNST,865752,-61941000
2018,PPL,922224,-3238000000
2018,ADM,7084,-842000000
2018,TMUS,1283699,-5541000000
2018,AZO,866787,-521788000
2018,TWTR,1418091,-483934000
2018,SPLK,1353283,-23160000
2018,MCHP,827054,-7100000
2018,CMI,26172,-709000000
2018,DTE,936340,-1989000000
2018,BLL,9389,-816000000
2018,CERN,804753,-446928000
2018,AWK,1410636,-1586000000
2018,TSN,100493,-1200000000
2018,CSGP,1057352,-29632000
2018,RMD,943819,-62581000
2018,ANSS,1013462,-21762000
2018,IDXX,874716,-115751000
2018,LVS,1300514,-949000000
2018,SNPS,883241,-98976000
2018,PANW,1327567,-112000000
2018,XLNX,743988,-49918000
2018,LYB,1489393,-2105000000
2018,KR,56873,-2809000000
2018,AMP,820027,-162000000
2018,HSY,47111,-328601000
2018,VRSN,1014473,-37007000
2018,VTR,740260,-131858000
2018,FAST,815556,-176300000
2018,FITB,35527,-192000000
2018,HIG,874766,-122000000
2018,DLTR,935703,-817100000
2018,ALGN,1097149,-223312000
2018,CDNS,813672,-61503000
2018,RCL,884887,-3660028000
2018,WDC,106040,-835000000
2018,BBY,764478,-819000000
2018,NTRS,73124,-97600000
2018,DHI,882184,-70200000
2018,VEEV,1393052,-8440000
2018,HAL,45012,-2026000000
2018,KEY,91576,-99000000
2018,VMC,1396009,-469088000
2018,HPE,1645590,-2956000000
2018,CDW,1402057,-86100000
2018,CMS,811156,-2074000000
2018,EFX,33185,-321900000
2018,LEN,920760,-130439000
2018,MTD,1037646,-142726000
2018,LH,920148,-379800000
2018,ACGL,947484,-29809000
2018,MLM,916076,-375954000
2018,DOV,29905,-170994000
2018,COO,711404,-193600000
2018,CFG,759944,-232000000
2018,FTNT,1262039,-53000000
2018,MRVL,1058057,-75921000
2018,MKL,1096343,-106593000
2018,OMC,29989,-195700000
2018,CINF,20286,-20000000
2018,MGM,789570,-1486843000
2018,KMX,1170010,-296816000
2018,PAYC,1590955,-59906000
2018,CTL,18926,-3175000000
2018,ULTA,1403568,-440714000
2018,XYL,1524472,-237000000
2018,TWLO,1447669,-4668000
2018,CAH,721371,-384000000
2018,EXPE,1324424,-878000000
2018,RNG,1384905,-27123000
2018,AKAM,1086222,-217609000
2018,BURL,1579298,-295772000
2018,NUE,73309,-982531000
2018,DGX,1022079,-383000000
2018,WAB,943452,-93305000
2018,HBAN,49196,-110000000
2018,HOLX,859737,-58400000
2018,LDOS,1336920,-73000000
2018,GRMN,1121788,-155755000
2018,MAS,62996,-219000000
2018,SSNC,1402436,-33600000
2018,LBRDK,1611983,-41000
2018,ATO,731802,-1467591000
2018,NTAP,1002047,-145000000
2018,GPC,40987,-232422000
