year,Company,CIK,Payments to acquire property
2015,AAPL,320193,-11247000000
2015,AMZN,1018724,-4589000000
2015,FB,1326801,-2523000000
2015,GOOGL,1652044,-9915000000
2015,JNJ,200406,-3463000000
2015,V,1403161,-414000000
2015,PG,80424,-3736000000
2015,INTC,50863,-7326000000
2015,UNH,731766,-1556000000
2015,T,732717,-19218000000
2015,HD,354950,-1503000000
2015,DIS,1001039,-4265000000
2015,VZ,732712,-17775000000
2015,KO,21344,-2553000000
2015,PFE,78003,-1397000000
2015,CSCO,858877,-1227000000
2015,ADBE,796343,-184936000
2015,BA,12927,-2450000000
2015,WMT,104169,-11477000000
2015,MDT,1613103,-571000000
2015,NFLX,1065280,-91248000
2015,CRM,1108524,-284476000
2015,BMY,14272,-820000000
2015,AMGN,318154,-594000000
2015,COST,909832,-2393000000
2015,PM,1413329,-960000000
2015,ABBV,1551152,-532000000
2015,TXN,97476,-551000000
2015,NKE,320187,-963000000
2015,ORCL,1341439,-1391000000
2015,LMT,936468,-939000000
2015,TSLA,1318605,-1634850000
2015,QCOM,804328,-994000000
2015,AMT,1053507,-728753000
2015,SBUX,829224,-1303700000
2015,DHR,313616,-633000000
2015,LOW,60667,-1197000000
2015,CVS,64803,-2367000000
2015,FIS,1136893,-133300000
2015,MO,764180,-229000000
2015,GILD,882095,-747000000
2015,MDLZ,1103982,-1514000000
2015,CHTR,1091667,-1840000000
2015,GS,886982,-1833000000
2015,BDX,10795,-596000000
2015,CI,701221,-510000000
2015,CME,1156375,-114200000
2015,TJX,109198,-889380000
2015,SYK,310764,-270000000
2015,SPGI,64040,-139000000
2015,INTU,896878,-142000000
2015,SO,92122,-5674000000
2015,DUK,1326160,-6766000000
2015,D,715957,-5575000000
2015,ISRG,1035267,-81000000
2015,BLK,1364742,-221000000
2015,CL,21665,-691000000
2015,NOW,1373715,-87481000
2015,AGN,1578845,-454900000
2015,MU,723125,-4021000000
2015,VRTX,875320,-45302000
2015,BIIB,875045,-643000000
2015,GPN,1123360,-92550000
2015,BSX,885725,-247000000
2015,MMC,62709,-325000000
2015,AMAT,6951,-215000000
2015,NOC,1133421,-471000000
2015,TGT,27419,-1438000000
2015,NSC,702165,-2385000000
2015,SCHW,316709,-266000000
2015,APD,2969,-1614800000
2015,AON,315293,-290000000
2015,AMD,2488,-96000000
2015,ICE,1571949,-190000000
2015,AEP,4904,-5300000
2015,COF,927628,-532000000
2015,PGR,80661,-130700000
2015,HUM,49071,-523000000
2015,EW,1099800,-102700000
2015,LRCX,707549,-198265000
2015,GD,40533,-569000000
2015,EMR,32604,-685000000
2015,SRE,1032208,-3156000000
2015,ATVI,718877,-111000000
2015,BAX,10456,-911000000
2015,ILMN,1110803,-142847000
2015,EL,1001250,-473000000
2015,GM,1467858,-7874000000
2015,MCO,1059556,-89000000
2015,ADI,6281,-153960000
2015,ETN,1551182,-506000000
2015,ROST,745732,-366960000
2015,KMI,1506307,-3896000000
2015,DG,29534,-504806000
2015,HCA,860730,-2375000000
2015,MAR,1048286,-305000000
2015,ALL,899051,-303000000
2015,DD,30554,-1629000000
2015,WBA,1618921,-1251000000
2015,ROP,882835,-36260000
2015,CNC,1071739,-150000000
2015,OXY,797468,-5272000000
2015,XEL,72903,-3683359000
2015,FDX,1048911,-4347000000
2015,CTSH,1058290,-272800000
2015,MPC,1510295,-1998000000
2015,VLO,1035002,-1618000000
2015,IR,1466258,-249600000
2015,ZBH,1136869,-167700000
2015,YUM,1041061,-973000000
2015,HPQ,47217,-3603000000
2015,WEC,783325,-1266200000
2015,HLT,1585689,-310000000
2015,GIS,40704,-712400000
2015,TROW,1113169,-151300000
2015,OKE,1039684,-1188312000
2015,STZ,16918,-719.4
2015,ORLY,898173,-414020000
2015,JCI,833444,-246000000
2015,TDG,1260221,-54871000
2015,WDAY,1327811,-133667000
2015,REGN,872589,-677933000
2015,AVB,915912,-7695000
2015,MSI,68505,-175000000
2015,PEG,788784,-3863000000
2015,LULU,1397187,-143487000
2015,SBAC,1034054,-208707000
2015,PAYX,723531,-102800000
2015,FLT,1175454,-41875000
2015,MCK,927653,-376
2015,KLAC,319201,-45791000
2015,EIX,827052,-4225000000
2015,VRSK,1442145,-166138000
2015,MNST,865752,-35605000
2015,PPL,922224,-3533000000
2015,ADM,7084,-1125000000
2015,TMUS,1283699,-4724000000
2015,AZO,866787,-480579000
2015,SWK,93556,-311400000
2015,TWTR,1418091,-347280000
2015,SPLK,1353283,-51332000
2015,MCHP,827054,-6663
2015,CMI,26172,-744000000
2015,DTE,936340,-1545000000
2015,BLL,9389,-527900000
2015,CERN,804753,-362132000
2015,CTAS,723254,-217720000
2015,DFS,1393612,-168000000
2015,TSN,100493,-854000000
2015,CSGP,1057352,-35061000
2015,RMD,943819,-62502000
2015,ANSS,1013462,-16145000
2015,IDXX,874716,-82921000
2015,LVS,1300514,-1528642000
2015,SNPS,883241,-86965000
2015,PANW,1327567,-33828000
2015,XLNX,743988,-29619
2015,LYB,1489393,-1440000000
2015,KR,56873,-3349000000
2015,AMP,820027,-133000000
2015,HSY,47111,-329707000
2015,VRSN,1014473,-40656000
2015,VTR,740260,-107487000
2015,DXCM,1093557,-33300000
2015,FAST,815556,-155168000
2015,FITB,35527,-164000000
2015,DLTR,935703,-480500000
2015,ALGN,1097149,-53451000
2015,CLX,21076,-125000000
2015,CDNS,813672,-44808000
2015,RSG,1060391,-945600000
2015,RCL,884887,-1613340000
2015,WDC,106040,-612000000
2015,NTRS,73124,-98500000
2015,VEEV,1393052,-21153000
2015,HAL,45012,-2184000000
2015,KEY,91576,-75000000
2015,CDW,1402057,-90100000
2015,CMS,811156,-1564000000
2015,MTD,1037646,-82506000
2015,KHC,1637459,-120000000
2015,LH,920148,-255800000
2015,TFX,96943,-61448000
2015,TRU,1552033,-132200000
2015,MXIM,743316,-75816000
2015,MLM,916076,-318232000
2015,DOV,29905,-154251000
2015,COO,711404,-243023000
2015,CFG,759944,-121000000
2015,FTNT,1262039,-37358000
2015,MRVL,1058057,-63030
2015,MKL,1096343,-79755000
2015,OMC,29989,-202700000
2015,CINF,20286,-10000000
2015,TIF,98246,-252700000
2015,MGM,789570,-1466819000
2015,KMX,1170010,-309817
2015,BMRN,1048477,-227653000
2015,PAYC,1590955,-16549000
2015,CAG,23217,-471900000
2015,CTL,18926,-2872000000
2015,ULTA,1403568,-299167000
2015,XYL,1524472,-117000000
2015,CAH,721371,-300000000
2015,EXPE,1324424,-787041000
2015,CTXS,877890,-160825000
2015,AKAM,1086222,-311676000
2015,BURL,1579298,-201787000
2015,NUE,73309,-374123000
2015,DGX,1022079,-263000000
2015,WAB,943452,-49428000
2015,DRI,940944,-296500000
2015,HOLX,859737,48100000
2015,GRMN,1121788,-80592000
2015,MAS,62996,-158000000
2015,SSNC,1402436,-13600000
2015,ABC,1140859,-231585000
2015,ATO,731802,-975132000
2015,NTAP,1002047,-175.3
2015,GPC,40987,-109544000
2015,LNG,3570,-2829558
2015,BR,1383312,-50300000
2015,L,60086,-1555000000
2015,ANET,1596532,-19989000
2015,GWW,277135,-373868000
2015,FOXA,1308161,-424000000
2015,SGEN,1060736,-13392000
2015,TDY,1094285,-47000000
2015,TTWO,946581,-49501
2015,INCY,879169,-26003000
2015,AMTD,1173431,-71000000
2015,EXAS,1124140,-20084000
2015,NDAQ,1120193,-133000000
2015,CE,1306830,-232000000
2015,HAS,46080,-142022000
2015,ZBRA,877212,-122000000
2015,FMC,37785,-108500000
2015,HRL,48465,-144063000
2015,WYNN,1174922,-1921240000
2015,QRVO,1604778,-169862
2015,ALNY,1178670,-12950000
2015,IEX,832101,-43776000
2015,VAR,203527,-91384000
2015,XRAY,818479,-72000000
2015,TYL,860731,-12501000
2015,EXPD,746515,-44383000
2015,JKHY,779152,-54409000
2015,MKTX,1278021,-4795000
2015,NVR,906163,-18277000
2015,ALLE,1579241,-35200000
2015,HST,1070750,-388000000
2015,RJF,720005,-74111000
2015,TER,97210,-89878000
2015,MYL,1623613,-362900000
2015,TXT,217346,-420000000
2015,WU,1365135,-94400000
2015,AVY,8818,-135800000
2015,NCLH,1513761,-1121984000
2015,WST,105770,-111.9
2015,FICO,814547,-24999000
2015,VMW,1124610,-333000000
2015,URI,1067701,-102000000
2015,PODD,1145197,-10608000
2015,Y,775368,-27258000
2015,AAL,6201,-6151000000
2015,DPZ,1286681,-63282000
2015,PHM,822416,-45440000
2015,TRMB,864749,-43900000
2015,TSCO,916365,-236496000
2015,WRB,11544,-63562000
2015,BRO,79282,-18375000
2015,HII,1501585,-188000000
2015,BAH,1443646,-36041
2015,WRK,1636023,-585500000
2015,PKI,31791,-29632000
2015,ARMK,1584509,-524384000
2015,LKQ,1065696,-170490000
2015,HSIC,1000228,-71684000
2015,EMN,915389,-652000000
2015,CCK,1219601,-354000000
2015,NDSN,72331,-62087000
2015,TAP,24545,-275000000
2015,NBL,72207,61000000
2015,FBHS,1519751,-128500000
2015,CHRW,1043277,-28115000
2015,SIRI,908937,-134892000
2015,MRO,101778,-3476000000
2015,RPM,110621,-85363000
2015,PKG,75677,-314500000
2015,GWRE,1528396,-6301000
2015,BFAM,1437578,-77785000
2015,ZEN,1463172,-22989000
2015,GLPI,1575965,-16149000
2015,MTN,812011,-123884000
2015,NRG,1013871,-1283000000
2015,WEX,1309108,-63491000
2015,WHR,106640,-689000000
2015,CF,1324404,-2469300000
2015,NBIX,914475,-1934000
2015,ALB,915913,-227649000
2015,OGE,1021635,-547800000
2015,CSL,790051,-72100000
2015,GGG,42888,-41749000
2015,LYV,1335258,-142491000
2015,AAP,1158449,-234747000
2015,IPG,51644,-161100000
2015,CGNX,851205,-18228000
2015,DVN,1090012,-5308000000
2015,PTC,857005,-30628000
2015,PCG,1004980,-5173000000
2015,SEIC,350894,-44465000
2015,TRGP,1389170,-817200000
2015,UGI,884614,-490600000
2015,TTC,737758,-56374000
2015,CY,791915,-47206000
2015,AZPN,929940,-7645000
2015,POOL,945841,-29095000
2015,NOV,1021860,-453000000
2015,SRPT,873303,-3401000
2015,LII,1069202,-69900000
2015,ABMD,815094,-5188
2015,XPO,1166003,-249000000
2015,VOYA,1535929,-60100000
2015,G,1398659,-62173000
2015,MASI,937556,-50393000
2015,CPB,16732,-380000000
2015,DVA,927066,-707998000
2015,CZR,858339,-350000000
2015,LAMR,1090425,-110425000
2015,ZION,109380,-157361000
2015,ALK,766421,-831000000
2015,JAZZ,1232524,-35958000
2015,EEFT,1029199,-74620000
2015,MHK,851968,-503657000
2015,TPR,1116132,-199300000
