year,Company,CIK,Payments to acquire property
2017,AAPL,320193,-12451000000
2017,FB,1326801,-6733000000
2017,GOOGL,1652044,-13184000000
2017,JNJ,200406,-3279000000
2017,PG,80424,-3384000000
2017,INTC,50863,-11778000000
2017,UNH,731766,-2023000000
2017,T,732717,-20647000000
2017,HD,354950,-1897000000
2017,DIS,1001039,-3623000000
2017,VZ,732712,-17247000000
2017,KO,21344,-1675000000
2017,PFE,78003,-1956000000
2017,CSCO,858877,-964000000
2017,ADBE,796343,-178122000
2017,BA,12927,-1739000000
2017,WMT,104169,-10051000000
2017,MDT,1613103,-1254000000
2017,NFLX,1065280,-173302000
2017,CRM,1108524,-534027000
2017,PYPL,1633917,-667000000
2017,AMGN,318154,-664000000
2017,COST,909832,-2502000000
2017,PM,1413329,-1548000000
2017,UNP,100885,-3238000000
2017,TXN,97476,-695000000
2017,AVGO,1649338,-1069000000
2017,LMT,936468,-1177000000
2017,TSLA,1318605,-3414814000
2017,QCOM,804328,-690000000
2017,AMT,1053507,-803600000
2017,SBUX,829224,-1519400000
2017,DHR,313616,-619600000
2017,LOW,60667,-1167000000
2017,CVS,64803,-1918000000
2017,AXP,4962,-1062000000
2017,FIS,1136893,-145000000
2017,MO,764180,-199000000
2017,GILD,882095,-590000000
2017,MDLZ,1103982,-1014000000
2017,CHTR,1091667,-8681000000
2017,GS,886982,-3185000000
2017,CI,701221,-471000000
2017,CME,1156375,-81900000
2017,TJX,109198,-1024747000
2017,SYK,310764,-598000000
2017,ANTM,1156039,-799500000
2017,SPGI,64040,-123000000
2017,INTU,896878,-102000000
2017,D,715957,-5504000000
2017,ISRG,1035267,-190700000
2017,BLK,1364742,-155000000
2017,CL,21665,-553000000
2017,NOW,1373715,-150510000
2017,MU,723125,-4734000000
2017,VRTX,875320,-99421000
2017,BIIB,875045,-3000000
2017,MMC,62709,-302000000
2017,AMAT,6951,-345000000
2017,NOC,1133421,-928000000
2017,TGT,27419,-2533000000
2017,NSC,702165,-1723000000
2017,SCHW,316709,-400000000
2017,APD,2969,-1039700000
2017,AON,315293,-183000000
2017,WM,823768,-1509000000
2017,AMD,2488,-113000000
2017,ICE,1571949,-220000000
2017,AEP,4904,-6800000
2017,COF,927628,-1018000000
2017,PGR,80661,-155700000
2017,HUM,49071,-526000000
2017,EW,1099800,-168100000
2017,EXC,1109357,-7584000000
2017,GD,40533,-428000000
2017,EMR,32604,-476000000
2017,SRE,1032208,-3949000000
2017,ATVI,718877,-155000000
2017,BAX,10456,-719000000
2017,ILMN,1110803,-310000000
2017,EL,1001250,-504000000
2017,GM,1467858,-8453000000
2017,MCO,1059556,-90600000
2017,SPG,1063761,-732100000
2017,ADI,6281,-204098000
2017,ETN,1551182,-520000000
2017,ROST,745732,-297880000
2017,KMI,1506307,-3188000000
2017,DG,29534,-646456000
2017,HCA,860730,-3015000000
2017,MAR,1048286,-240000000
2017,ALL,899051,-299000000
2017,DD,30554,-426000000
2017,WBA,1618921,-1351000000
2017,ROP,882835,-48752000
2017,CNC,1071739,-422000000
2017,OXY,797468,-3599000000
2017,XEL,72903,-3319000000
2017,NEM,1164727,-866000000
2017,CTSH,1058290,-284000000
2017,MPC,1510295,-2732000000
2017,VLO,1035002,-1353000000
2017,IR,1466258,-221300000
2017,ZBH,1136869,-156000000
2017,YUM,1041061,-318000000
2017,WEC,783325,-1959500000
2017,HLT,1585689,-58000000
2017,TROW,1113169,-186100000
2017,OKE,1039684,-512393000
2017,STZ,16918,-907400000
2017,ORLY,898173,-465940000
2017,TDG,1260221,-71013000
2017,WDAY,1327811,-141536000
2017,REGN,872589,-272626000
2017,AVB,915912,-8809000
2017,MSI,68505,-227000000
2017,PEG,788784,-4190000000
2017,ES,72741,-2348105000
2017,LULU,1397187,-157864000
2017,SBAC,1034054,-147044000
2017,WLTW,1140536,-300000000
2017,FLT,1175454,-70093000
2017,MCK,927653,-404000000
2017,EIX,827052,-3828000000
2017,SQ,1512673,-26097000
2017,VRSK,1442145,-183500000
2017,PCAR,75362,-423400000
2017,MNST,865752,-83435000
2017,PPL,922224,-3133000000
2017,ADM,7084,-1049000000
2017,TMUS,1283699,-5237000000
2017,AZO,866787,-553832000
2017,SWK,93556,-442400000
2017,SPLK,1353283,-20503000
2017,MCHP,827054,-10218000
2017,CMI,26172,-506000000
2017,DTE,936340,-1574000000
2017,CERN,804753,-362083000
2017,AWK,1410636,-1434000000
2017,DFS,1393612,-218000000
2017,TSN,100493,-1069000000
2017,CSGP,1057352,-24499000
2017,RMD,943819,-62219000
2017,ANSS,1013462,-19149000
2017,IDXX,874716,-74384000
2017,LVS,1300514,-837000000
2017,SNPS,883241,-70328000
2017,PANW,1327567,-163400000
2017,XLNX,743988,-72051000
2017,LYB,1489393,-1547000000
2017,KR,56873,-3699000000
2017,AMP,820027,-162000000
2017,HSY,47111,-257675000
2017,VTR,740260,-132558000
2017,DXCM,1093557,-66000000
2017,FAST,815556,-119900000
2017,FITB,35527,-200000000
2017,HIG,874766,-250000000
2017,DLTR,935703,-632200000
2017,ALGN,1097149,-195695000
2017,CDNS,813672,-57901000
2017,RSG,1060391,-989800000
2017,NTRS,73124,-91600000
2017,DHI,882184,-157300000
2017,VEEV,1393052,-9633000
2017,HAL,45012,-1373000000
2017,KEY,91576,-145000000
2017,VMC,1396009,-459566000
2017,CDW,1402057,-81100000
2017,CMS,811156,-1665000000
2017,LEN,920760,-111773000
2017,MTD,1037646,-127426000
2017,FCX,831259,-1410000000
2017,LH,920148,-312900000
2017,TFX,96943,-70903000
2017,TRU,1552033,-135300000
2017,ACGL,947484,-22841000
2017,MLM,916076,-410325000
2017,DOV,29905,-196735000
2017,COO,711404,-127200000
2017,CFG,759944,-253000000
2017,FTNT,1262039,-135312000
2017,MKL,1096343,-74652000
2017,OMC,29989,-156000000
2017,CINF,20286,-16000000
2017,TIF,98246,-239300000
2017,MGM,789570,-1864082000
2017,KMX,1170010,-418144000
2017,BMRN,1048477,-199219000
2017,PAYC,1590955,-59389000
2017,CTL,18926,-3106000000
2017,ULTA,1403568,-373747000
2017,XYL,1524472,-170000000
2017,TWLO,1447669,-9248000
2017,CAH,721371,-387000000
2017,EXPE,1324424,-710330000
2017,RNG,1384905,-19497000
2017,AKAM,1086222,-254146000
2017,BURL,1579298,-268194000
2017,DGX,1022079,-252000000
2017,WAB,943452,-89466000
2017,HBAN,49196,-194000000
2017,HOLX,859737,-57800000
2017,LDOS,1336920,-27000000
