year,Company,CIK,Payments to acquire property
2016,AAPL,320193,-12734000000
2016,AMZN,1018724,-6737000000
2016,FB,1326801,-4491000000
2016,GOOGL,1652044,-10212000000
2016,JNJ,200406,-3226000000
2016,V,1403161,-523000000
2016,PG,80424,-3314000000
2016,INTC,50863,-9625000000
2016,UNH,731766,-1705000000
2016,T,732717,-21516000000
2016,HD,354950,-1621000000
2016,DIS,1001039,-4773000000
2016,VZ,732712,-17059000000
2016,KO,21344,-2262000000
2016,PFE,78003,-1823000000
2016,CSCO,858877,-1146000000
2016,ADBE,796343,-203805000
2016,BA,12927,-2613000000
2016,WMT,104169,-10619000000
2016,MDT,1613103,-1046000000
2016,NFLX,1065280,-107653000
2016,CRM,1108524,-463958000
2016,BMY,14272,-820000000
2016,PYPL,1633917,-669000000
2016,AMGN,318154,-738000000
2016,COST,909832,-2649000000
2016,PM,1413329,-1172000000
2016,ABBV,1551152,-479000000
2016,TXN,97476,-531000000
2016,LMT,936468,-1063000000
2016,TSLA,1318605,-1280802000
2016,QCOM,804328,-539000000
2016,SBUX,829224,-1440300000
2016,DHR,313616,-589600000
2016,LOW,60667,-1197000000
2016,CVS,64803,-2224000000
2016,AXP,4962,-1375000000
2016,FIS,1136893,-145000000
2016,MO,764180,-189000000
2016,GILD,882095,-748000000
2016,MDLZ,1103982,-1224000000
2016,CHTR,1091667,-5325000000
2016,GS,886982,-2876000000
2016,BDX,10795,-693000000
2016,CI,701221,-461000000
2016,CME,1156375,-91800000
2016,TJX,109198,-1024747000
2016,SYK,310764,-490000000
2016,ANTM,1156039,-583600000
2016,SPGI,64040,-115000000
2016,INTU,896878,-416000000
2016,DUK,1326160,-7901000000
2016,D,715957,-6085000000
2016,ISRG,1035267,-53900000
2016,BLK,1364742,-119000000
2016,CL,21665,-593000000
2016,NOW,1373715,-105562000
2016,MU,723125,-5817000000
2016,VRTX,875320,-56563000
2016,BIIB,875045,-38600000
2016,BSX,885725,-376000000
2016,MMC,62709,-253000000
2016,NOC,1133421,-920000000
2016,TGT,27419,-1547000000
2016,NSC,702165,-1887000000
2016,SCHW,316709,-346000000
2016,APD,2969,-1055800000
2016,AON,315293,-222000000
2016,WM,823768,-1339000000
2016,AMD,2488,-77000000
2016,ICE,1571949,-250000000
2016,AEP,4904,-107900000
2016,COF,927628,-779000000
2016,PGR,80661,-215000000
2016,HUM,49071,-527000000
2016,EW,1099800,-176100000
2016,GD,40533,-392000000
2016,EMR,32604,-447000000
2016,SRE,1032208,-4214000000
2016,ATVI,718877,-136000000
2016,BAX,10456,-719000000
2016,ILMN,1110803,-259891000
2016,EL,1001250,-525300000
2016,GM,1467858,-9542000000
2016,MCO,1059556,-115200000
2016,SPG,1063761,-798465000
2016,ADI,6281,-127397000
2016,ETN,1551182,-497000000
2016,ROST,745732,-297880000
2016,KMI,1506307,-2882000000
2016,DG,29534,-560296000
2016,HCA,860730,-2760000000
2016,MAR,1048286,-199000000
2016,ALL,899051,-313000000
2016,DD,30554,-1019000000
2016,WBA,1618921,-1325000000
2016,ROP,882835,-37305000
2016,CNC,1071739,-306000000
2016,OXY,797468,-2717000000
2016,XEL,72903,-3255550000
2016,CTSH,1058290,-300000000
2016,MPC,1510295,-2892000000
2016,VLO,1035002,-1278000000
2016,IR,1466258,-182700000
2016,ZBH,1136869,-184700000
2016,YUM,1041061,-422000000
2016,HPQ,47217,-433000000
2016,WEC,783325,-1423700000
2016,HLT,1585689,-317000000
2016,TROW,1113169,-148300000
2016,OKE,1039684,-624634000
2016,STZ,16918,-891300000
2016,ORLY,898173,-476344000
2016,JCI,833444,-1249000000
