year,Company,CIK,Payments to acquire property
2011,PNW,764622,-884350
2011,WRB,11544,-45320
2011,BRO,79282,-13608
2011,FDS,1013237,-29343
2011,HII,1501585,-197
2011,PKI,31791,-30592
2011,LKQ,1065696,-86416
2011,HSIC,1000228,-45176
2011,EMN,915389,-457
2011,CCK,1219601,-401
2011,NDSN,72331,-20239
2011,TAP,24545,-235.4
2011,FBHS,1519751,-68.5
2011,DISH,1001082,-778905
2011,CHRW,1043277,-35932
2011,SIRI,908937,-137429
2011,MRO,101778,-3295
2011,PKG,75677,-280213
2011,MTN,812011,-95640
2011,NRG,1013871,-2310
2011,WEX,1309108,-25145
2011,JBHT,728535,-502282
2011,WHR,106640,-608
2011,CF,1324404,-247.2
2011,NBIX,914475,-750
2011,ALB,915913,-190574
2011,OGE,1021635,-1270.4
2011,CSL,790051,-79.6
2011,GGG,42888,-23854
2011,LYV,1335258,-107500
2011,AAP,1158449,-268129
2011,IRM,1020569,-209155
2011,IPG,51644,-140.3
2011,DVN,1090012,-7534
2011,PTC,857005,-27817
2011,PCG,1004980,-4038
2011,SEIC,350894,-12271
2011,UGI,884614,-360.7
2011,TTC,737758,-57447
2011,CY,791915,-80556
2011,POOL,945841,-19454
2011,NOV,1021860,-483
2011,LII,1069202,-43.2
2011,G,1398659,-35776
2011,MASI,937556,-5057
2011,CPB,16732,-272
2011,DVA,927066,-400156
2011,CZR,858339,-283.2
2011,LAMR,1090425,-107070
2011,ZION,109380,-77669
2011,ALK,766421,-387.4
2011,JAZZ,1232524,-1279
2011,EEFT,1029199,-46002
2011,MHK,851968,-275573
2011,TPR,1116132,-147744
2011,MPWR,1280452,-21022
2011,NWL,814453,-222.9
2011,TECH,842023,-3630
2011,JNPR,1043604,-266314
2011,RS,861884,-156.4
2011,ST,1477294,-89807
2011,ENTG,1101302,-30267
2011,FFIV,1048695,-30445
2011,LPLA,1397911,-36347
2011,SLG,1040971,-159100
2011,CRL,1100682,-49143
2011,ATR,896622,-179692
2011,IONS,874015,-7331
2011,NLSN,1492633,-177
2011,BG,1144519,-1125
2011,PNR,77360,-73348
2011,FLIR,354908,-42014
2011,KSS,885639,-927
2011,BEN,38777,-131722
2011,CBSH,22356,-21332
2011,PBCT,1378946,-20.5
2011,EWBC,1069157,-10507
2011,IVZ,914208,-107
2011,RHI,315213,-56535
2011,WBC,1390844,-98.3
2011,DCI,29644,-60633
2011,FAF,1472787,-69797
2011,OC,1370946,-442
2011,CACI,16058,-14388
2011,TCF,814184,-34865
2011,PB,1068851,-9480
2011,PVH,78239,-169841
2011,CIEN,936395,-52367
2011,HFC,48039,-334904
2011,HZNP,1492426,-1604
2011,FLS,30625,-107967
2011,WWD,108312,-48255
2011,CW,26324,-84831
2011,DNKN,1357204,-18596
2011,HXL,717605,-158
2011,MIDD,769520,-7840
2011,OSK,775158,-82.3
2011,ACC,1283630,-23277
2011,ITT,216228,-103
2011,MKSI,1049502,-15567
2011,STLD,1022671,-167007
2011,LEG,58492,-75
2011,TOL,794170,-9553
2011,INGR,1046257,-263
2011,JBL,898293,-458989
2011,RL,1037038,-255
2011,NATI,935494,-54830
2011,CASY,726958,-214573
2011,JBLU,1158463,-480
2011,SON,91767,-173372
2011,SEE,1012100,-124.5
2011,SNX,1177394,-40153
2011,SRCL,861878,-53301
2011,WSO,105016,-13925
2011,WSM,719955,-130353
2011,MAN,871763,-64.9
2011,PWR,1050915,-172005
2011,NUAN,1002517,-34907
2011,LB,701985,-426
2011,IDA,1057877,-337765
2011,LECO,59527,-65813
2011,EPR,1045450,-53175
2011,NYT,71691,-44887
2011,BPOP,763901,-50043
2011,EXEL,939767,-991
2011,THG,944695,-16.5
2011,EV,350797,-10639
2011,PII,931015,-84484
2011,HOG,793952,-189035
2011,M,794367,-555
2011,CFR,39263,-26719
2011,HBI,1359841,-90099
2011,HE,354707,-235116
2011,NYCB,910073,-40746
2011,SNV,18349,-15944
2011,BRKR,1109354,-54.4
2011,BC,14930,-90
2011,AWI,7431,-150.6
2011,SKX,1065837,-122238
2011,IPGP,1111928,-53007
2011,MANH,1056696,-5074
2011,MAT,63276,-88721
2011,SMG,825542,-72.7
2011,AYI,1144215,-23.3
2011,CRI,1060822,-45495
2011,DISCA,1437107,-58
2011,HUN,1307954,-330
2011,KNX,1492691,-239575
2011,RP,1286225,-16147
2011,GPK,1408075,-160.1
2011,HP,46765,-694264
2011,AGCO,880266,-300.4
2011,CACC,885550,-6334
2011,DLB,1308547,-47362
2011,CR,25445,-34737
2011,LSTR,853816,-4337
2011,KEX,56047,-226238
2011,LAZ,1311370,-46438
2011,LFUS,889331,-17555
2011,NCR,70866,-101
2011,WBS,801337,-28867
2011,CLH,822818,-148513
2011,THO,730263,-33749
2011,FL,850209,-152
2011,UTHR,1082554,-35977
2011,FSLR,1274494,-731814
2011,JWN,72333,-511
2011,ADS,1101215,-73502
2011,PACW,1102112,-5936
2011,FLO,1128928,-79162
2011,HLF,1180262,-90408
2011,TPX,1206264,-29466
2011,STL,1070154,-3465
2011,AMG,1004434,-16.1
2011,WEN,30697,-146763
2011,IART,917520,-38425
2011,GPS,39911,-548
2011,FNB,37808,-17115
2011,RYN,52827,-144522
2011,LOPE,1434588,-80545
2011,UMPQ,1077771,-33974
2011,EXP,918646,-17224
2011,NKTR,906709,-9722
2011,CLGX,36047,-45215
2011,ICUI,883984,-15824
2011,TKR,98362,-205.3
2011,FCNCA,798941,-76901
2011,WTFC,1015328,-79132
2011,NFG,70145,-837612
2011,GRA,1045309,-141.6
2011,CHH,1046311,-10924
2011,CFX,1420800,-14786
2011,MFA,1055160,-2343
2011,RBC,82811,-57621
2011,LM,704051,-32904
2011,CNK,1385280,-184819
2011,MUR,717423,-2623407
2011,PEGA,1013857,-9835
2011,MIC,1289790,-33764
2011,H,1468174,-331
2011,BKU,1504008,-4890
2011,GT,42582,-1043
2011,VMI,102729,-83069
2011,MSM,1003078,-25479
2011,MORN,1289419,-23322
2011,EVR,1360901,-8662
2011,RIG,1451505,-1020
2011,ACHC,1520697,-9558
2011,NEU,1282637,-53515
2011,DKS,1089063,-201807
2011,COLM,1050797,-78404
2011,TDC,816761,-42
2011,KAR,1395942,-85.8
2011,BOKF,875357,-56195
2011,R,85961,-1698589
2011,OLN,74303,-200.9
2011,S,101830,-3130
2011,THS,1320695,-68523
2011,SLGN,849869,-173009
2011,CBT,16040,-230
2011,AN,350698,-149.1
2011,GHC,104889,-216381
2011,TRN,99780,-29.4
2011,WWE,1091907,-27956
2011,UFS,1381531,-144
2011,WCC,929008,-33347
2011,SATS,1415404,-377172
2011,SBGI,912752,-35835
2011,BGCP,1094831,-27190
2011,AMCX,1514991,-15371
2011,PTEN,889900,-1011578
2011,MCY,64996,-18079
2011,CNA,21175,-84
2011,TFSL,1381668,-2616
2011,ANAT,904163,-17588
