year,Company,CIK,Payments to acquire property
2012,AAPL,320193,-8295
2012,AMZN,1018724,-3785
2012,FB,1326801,-1235
2012,JNJ,200406,-2934
2012,V,1403161,-376
2012,PG,80424,-3964
2012,INTC,50863,-11027
2012,UNH,731766,-1070
2012,T,732717,-19465
2012,HD,354950,-1312
2012,DIS,1001039,-3784
2012,VZ,732712,-16175
2012,KO,21344,-2780
2012,PFE,78003,-1327
2012,CSCO,858877,-1126
2012,ADBE,796343,-271076
2012,BA,12927,-1713
2012,NFLX,1065280,-41457
2012,CRM,1108524,-175601
2012,BMY,14272,-548
2012,AMGN,318154,-689
2012,PM,1413329,-1056
2012,UNP,100885,-3738
2012,TXN,97476,-495
2012,LMT,936468,-942
2012,TSLA,1318605,-239228
2012,QCOM,804328,-1284
2012,AMT,1053507,-568048
2012,SBUX,829224,-856.2
2012,DHR,313616,-458.3
2012,LOW,60667,-1829
2012,CVS,64803,-2030
2012,AXP,4962,-1053
2012,FIS,1136893,-123.7
2012,MO,764180,-124
2012,MDLZ,1103982,-1610
2012,CHTR,1091667,-1745
2012,BDX,10795,-487430
2012,CI,701221,-408
2012,CME,1156375,-141.8
2012,TJX,109198,-803330
2012,SYK,310764,-210
2012,ANTM,1156039,-544.9
2012,SPGI,64040,-97
2012,INTU,896878,-135
2012,DUK,1326160,-5501
2012,FISV,798354,-195
2012,ISRG,1035267,-141.8
2012,BLK,1364742,-150
2012,CL,21665,-565
2012,RTN,1047122,-339
2012,NOW,1373715,-7959
2012,MU,723125,-1699
2012,VRTX,875320,-71140
2012,BIIB,875045,-254548
2012,BSX,885725,-226
2012,MMC,62709,-320
2012,AMAT,6951,-162
2012,NOC,1133421,-331
2012,TGT,27419,-3277
2012,NSC,702165,-2241
2012,SCHW,316709,-148
2012,APD,2969,-1521
2012,AON,315293,-269
2012,WM,823768,-1510
2012,AMD,2488,-133
2012,EQIX,1101239,-24656
2012,COF,927628,-560
2012,PGR,80661,-127.7
2012,HUM,49071,-410
2012,EW,1099800,-120.7
2012,LRCX,707549,-107272
2012,GD,40533,-450
2012,EMR,32604,-665
2012,SRE,1032208,-2956
2012,ATVI,718877,-73
2012,ILMN,1110803,-68781
2012,EL,1001250,-420.7
2012,GM,1467858,-8068
2012,MCO,1059556,-45
2012,ADI,6281,-132176
2012,ETN,1551182,-593
2012,ROST,745732,-416271
2012,HCA,860730,-1862
2012,MAR,1048286,-437
