year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2017,AAPL,320193,2.29234E+11,48351000000,-12451000000
2017,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2017,AMZN,1018724,1.77866E+11,3033000000,tag not found
2017,FB,1326801,40653000000,15934000000,-6733000000
2017,GOOGL,1652044,1.10855E+11,12662000000,-13184000000
2017,JPM,19617,7248000000,24441000000,tag not found
2017,JNJ,200406,Income statement not found,1300000000,-3279000000
2017,V,1403161,Income statement not found,1300000000,-3279000000
2017,PG,80424,Income statement not found,0,-3384000000
2017,INTC,50863,62761000000,9601000000,-11778000000
2017,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2017,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2017,UNH,731766,2.01159E+11,0,-2023000000
2017,T,732717,1.60546E+11,0,-20647000000
2017,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2017,HD,354950,Income statement not found,8630000000,-1897000000
2017,DIS,1001039,55137000000,0,-3623000000
2017,VZ,732712,1.26034E+11,0,-17247000000
2017,KO,21344,0,0,-1675000000
2017,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2017,PFE,78003,0,0,-1956000000
2017,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2017,CSCO,858877,48005000000,9609000000,-964000000
2017,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2017,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2017,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2017,ADBE,796343,7301505000,1693954000,-178122000
2017,BA,12927,93392000000,8197000000,-1739000000
2017,C,831001,Income statement not found,cash flow not found,cash flow not found
2017,WMT,104169,5.00343E+11,0,-10051000000
2017,MDT,1613103,29710000000,0,-1254000000
2017,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2017,NFLX,1065280,11692713000,558929000,-173302000
2017,ABT,1800,27390000000,cash flow not found,cash flow not found
2017,CRM,1108524,0,127478000,-534027000
2017,BMY,14272,0,127478000,-534027000
2017,NVDA,1045810,9714000000,3047000000,tag not found
2017,PYPL,1633917,13094000000,1795000000,-667000000
2017,AMGN,318154,22849000000,1979000000,-664000000
