year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2015,AAPL,320193,233715000000.0,53394000000.0,-11247000000.0
2015,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2015,AMZN,1018724,107006000000.0,596000000.0,-4589000000.0
2015,FB,1326801,17928000000.0,3688000000.0,-2523000000.0
2015,GOOGL,1652044,74989000000.0,16348000000.0,-9915000000.0
2015,JPM,19617,0,24442000000.0,tag not found
2015,JNJ,200406,Income statement not found,15409000000.0,-3463000000.0
2015,V,1403161,13880000000.0,0,-414000000.0
2015,PG,80424,Income statement not found,0,-3736000000.0
2015,INTC,50863,55355000000.0,11420000000.0,-7326000000.0
2015,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2015,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2015,UNH,731766,157107000000.0,0,-1556000000.0
2015,T,732717,146801000000.0,0,-19218000000.0
2015,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2015,HD,354950,Income statement not found,7009000000.0,-1503000000.0
2015,DIS,1001039,52465000000.0,0,-4265000000.0
2015,VZ,732712,131620000000.0,0,-17775000000.0
2015,KO,21344,0,0,-2553000000.0
2015,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2015,PFE,78003,0,0,-1397000000.0
2015,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2015,CSCO,858877,49161000000.0,8981000000.0,-1227000000.0
2015,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2015,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2015,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2015,ADBE,796343,4795511000.0,629551000.0,-184936000.0
2015,BA,12927,96114000000.0,5176000000.0,-2450000000.0
2015,C,831001,Income statement not found,cash flow not found,cash flow not found
2015,WMT,104169,482130000000.0,0,-11477000000.0
2015,MDT,1613103,20261000000.0,2675000000.0,-571000000.0
2015,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2015,NFLX,1065280,6779511000.0,122641000.0,-91248000.0
2015,ABT,1800,20405000000.0,cash flow not found,cash flow not found
2015,CRM,1108524,0,-47426000.0,-284476000.0
2015,BMY,14272,Income statement not found,0,-820000000.0
2015,NVDA,1045810,5010000000.0,614000000.0,tag not found
2015,PYPL,1633917,Income statement not found,cash flow not found,cash flow not found
2015,AMGN,318154,21662000000.0,6939000000.0,-594000000.0
2015,IBM,51143,81741000000.0,cash flow not found,cash flow not found
2015,COST,909832,26101000000.0,0,-2393000000.0
2015,ACN,1467373,Income statement not found,cash flow not found,cash flow not found
2015,TMO,97745,Income statement not found,cash flow not found,cash flow not found
2015,PM,1413329,Income statement not found,0,-960000000.0
2015,NEE,753308,0,2752000000.0,tag not found
2015,UNP,100885,21813000000.0,2752000000.0,tag not found
2015,ABBV,1551152,Income statement not found,0,-532000000.0
2015,HON,773840,Income statement not found,cash flow not found,cash flow not found
2015,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2015,LLY,59478,19958700000.0,2408400000.0,tag not found
2015,TXN,97476,13000000000.0,2986000000.0,-551000000.0
2015,NKE,320187,30601000000.0,3273000000.0,-963000000.0
2015,AVGO,1649338,30601000000.0,3273000000.0,-963000000.0
2015,ORCL,1341439,38226000000.0,9938000000.0,-1391000000.0
2015,GE,40545,Income statement not found,cash flow not found,cash flow not found
2015,LMT,936468,Income statement not found,3605000000.0,-939000000.0
2015,TSLA,1318605,4046025000.0,-888663000.0,-1634850000.0
2015,QCOM,804328,25281000000.0,0,-994000000.0
2015,AMT,1053507,4771516000.0,0,-728753000.0
2015,SBUX,829224,Income statement not found,0,-1303700000.0
2015,DHR,313616,Income statement not found,3357400000.0,-633000000.0
2015,LOW,60667,Income statement not found,2546000000.0,-1197000000.0
2015,CVS,64803,153290000000.0,0,-2367000000.0
2015,MMM,66740,Income statement not found,cash flow not found,cash flow not found
2015,AXP,4962,0,cash flow not found,cash flow not found
2015,FIS,1136893,Income statement not found,0,-133300000.00000001
2015,MO,764180,Income statement not found,0,-229000000.0
2015,GILD,882095,32639000000.0,0,-747000000.0
2015,MDLZ,1103982,Income statement not found,0,-1514000000.0
2015,CHTR,1091667,2512000000.0,0,-1840000000.0
2015,USB,36104,Income statement not found,cash flow not found,cash flow not found
2015,GS,886982,Income statement not found,6083000000.0,-1833000000.0
2015,ADP,8670,Income statement not found,cash flow not found,cash flow not found
2015,BDX,10795,10282000000.0,695000000.0,-596000000.0
2015,CI,701221,37876000000.0,0,-510000000.0
2015,CME,1156375,3326800000.0,0,-114200000.0
2015,TJX,109198,30944938000.0,2277658000.0,-889380000.0
2015,SYK,310764,Income statement not found,1439000000.0,-270000000.0
2015,CB,896159,Income statement not found,2834000000.0,tag not found
2015,UPS,1090727,Income statement not found,cash flow not found,cash flow not found
2015,CAT,18230,Income statement not found,cash flow not found,cash flow not found
2015,ANTM,1156039,79156500000.0,cash flow not found,cash flow not found
2015,SPGI,64040,1374000000.0,0,-139000000.0
2015,INTU,896878,4192000000.0,365000000.0,-142000000.0
2015,SO,92122,17489000000.0,0,-5674000000.0
2015,DUK,1326160,23459000000.0,2816000000.0,-6766000000.0
2015,D,715957,11683000000.0,1899000000.0,-5575000000.0
2015,FISV,798354,5254000000.0,1899000000.0,-5575000000.0
2015,PLD,1045609,5254000000.0,1899000000.0,-5575000000.0
2015,PNC,713676,Income statement not found,cash flow not found,cash flow not found
2015,ISRG,1035267,2384400000.0,588800000.0,-81000000.0
2015,ZTS,1555280,Income statement not found,cash flow not found,cash flow not found
2015,COP,1163165,Income statement not found,cash flow not found,cash flow not found
2015,BLK,1364742,0,0,-221000000.0
2015,MS,895421,0,0,-221000000.0
2015,CL,21665,16034000000.0,0,-691000000.0
2015,RTN,1047122,23247000000.0,0,-691000000.0
2015,NOW,1373715,Income statement not found,-198426000.0,-87481000.0
2015,AGN,1578845,15071000000.0,0,-454900000.0
2015,MU,723125,16192000000.0,0,-4021000000.0
2015,CCI,1051470,Income statement not found,cash flow not found,cash flow not found
2015,VRTX,875320,1032336000.0,0,-45302000.0
2015,BIIB,875045,10763800000.0,0,-643000000.0
2015,GPN,1123360,2773718000.0,0,-92550000.0
2015,ITW,49826,13405000000.0,cash flow not found,cash flow not found
2015,BSX,885725,7477000000.0,0,-247000000.0
2015,MMC,62709,0,0,-325000000.0
2015,AMAT,6951,9659000000.0,1377000000.0,-215000000.0
2015,CSX,277948,Income statement not found,cash flow not found,cash flow not found
2015,NOC,1133421,Income statement not found,1990000000.0,-471000000.0
2015,TGT,27419,73785000000.0,0,-1438000000.0
2015,NSC,702165,10511000000.0,0,-2385000000.0
2015,SCHW,316709,6380000000.0,1447000000.0,-266000000.0
2015,APD,2969,Income statement not found,1277900000.0,-1614800000.0
2015,AON,315293,11682000000.0,0,-290000000.0
2015,DE,315189,Income statement not found,cash flow not found,cash flow not found
2015,WM,823768,12961000000.0,cash flow not found,cash flow not found
2015,ECL,31462,Income statement not found,cash flow not found,cash flow not found
2015,AMD,2488,3991000000.0,-660000000.0,-96000000.0
2015,EQIX,1101239,2725867000.0,0,tag not found
2015,ICE,1571949,4682000000.0,0,-190000000.0
2015,AEP,4904,16453200000.0,0,-5300000.0
2015,KMB,55785,Income statement not found,cash flow not found,cash flow not found
2015,COF,927628,0,4050000000.0,-532000000.0
2015,SLB,87347,Income statement not found,cash flow not found,cash flow not found
2015,PGR,80661,Income statement not found,0,-130699999.99999999
2015,SHW,89800,Income statement not found,cash flow not found,cash flow not found
2015,HUM,49071,13361000000.0,1276000000.0,-523000000.0
2015,EW,1099800,2493700000.0,0,-102700000.0
2015,LRCX,707549,5259312000.0,655577000.0,-198265000.0
2015,EXC,1109357,Income statement not found,cash flow not found,cash flow not found
2015,GD,40533,Income statement not found,2965000000.0,-569000000.0
2015,EMR,32604,Income statement not found,0,-685000000.0
2015,AIG,5272,58327000000.0,0,-685000000.0
2015,SRE,1032208,0,0,-3156000000.0
2015,EOG,821189,Income statement not found,-4524515000.0,tag not found
2015,ATVI,718877,4664000000.0,892000000.0,-111000000.0
2015,ADSK,769397,2504100000.0,-330500000.0,tag not found
2015,BAX,10456,9968000000.0,968000000.0,-911000000.0
2015,ILMN,1110803,2219762000.0,0,-142847000.0
