year,Company,CIK,Revenue,NetIncomeLoss,Payments to acquire property
2016,AAPL,320193,215639000000.0,45687000000.0,-12734000000.0
2016,MSFT,789019,Income statement not found,cash flow not found,cash flow not found
2016,AMZN,1018724,135987000000.0,2371000000.0,-6737000000.0
2016,FB,1326801,27638000000.0,10217000000.0,-4491000000.0
2016,GOOGL,1652044,90272000000.0,19478000000.0,-10212000000.0
2016,JPM,19617,0,24733000000.0,tag not found
2016,JNJ,200406,Income statement not found,16540000000.0,-3226000000.0
2016,V,1403161,15082000000.0,0,-523000000.0
2016,PG,80424,Income statement not found,0,-3314000000.0
2016,INTC,50863,59387000000.0,10316000000.0,-9625000000.0
2016,MA,1141391,Income statement not found,cash flow not found,cash flow not found
2016,BAC,70858,Income statement not found,cash flow not found,cash flow not found
2016,UNH,731766,184840000000.0,0,-1705000000.0
2016,T,732717,163786000000.0,0,-21516000000.0
2016,XOM,34088,Income statement not found,cash flow not found,cash flow not found
2016,HD,354950,Income statement not found,7957000000.0,-1621000000.0
2016,DIS,1001039,55632000000.0,0,-4773000000.0
2016,VZ,732712,125980000000.0,0,-17059000000.0
2016,KO,21344,0,0,-2262000000.0
2016,MRK,310158,Income statement not found,cash flow not found,cash flow not found
2016,PFE,78003,0,0,-1823000000.0
2016,CVX,93410,Income statement not found,cash flow not found,cash flow not found
2016,CSCO,858877,49247000000.0,10739000000.0,-1146000000.0
2016,PEP,77476,Income statement not found,cash flow not found,cash flow not found
2016,CMCSA,1166691,Income statement not found,cash flow not found,cash flow not found
2016,WFC,72971,Income statement not found,cash flow not found,cash flow not found
2016,ADBE,796343,5854430000.0,1168782000.0,-203805000.0
2016,BA,12927,94571000000.0,4895000000.0,-2613000000.0
2016,C,831001,Income statement not found,cash flow not found,cash flow not found
2016,WMT,104169,485873000000.0,0,-10619000000.0
2016,MDT,1613103,28833000000.0,3538000000.0,-1046000000.0
2016,MCD,63908,Income statement not found,cash flow not found,cash flow not found
2016,NFLX,1065280,8830669000.0,186678000.0,-107653000.0
2016,ABT,1800,20853000000.0,cash flow not found,cash flow not found
2016,CRM,1108524,0,179632000.0,-463958000.0
2016,BMY,14272,Income statement not found,0,-820000000.0
2016,NVDA,1045810,6910000000.0,1666000000.0,tag not found
2016,PYPL,1633917,10842000000.0,1401000000.0,-669000000.0
2016,AMGN,318154,22991000000.0,7722000000.0,-738000000.0
2016,IBM,51143,79919000000.0,cash flow not found,cash flow not found
2016,COST,909832,79919000000.0,0,-2649000000.0
2016,ACN,1467373,Income statement not found,cash flow not found,cash flow not found
2016,TMO,97745,Income statement not found,cash flow not found,cash flow not found
2016,PM,1413329,Income statement not found,0,-1172000000.0
2016,NEE,753308,0,2912000000.0,tag not found
2016,UNP,100885,19941000000.0,2912000000.0,tag not found
2016,ABBV,1551152,Income statement not found,5953000000.0,-479000000.0
2016,HON,773840,Income statement not found,cash flow not found,cash flow not found
2016,UTX,101829,Income statement not found,cash flow not found,cash flow not found
2016,LLY,59478,21222100000.0,2737600000.0,tag not found
2016,TXN,97476,13370000000.0,3595000000.0,-531000000.0
2016,NKE,320187,13370000000.0,3595000000.0,-531000000.0
2016,AVGO,1649338,13240000000.0,0,-723000000.0
2016,ORCL,1341439,13240000000.0,0,-723000000.0
2016,GE,40545,Income statement not found,cash flow not found,cash flow not found
2016,LMT,936468,Income statement not found,5302000000.0,-1063000000.0
2016,TSLA,1318605,7000132000.0,0,-1280802000.0
2016,QCOM,804328,23554000000.0,0,-539000000.0
2016,AMT,1053507,5785668000.0,0,-539000000.0
2016,SBUX,829224,Income statement not found,0,-1440300000.0
2016,DHR,313616,Income statement not found,2553700000.0,-589600000.0
2016,LOW,60667,Income statement not found,2546000000.0,-1197000000.0
2016,CVS,64803,177526000000.0,0,-2224000000.0
2016,MMM,66740,Income statement not found,cash flow not found,cash flow not found
2016,AXP,4962,0,5408000000.0,-1375000000.0
