year,Company,CIK,NetIncomeLoss
2017,TOL,794170,535495000
2017,RL,1037038,-99300000
2017,NATI,935494,52411000
2017,CASY,726958,177485000
2017,JBLU,1158463,1147000000
2017,NTNX,1618732,-458011000
2017,SEE,1012100,814900000
2017,BERY,1378992,340000000
2017,ETSY,1370637,81800000
2017,WSM,719955,259545000
2017,NUAN,1002517,-150996000
2017,LB,701985,983000000
2017,BPOP,763901,107681000
2017,WAL,1212545,325492000
2017,EXEL,939767,154227000
2017,THG,944695,186200000
2017,CREE,895419,-98118000
2017,PII,931015,172492000
2017,CFR,39263,364149000
2017,HBI,1359841,61894000
2017,PRI,1475922,350255000
2017,NYCB,910073,466201000
2017,ALSN,1411207,504000000
2017,BLUE,1293971,-335643000
2017,ZNGA,1439404,26639000
2017,AWI,7431,104700000
2017,MTG,876437,355761000
2017,MANH,1056696,116481000
2017,SERV,1428875,510000000
2017,MAT,63276,-1053836000
2017,AYI,1144215,321700000
2017,CRI,1060822,302764000
2017,PCTY,1591698,6718000
2017,RP,1286225,377000
2017,HRB,12659,408945000
2017,CACC,885550,470200000
2017,CR,25445,171800000
2017,WBS,801337,255439000
2017,AGO,1273813,730000000
2017,XEC,1168054,494329000
2017,THO,730263,374254000
2017,FL,850209,284000000
2017,FSLR,1274494,-165615000
2017,JWN,72333,437000000
2017,PSTG,1474432,-177602000
2017,VVV,1674910,304000000
2017,FLO,1128928,150120000
2017,HLF,1180262,213900000
2017,STL,1070154,93031000
2017,WEN,30697,194029000
2017,LOGM,1420302,99523000
2017,IART,917520,64743000
2017,GPS,39911,848000000
2017,FNB,37808,199204000
2017,UNVR,1494319,119800000
2017,LOPE,1434588,203319000
2017,EXP,918646,198219000
2017,NKTR,906709,-96692000
2017,TKR,98362,203400000
2017,FCNCA,798941,323752000
2017,WTFC,1015328,257682000
2017,BOH,46195,184672000
2017,NFG,70145,283482000
2017,COHR,21510,207122000
2017,SAGE,1597553,-270120000
2017,UHAL,4457,398424000
2017,ASB,7789,229264000
2017,APLE,1418121,182492000
2017,BKU,1504008,614273000
2017,ENR,1632790,201500000
2017,FEYE,1370880,-303691000
2017,MSM,1003078,231431000
2017,NEWR,1448056,-61077000
2017,TRIP,1526520,-19000000
2017,AGIO,1439222,-314670000
2017,NEU,1282637,190509000
2017,TCBI,1077428,197063000
2017,OLLI,1639300,59764000
2017,TDC,816761,-67000000
2017,KAR,1395942,362000000
2017,SC,1580608,1187606000
2017,R,85961,790558000
2017,OLN,74303,549500000
2017,S,101830,-1206000000
2017,THS,1320695,-286200000
2017,CXP,1252849,176041000
2017,COMM,1517228,193764000
2017,CLR,732834,789447000
2017,AN,350698,434600000
2017,CMD,19446,71378000
2017,WWE,1091907,32640000
2017,UFS,1381531,-258000000
2017,KOS,1509991,-222792000
2017,NUS,1021561,129437000
2017,URBN,912615,218120000
2017,SFM,1575515,158440000
2017,PTEN,889900,5910000
2017,MCY,64996,144877000
2017,CNA,21175,899000000
2017,SNDR,1692063,389900000
2017,TFSL,1381668,88877000
