year,Company,CIK,NetIncomeLoss
2012,AAPL,320193,41733
2012,AMZN,1018724,-39
2012,FB,1326801,53
2012,JPM,19617,21284
2012,INTC,50863,11005
2012,UNH,731766,5526
2012,HD,354950,4535
2012,CSCO,858877,8041
2012,ADBE,796343,832775
2012,BA,12927,4018
2012,NFLX,1065280,17152
2012,NVDA,1045810,562536
2012,AMGN,318154,4345
2012,UNP,100885,3943
2012,LLY,59478,4088.6
2012,TXN,97476,1759
2012,LMT,936468,2745
2012,TSLA,1318605,-396213
2012,DHR,313616,2392.2
2012,AXP,4962,4482
2012,GS,886982,7475
2012,SYK,310764,1298
2012,CB,896159,2706
2012,ANTM,1156039,2655.5
2012,INTU,896878,792
2012,FISV,798354,611
2012,ISRG,1035267,656.6
2012,NOW,1373715,-6684
2012,AMAT,6951,109
2012,SCHW,316709,928
2012,APD,2969,1167.3
2012,AMD,2488,-1183
2012,COF,927628,3517
2012,PGR,80661,902.3
2012,HUM,49071,1222
2012,LRCX,707549,168723
2012,GD,40533,-332
2012,EOG,821189,570279
2012,ATVI,718877,1149
2012,ADSK,769397,247.4
2012,ILMN,1110803,151254
2012,ADI,6281,651236
2012,ROST,745732,657170
2012,MAR,1048286,571
2012,ALL,899051,2306
2012,ROP,882835,483360
2012,AFL,4977,2866
2012,XEL,72903,905229
2012,CTSH,1058290,1051263
2012,DAL,27904,1009
2012,WEC,783325,546.3
2012,TROW,1113169,883.6
2012,EA,712515,76
2012,ORLY,898173,585746
2012,JCI,833444,472
2012,TDG,1260221,324969
2012,REGN,872589,750269
2012,MSI,68505,881
2012,PEG,788784,1275
2012,LULU,1397187,270556
2012,MCK,927653,1403
2012,KLAC,319201,756015
2012,VRSK,1442145,329142
2012,PCAR,75362,1111.6
2012,TMUS,1283699,394172
2012,O,726728,159152
2012,AZO,866787,930373
2012,SWK,93556,883.8
2012,MCHP,827054,336705
2012,CERN,804753,397232
2012,AWK,1410636,358070
2012,MSCI,1408198,13824
2012,DFS,1393612,2345
2012,CSGP,1057352,9915
2012,RMD,943819,254850
2012,ANSS,1013462,203483
2012,XLNX,743988,530079
2012,DXCM,1093557,-54.5
2012,FAST,815556,420536
2012,GLW,24741,1728
2012,DLTR,935703,619.3
2012,ALGN,1097149,58691
2012,CLX,21076,541
2012,CDNS,813672,439948
2012,CPRT,900075,182119
2012,RCL,884887,18287
2012,WDC,106040,1612
2012,CDW,1402057,119
2012,MTD,1037646,290847
2012,MXIM,743316,386727
2012,DOV,29905,811070
2012,FTNT,1262039,66836
2012,MRVL,1058057,306585
2012,CINF,20286,421
2012,CXO,1358071,431689
2012,TIF,98246,416157
2012,KMX,1170010,413795
2012,RF,1281761,1120
2012,BMRN,1048477,-114347
2012,CTL,18926,777
2012,CAH,721371,1069
2012,AKAM,1086222,203989
2012,WAB,943452,251732
2012,HBAN,49196,641022
2012,HOLX,859737,-73634
2012,LDOS,1336920,525
2012,GRMN,1121788,542403
2012,SSNC,1402436,45820
2012,LNT,352541,335.7
2012,ABC,1140859,718986
2012,ATO,731802,216717
2012,NTAP,1002047,605.4
2012,LNG,3570,-332780
2012,SGEN,1060736,-53782
2012,TTWO,946581,-28802
2012,IT,749251,165903
2012,HAS,46080,335999
2012,ZBRA,877212,122904
2012,ALNY,1178670,-106014
2012,IEX,832101,37630
2012,VAR,203527,427049
2012,JKHY,779152,154984
2012,MKTX,1278021,60069
2012,NVR,906163,180588
2012,EPAM,1352010,54484
2012,RJF,720005,295869
2012,TER,97210,217049
2012,TXT,217346,589
2012,FICO,814547,92004
2012,VMW,1124610,745702
2012,LNC,59558,1313
2012,URI,1067701,75
2012,PODD,1145197,-51867
2012,Y,775368,702244
2012,AAL,6201,-1876
2012,DPZ,1286681,112392
2012,RE,1095073,828954
2012,PHM,822416,206145
2012,TSCO,916365,276457
2012,WRB,11544,510592
2012,FDS,1013237,188809
2012,HII,1501585,146
2012,PKI,31791,69940
2012,LKQ,1065696,261225
2012,AGNC,1423689,1277
2012,NDSN,72331,224829
2012,NBL,72207,1027
2012,CHRW,1043277,593804
2012,SIRI,908937,3472702
2012,MRO,101778,1582
2012,PKG,75677,163820
2012,JBHT,728535,310354
2012,NBIX,914475,5025
2012,OHI,888491,120698
2012,CSL,790051,270.2
2012,AAP,1158449,387670
2012,CGNX,851205,68098
2012,DVN,1090012,-206
2012,PTC,857005,-35398
2012,AZPN,929940,-13808
2012,POOL,945841,81972
2012,SRPT,873303,-121287
2012,LII,1069202,90
2012,ABMD,815094,1495
2012,G,1398659,178216
2012,LAMR,1090425,9821
2012,MOH,1179929,9790
2012,ALK,766421,316
2012,JAZZ,1232524,288586
2012,TPR,1116132,1038910
2012,NWL,814453,401.3
2012,OLED,1005284,9660
2012,TECH,842023,112331
2012,ST,1477294,177481
2012,FFIV,1048695,275186
2012,LPLA,1397911,151918
2012,FLIR,354908,222398
2012,KSS,885639,986
2012,PBCT,1378946,245.3
2012,EWBC,1069157,281650
2012,PFPT,1212458,-20360
2012,RHI,315213,209942
2012,SPR,1364885,34.8
2012,DCI,29644,264301
2012,POST,1530950,49.9
2012,PB,1068851,167901
2012,PVH,78239,317881
2012,CIEN,936395,-144021
2012,ORI,74260,-68.6
2012,CW,26324,113844
2012,MIDD,769520,120697
2012,MKSI,1049502,48029
2012,UNM,5513,894.4
2012,MDU,67716,-754
2012,TOL,794170,487146
2012,RL,1037038,681
2012,NATI,935494,90137
2012,CASY,726958,116791
2012,JBLU,1158463,128
2012,WSM,719955,236931
2012,NUAN,1002517,207135
2012,NXST,1142417,182492
2012,BPOP,763901,245275
2012,EXEL,939767,-147645
2012,THG,944695,55.9
2012,CREE,895419,44412
2012,AXS,1214816,547241
2012,PII,931015,312310
2012,M,794367,1256
2012,CFR,39263,237952
2012,HBI,1359841,164681
2012,SRC,1308606,25397
2012,NYCB,910073,501106
2012,ALSN,1411207,514.2
2012,BC,14930,71.9
2012,AWI,7431,131.3
2012,MTG,876437,-927079
2012,SKX,1065837,9512
2012,MANH,1056696,51853
2012,MAT,63276,776464
2012,SMG,825542,106.5
2012,AYI,1144215,116.3
2012,CRI,1060822,161150
2012,KNX,1492691,114589
2012,RP,1286225,5183
2012,HRB,12659,265932
2012,HP,46765,581045
2012,CACC,885550,219.7
2012,CR,25445,216993
2012,XEC,1168054,353823
2012,THO,730263,121739
2012,FL,850209,278
2012,JWN,72333,735
2012,PACW,1102112,56801
2012,FLO,1128928,136121
2012,HLF,1180262,477190
2012,MRNA,737207,-29424
2012,IART,917520,41204
2012,GPS,39911,1135
2012,CIM,1409493,137329
2012,FNB,37808,110410
2012,RYN,52827,278685
2012,LOPE,1434588,69447
2012,EXP,918646,18732
2012,NKTR,906709,-171855
2012,ICUI,883984,41281
2012,TKR,98362,495.5
2012,AVT,8858,567019
2012,FCNCA,798941,134348
2012,WTFC,1015328,111196
2012,NFG,70145,220077
2012,COHR,21510,62962
2012,CHH,1046311,120687
2012,MFA,1055160,306839
2012,MUR,717423,970876
2012,PEGA,1013857,21868
2012,UHAL,4457,205367
2012,APLE,1418121,75476
2012,BKU,1504008,211260
2012,MSM,1003078,259031
2012,ALKS,1520262,-113678
2012,ACHC,1520697,20403
2012,NEU,1282637,239593
2012,TDC,816761,419
2012,R,85961,209979
2012,OLN,74303,149.6
2012,S,101830,-4326
2012,THS,1320695,88363
2012,CLR,732834,739385
2012,AN,350698,316.4
2012,CMD,19446,31337
2012,WLK,1262823,385555
2012,WWE,1091907,31432
2012,MD,893949,240907
2012,NUS,1021561,221645
2012,URBN,912615,185251
2012,MCY,64996,116911
2012,TFSL,1381668,11479
2012,RRC,315852,13002
