year,Company,CIK,NetIncomeLoss
2015,AAPL,320193,53394000000
2015,AMZN,1018724,596000000
2015,FB,1326801,3688000000
2015,GOOGL,1652044,16348000000
2015,JPM,19617,24442000000
2015,JNJ,200406,15409000000
2015,INTC,50863,11420000000
2015,HD,354950,7009000000
2015,CSCO,858877,8981000000
2015,ADBE,796343,629551000
2015,BA,12927,5176000000
2015,MDT,1613103,2675000000
2015,NFLX,1065280,122641000
2015,CRM,1108524,-47426000
2015,NVDA,1045810,614000000
2015,AMGN,318154,6939000000
2015,NEE,753308,2752000000
2015,LLY,59478,2408400000
2015,TXN,97476,2986000000
2015,NKE,320187,3273000000
2015,ORCL,1341439,9938000000
2015,LMT,936468,3605000000
2015,TSLA,1318605,-888663000
2015,DHR,313616,3357400000
2015,LOW,60667,2546000000
2015,GS,886982,6083000000
2015,BDX,10795,695000000
2015,TJX,109198,2277658000
2015,SYK,310764,1439000000
2015,CB,896159,2834000000
2015,INTU,896878,365000000
2015,DUK,1326160,2816000000
2015,D,715957,1899000000
2015,ISRG,1035267,588800000
2015,NOW,1373715,-198426000
2015,AMAT,6951,1377000000
2015,NOC,1133421,1990000000
2015,SCHW,316709,1447000000
2015,APD,2969,1277900000
2015,AMD,2488,-660000000
2015,COF,927628,4050000000
2015,HUM,49071,1276000000
2015,LRCX,707549,655577000
2015,GD,40533,2965000000
2015,EOG,821189,-4524515000
2015,ATVI,718877,892000000
2015,ADSK,769397,-330500000
2015,BAX,10456,968000000
2015,ADI,6281,696878000
2015,ROST,745732,1020661000
2015,MAR,1048286,859000000
2015,ALL,899051,2171000000
2015,ROP,882835,696067000
2015,AFL,4977,2533000000
2015,XEL,72903,984485000
2015,FDX,1048911,1050000000
2015,CTSH,1058290,1623600000
2015,DAL,27904,4526000000
2015,WEC,783325,640300000
2015,TROW,1113169,1223000000
2015,EA,712515,875
2015,ORLY,898173,931216000
2015,JCI,833444,551000000
2015,TDG,1260221,447212000
2015,REGN,872589,636056000
2015,MSI,68505,610000000
2015,PEG,788784,1679000000
2015,LULU,1397187,266047000
2015,SBAC,1034054,-175656000
2015,PAYX,723531,674900000
2015,FLT,1175454,362431000
2015,KLAC,319201,366158000
2015,VRSK,1442145,507577000
2015,VFC,103379,1231593000
2015,TMUS,1283699,733000000
2015,AZO,866787,1160241000
2015,SWK,93556,883700000
2015,TWTR,1418091,-521031000
2015,DTE,936340,727000000
2015,CERN,804753,539362000
2015,CTAS,723254,430618000
2015,DFS,1393612,2297000000
2015,CSGP,1057352,-3465000
2015,RMD,943819,352886000
2015,ANSS,1013462,252521000
2015,SNPS,883241,225934000
2015,PANW,1327567,-164982000
2015,XLNX,743988,648216
2015,HSY,47111,512951000
2015,DXCM,1093557,-57600000
2015,FAST,815556,516361000
2015,GLW,24741,1339000000
2015,DLTR,935703,282400000
2015,ALGN,1097149,144020000
2015,CLX,21076,580000000
2015,CDNS,813672,252417000
2015,RCL,884887,665783000
2015,WDC,106040,1465000000
2015,NTRS,73124,973800000
2015,VEEV,1393052,54460000
2015,CDW,1402057,403100000
2015,MTD,1037646,352820000
2015,MXIM,743316,206038000
2015,DOV,29905,869829000
2015,FTNT,1262039,7987000
2015,MRVL,1058057,435346
2015,CINF,20286,634000000
2015,CXO,1358071,65900000
2015,TIF,98246,463900000
2015,KMX,1170010,597358
2015,RF,1281761,1062000000
2015,BMRN,1048477,-171799000
2015,CTL,18926,878000000
2015,ULTA,1403568,320008000
2015,XYL,1524472,340000000
2015,CAH,721371,1215000000
2015,CTXS,877890,319361000
2015,AKAM,1086222,321406000
2015,BURL,1579298,150482000
2015,WAB,943452,398628000
2015,DRI,940944,709500000
2015,HOLX,859737,131600000
2015,GRMN,1121788,456227000
2015,SSNC,1402436,42862000
2015,LNT,352541,388400000
2015,ABC,1140859,-134887000
2015,ATO,731802,315075000
2015,NTAP,1002047,559.9
2015,GPC,40987,705672000
2015,LNG,3570,-547932
2015,CBOE,1374310,205023000
2015,ANET,1596532,121102000
2015,SGEN,1060736,-120486000
2015,TTWO,946581,-279470
2015,IT,749251,175635000
2015,AMTD,1173431,813000000
2015,ZBRA,877212,-137000000
2015,QRVO,1604778,196303
2015,ALNY,1178670,-290073000
2015,IEX,832101,282807000
2015,TYL,860731,64869000
2015,JKHY,779152,211221000
2015,MKTX,1278021,96037000
2015,NVR,906163,382927000
2015,RJF,720005,502140000
2015,TER,97210,206477000
2015,TXT,217346,697000000
2015,FICO,814547,86502000
2015,VMW,1124610,997000000
2015,LNC,59558,1154000000
2015,URI,1067701,585000000
2015,PODD,1145197,-73520000
2015,AAL,6201,7610000000
2015,DPZ,1286681,192789000
2015,PHM,822416,494090000
2015,TSCO,916365,410395000
2015,WRB,11544,503694000
2015,BRO,79282,243318000
2015,HII,1501585,404000000
2015,BAH,1443646,232569
2015,PKI,31791,212425000
