year,Company,CIK,NetIncomeLoss
2018,AAPL,320193,59531000000
2018,AMZN,1018724,10073000000
2018,FB,1326801,22112000000
2018,GOOGL,1652044,30736000000
2018,JPM,19617,32474000000
2018,JNJ,200406,15297000000
2018,INTC,50863,21053000000
2018,HD,354950,11121000000
2018,CSCO,858877,110000000
2018,ADBE,796343,2590774000
2018,NFLX,1065280,1211242000
2018,CRM,1108524,1110000000
2018,NVDA,1045810,4141000000
2018,PYPL,1633917,2057000000
2018,AMGN,318154,8394000000
2018,UNP,100885,5966000000
2018,ABBV,1551152,5687000000
2018,LLY,59478,3232000000
2018,TXN,97476,5580000000
2018,LMT,936468,5046000000
2018,DHR,313616,2650900000
2018,AXP,4962,6921000000
2018,BDX,10795,311000000
2018,TJX,109198,2607948000
2018,SYK,310764,3553000000
2018,CB,896159,3962000000
2018,ANTM,1156039,3750000000
2018,INTU,896878,1211000000
2018,DUK,1326160,54000000
2018,D,715957,2447000000
2018,FISV,798354,1187000000
2018,NOW,1373715,-26704000
2018,AMAT,6951,3313000000
2018,NOC,1133421,3229000000
2018,SCHW,316709,3507000000
2018,APD,2969,1497800000
2018,AMD,2488,337000000
2018,EQIX,1101239,365359000
2018,COF,927628,6015000000
2018,HUM,49071,1683000000
2018,EOG,821189,3419040000
2018,ATVI,718877,1813000000
2018,ADSK,769397,-80800000
2018,ADI,6281,1495432000
2018,ROST,745732,1362753000
2018,MAR,1048286,1907000000
2018,ALL,899051,2252000000
2018,ROP,882835,944400000
2018,AFL,4977,2920000000
2018,XEL,72903,1261000000
2018,CTSH,1058290,2101000000
2018,DAL,27904,3935000000
2018,YUM,1041061,1542000000
2018,HPQ,47217,5327000000
2018,EA,712515,1043000000
2018,ORLY,898173,1324487000
2018,JCI,833444,2162000000
2018,TDG,1260221,957062000
2018,REGN,872589,2444400000
2018,MSI,68505,966000000
2018,PEG,788784,1438000000
2018,ES,72741,1040519000
2018,LULU,1397187,483801000
2018,SBAC,1034054,47451000
2018,FE,1031296,1348000000
2018,FLT,1175454,811483000
2018,KLAC,319201,802265000
2018,SQ,1512673,-38453000
2018,VRSK,1442145,598700000
2018,PPL,922224,1827000000
