year,Company,CIK,NetIncomeLoss
2011,AAPL,320193,25922
2011,JPM,19617,18976
2011,PG,80424,11797
2011,INTC,50863,12942
2011,UNH,731766,5142
2011,HD,354950,3883
2011,CSCO,858877,6490
2011,ADBE,796343,832847
2011,BA,12927,4018
2011,NFLX,1065280,226126
2011,NVDA,1045810,581090
2011,AMGN,318154,3683
2011,NEE,753308,1923
2011,UNP,100885,3292
2011,LLY,59478,4347.7
2011,TXN,97476,2236
2011,LMT,936468,2655
2011,TSLA,1318605,-254411
2011,DHR,313616,2172264
2011,AXP,4962,4935
2011,GS,886982,4442
2011,SYK,310764,1345
2011,CB,896159,1585
2011,ANTM,1156039,2646.7
2011,INTU,896878,634
2011,D,715957,1408
2011,FISV,798354,472
2011,ISRG,1035267,495.1
2011,AMAT,6951,1926
2011,SCHW,316709,864
2011,APD,2969,1224.2
2011,COF,927628,3147
2011,PGR,80661,1015.5
2011,HUM,49071,1419
2011,LRCX,707549,723748
2011,EOG,821189,1091123
2011,ADSK,769397,285.3
2011,ILMN,1110803,86628
2011,ADI,6281,867394
2011,ROST,745732,657170
2011,ALL,899051,788
2011,ROP,882835,427247
2011,AFL,4977,1964
2011,XEL,72903,841172
2011,CTSH,1058290,883618
2011,MPC,1510295,2389
2011,HPQ,47217,7074
2011,WEC,783325,526.2
2011,TROW,1113169,773.2
2011,EA,712515,-276
2011,ORLY,898173,507673
2011,JCI,833444,1733
2011,TDG,1260221,172134
2011,MSI,68505,1158
2011,PEG,788784,1503
2011,LULU,1397187,184063
2011,FLT,1175454,147335
2011,VRSK,1442145,282758
2011,PCAR,75362,1042.3
2011,TMUS,1283699,301310
2011,O,726728,157032
2011,AZO,866787,848974
2011,SWK,93556,674.6
2011,MCHP,827054,418950
2011,CERN,804753,306627
2011,AWK,1410636,309613
2011,MSCI,1408198,13824
2011,DFS,1393612,2226708
2011,CSGP,1057352,14656
2011,RMD,943819,226986
2011,ANSS,1013462,180675
2011,SNPS,883241,221364
2011,XLNX,743988,641875
2011,DXCM,1093557,-44746
2011,FAST,815556,357929
2011,GLW,24741,2805
2011,HIG,874766,662
2011,ALGN,1097149,66716
2011,CLX,21076,557
2011,CDNS,813672,72229
2011,CPRT,900075,166375
2011,RCL,884887,607421
2011,WDC,106040,726
2011,VMC,1396009,-70778
2011,CDW,1402057,17.1
2011,MTD,1037646,269493
2011,MXIM,743316,489009
2011,DOV,29905,895243
2011,COO,711404,175430
2011,MRVL,1058057,615091
2011,CINF,20286,166
2011,CXO,1358071,548137
2011,TIF,98246,439190
2011,RF,1281761,-215
2011,BMRN,1048477,-53836
2011,CTL,18926,573
2011,CAH,721371,959
2011,AKAM,1086222,200904
2011,WAB,943452,170149
2011,HOLX,859737,157150
2011,LDOS,1336920,59
2011,GRMN,1121788,520896
2011,SSNC,1402436,51021
2011,LNT,352541,321.9
2011,ABC,1140859,706624
2011,ATO,731802,207601
2011,NTAP,1002047,673.1
2011,SGEN,1060736,-152030
2011,IT,749251,136902
2011,AMTD,1173431,637753
2011,HAS,46080,385367
2011,ALNY,1178670,-57649
2011,IEX,832101,193857
2011,MKTX,1278021,47704
2011,NVR,906163,129420
2011,RJF,720005,278353
2011,TER,97210,373809
2011,AVY,8818,190.1
2011,FICO,814547,71562
2011,VMW,1124610,723936
2011,LNC,59558,294
2011,PODD,1145197,-57170
2011,Y,775368,143251
2011,DPZ,1286681,105361
2011,RE,1095073,-80486
2011,PHM,822416,-210388
2011,TSCO,916365,222740
2011,WRB,11544,394803
2011,BRO,79282,163995
2011,FDS,1013237,171046
2011,HII,1501585,-94
2011,PKI,31791,7655
2011,LKQ,1065696,210264
2011,AGNC,1423689,770480
2011,EMN,915389,696
2011,NDSN,72331,222364
2011,NBL,72207,453
2011,CHRW,1043277,431612
2011,SIRI,908937,426961
2011,MRO,101778,2946
2011,PKG,75677,158027
2011,WEX,1309108,133622
2011,JBHT,728535,257006
2011,RGA,898174,599620
2011,NBIX,914475,37571
2011,OHI,888491,52606
2011,CSL,790051,180.3
2011,AAP,1158449,394682
2011,DVN,1090012,4704
2011,PTC,857005,85424
2011,POOL,945841,71993
2011,LII,1069202,88.3
2011,G,1398659,184294
2011,LAMR,1090425,8550
2011,ALK,766421,244.5
2011,JAZZ,1232524,124984
2011,TPR,1116132,880800
2011,NWL,814453,125.2
2011,TECH,842023,112302
2011,ST,1477294,6474
2011,FFIV,1048695,241397
2011,LPLA,1397911,170382
2011,FLIR,354908,221474
2011,KSS,885639,1167
2011,PBCT,1378946,198.8
2011,EWBC,1069157,245234
2011,RHI,315213,149922
2011,DCI,29644,225291
2011,TCF,814184,109394
2011,PB,1068851,141749
2011,PVH,78239,317881
2011,CIEN,936395,-195521
2011,HZNP,1492426,-113265
2011,ORI,74260,-140.5
2011,CW,26324,130423
2011,DNKN,1357204,34442
2011,MIDD,769520,95473
2011,MKSI,1049502,129731
2011,UNM,5513,235.4
2011,TOL,794170,39795
2011,RL,1037038,567.6
2011,NATI,935494,94072
2011,CASY,726958,94623
2011,JBLU,1158463,86
2011,WSM,719955,236931
2011,NUAN,1002517,38238
2011,BPOP,763901,151325
2011,WAL,1212545,31494
2011,THG,944695,37.1
2011,CREE,895419,146500
2011,AXS,1214816,46305
2011,PII,931015,227575
2011,M,794367,1256
2011,CFR,39263,217535
2011,HBI,1359841,266688
2011,SRC,1308606,53809
2011,NYCB,910073,480037
2011,BC,14930,71.9
2011,AWI,7431,112.4
2011,MTG,876437,-485892
2011,SKX,1065837,-67484
2011,MANH,1056696,44907
2011,MAT,63276,768508
2011,SMG,825542,167.9
2011,AYI,1144215,105.5
2011,CRI,1060822,114016
2011,KNX,1492691,90550
2011,RP,1286225,-1231
2011,SLM,1032033,633
2011,CACC,885550,188044
2011,CR,25445,26315
2011,XEC,1168054,529932
2011,THO,730263,106273
2011,FL,850209,278
2011,JWN,72333,683
2011,PACW,1102112,50704
2011,HLF,1180262,412578
2011,STL,1070154,11739
2011,IART,917520,27989
2011,GPS,39911,833
2011,EQC,803649,109984
2011,FNB,37808,87047
2011,RYN,52827,276005
2011,LOPE,1434588,50546
2011,EXP,918646,14849
2011,NKTR,906709,-133978
2011,TKR,98362,454.3
2011,FCNCA,798941,195028
2011,WTFC,1015328,77575
2011,NFG,70145,258402
2011,CHH,1046311,110396
2011,CFX,1420800,4555
2011,MFA,1055160,316414
2011,MUR,717423,872702
2011,PEGA,1013857,10108
2011,APLE,1418121,69988
2011,BKU,1504008,119046
2011,MSM,1003078,218786
2011,ACHC,1520697,-34892
2011,NEU,1282637,206907
2011,COLM,1050797,103479
2011,TDC,816761,353
2011,R,85961,169777
2011,OLN,74303,241.7
2011,S,101830,-2890
2011,THS,1320695,94407
2011,CLR,732834,429072
2011,AN,350698,281.4
2011,WWE,1091907,24832
2011,UFS,1381531,365
2011,MD,893949,217997
2011,KOS,1509991,22357
2011,MCY,64996,191164
2011,TFSL,1381668,9340
