year,Company,CIK,NetIncomeLoss
2016,AAPL,320193,45687000000
2016,AMZN,1018724,2371000000
2016,FB,1326801,10217000000
2016,GOOGL,1652044,19478000000
2016,JPM,19617,24733000000
2016,JNJ,200406,16540000000
2016,INTC,50863,10316000000
2016,HD,354950,7957000000
2016,CSCO,858877,10739000000
2016,ADBE,796343,1168782000
2016,BA,12927,4895000000
2016,MDT,1613103,3538000000
2016,NFLX,1065280,186678000
2016,CRM,1108524,179632000
2016,NVDA,1045810,1666000000
2016,PYPL,1633917,1401000000
2016,AMGN,318154,7722000000
2016,NEE,753308,2912000000
2016,ABBV,1551152,5953000000
2016,LLY,59478,2737600000
2016,TXN,97476,3595000000
2016,LMT,936468,5302000000
2016,DHR,313616,2553700000
2016,LOW,60667,2546000000
2016,AXP,4962,5408000000
2016,GS,886982,7398000000
2016,BDX,10795,976000000
2016,TJX,109198,2298234000
2016,SYK,310764,1647000000
2016,CB,896159,4135000000
2016,ANTM,1156039,2469800000
2016,INTU,896878,979000000
2016,DUK,1326160,2152000000
2016,D,715957,2123000000
2016,ISRG,1035267,735900000
2016,NOW,1373715,-451804000
2016,AMAT,6951,1721000000
2016,NOC,1133421,2200000000
2016,SCHW,316709,1889000000
2016,APD,2969,631100000
2016,AMD,2488,-497000000
2016,COF,927628,3751000000
2016,HUM,49071,614000000
2016,GD,40533,2955000000
2016,EOG,821189,-1096686000
2016,ATVI,718877,966000000
2016,ADSK,769397,-582100000
2016,BAX,10456,4965000000
2016,ADI,6281,861664000
2016,ROST,745732,1117654000
2016,MAR,1048286,780000000
2016,ALL,899051,1877000000
2016,ROP,882835,658645000
2016,AFL,4977,2659000000
2016,XEL,72903,1123379000
2016,CTSH,1058290,1553000000
2016,DAL,27904,4373000000
2016,YUM,1041061,1619000000
2016,HPQ,47217,2496000000
2016,EA,712515,1156000000
2016,ORLY,898173,1037691000
2016,JCI,833444,-868000000
2016,TDG,1260221,586414000
2016,REGN,872589,895522000
2016,PEG,788784,887000000
2016,ES,72741,949821000
2016,LULU,1397187,303381000
2016,SBAC,1034054,76238000
2016,FLT,1175454,452385000
2016,SQ,1512673,-171590000
2016,VRSK,1442145,591200000
2016,PCAR,75362,521700000
2016,VFC,103379,1074106000
2016,TMUS,1283699,1460000000
2016,AZO,866787,1241007000
2016,SWK,93556,965300000
2016,TWTR,1418091,-456873000
2016,DTE,936340,868000000
2016,CERN,804753,636484000
2016,DFS,1393612,2393000000
2016,CSGP,1057352,85071000
2016,ANSS,1013462,265636000
2016,PXD,1038357,-556000000
2016,SNPS,883241,266826000
2016,PANW,1327567,-225900000
2016,XLNX,743988,550867000
2016,HSY,47111,720044000
2016,DXCM,1093557,-65600000
