year,Company,CIK,NetIncomeLoss
2014,AAPL,320193,39510
2014,AMZN,1018724,-241
2014,FB,1326801,2940
2014,JPM,19617,21762
2014,INTC,50863,11704
2014,HD,354950,6345
2014,CSCO,858877,7853
2014,ADBE,796343,268395
2014,BA,12927,5446
2014,NFLX,1065280,266799
2014,CRM,1108524,-262688
2014,NVDA,1045810,630587
2014,AMGN,318154,5158
2014,NEE,753308,2465
2014,UNP,100885,5180
2014,LLY,59478,2390.5
2014,TXN,97476,2821
2014,LMT,936468,3614
2014,TSLA,1318605,-294040
2014,DHR,313616,2598.4
2014,LOW,60667,2698
2014,GS,886982,8477
2014,BDX,10795,1185
2014,TJX,109198,2215128
2014,SYK,310764,515
2014,CB,896159,2853
2014,ANTM,1156039,2569.7
2014,INTU,896878,907
2014,DUK,1326160,1883
2014,D,715957,1310
2014,FISV,798354,754
2014,ISRG,1035267,418.8
2014,AMAT,6951,1072
2014,NOC,1133421,2069
2014,SCHW,316709,1321
2014,APD,2969,991.7
2014,AMD,2488,-403
2014,COF,927628,4428
2014,PGR,80661,1281
2014,HUM,49071,1147
2014,LRCX,707549,632289
2014,GD,40533,2533
2014,EOG,821189,2915487
2014,ATVI,718877,835
2014,ADSK,769397,81.8
2014,BAX,10456,2497
2014,ILMN,1110803,353351
2014,ADI,6281,629320
2014,ROST,745732,924724
2014,MAR,1048286,753
2014,ALL,899051,2850
2014,ROP,882835,646033
2014,AFL,4977,2951
2014,XEL,72903,1021306
2014,CTSH,1058290,1439267
2014,DAL,27904,659
2014,WEC,783325,588.3
2014,TROW,1113169,1229.6
2014,STZ,16918,1943.1
2014,ORLY,898173,778182
2014,JCI,833444,1838
2014,TDG,1260221,306910
2014,REGN,872589,348074
2014,MSI,68505,1299
2014,PEG,788784,1518
2014,FLT,1175454,368707
2014,KLAC,319201,582755
2014,VRSK,1442145,400042
2014,TMUS,1283699,247
2014,AZO,866787,1069744
2014,SWK,93556,760.9
2014,TWTR,1418091,-577820
2014,MCHP,827054,395281
2014,CERN,804753,525433
2014,AWK,1410636,423108
2014,MSCI,1408198,284113
2014,DFS,1393612,170
2014,CSGP,1057352,44869
2014,RMD,943819,345273
2014,ANSS,1013462,254690
2014,PANW,1327567,-226452
2014,XLNX,743988,630388
2014,HSY,47111,846912
2014,DXCM,1093557,-22.4
2014,FAST,815556,494150
2014,GLW,24741,2472
2014,DLTR,935703,599.2
2014,ALGN,1097149,145832
2014,CLX,21076,558
2014,CDNS,813672,158898
2014,RCL,884887,764146
2014,WDC,106040,1617
2014,VEEV,1393052,23615
2014,VMC,1396009,204923
2014,CDW,1402057,244.9
2014,MTD,1037646,338241
2014,MXIM,743316,354810
2014,DOV,29905,775235
2014,FTNT,1262039,25343
2014,MRVL,1058057,435346
2014,CINF,20286,525
2014,RF,1281761,1155
2014,BMRN,1048477,-133969
2014,CTL,18926,772
2014,ULTA,1403568,202849
2014,XYL,1524472,337
2014,CAH,721371,1166
2014,RNG,1384905,-48340
2014,CTXS,877890,251723
2014,AKAM,1086222,333948
2014,BURL,1579298,65955
2014,WAB,943452,351680
2014,HOLX,859737,17.3
2014,GRMN,1121788,364211
2014,SSNC,1402436,131127
2014,LNT,352541,393.3
2014,ABC,1140859,276484
2014,ATO,731802,289817
2014,NTAP,1002047,637.5
2014,LNG,3570,-547932
2014,ANET,1596532,86850
2014,SGEN,1060736,-76141
2014,TTWO,946581,361605
2014,IT,749251,183766
2014,AMTD,1173431,787
2014,ZBRA,877212,32429
2014,ALNY,1178670,-360395
2014,IEX,832101,279386
2014,VAR,203527,403703
2014,TYL,860731,58940
2014,JKHY,779152,201136
2014,MKTX,1278021,74806
2014,NVR,906163,281630
2014,TER,97210,81272
2014,TXT,217346,600
2014,FICO,814547,94879
2014,VMW,1124610,886
2014,LNC,59558,1515
2014,URI,1067701,540
2014,PODD,1145197,-51500
2014,AAL,6201,2882
2014,DPZ,1286681,162587
2014,PHM,822416,474338
2014,TSCO,916365,370885
2014,WRB,11544,648884
2014,BRO,79282,206896
2014,FDS,1013237,211543
2014,HII,1501585,338
2014,BAH,1443646,232188
2014,PKI,31791,157778
2014,LKQ,1065696,381519
2014,AGNC,1423689,-233
2014,NDSN,72331,246773
2014,NBL,72207,1214
2014,CHRW,1043277,449711
2014,SIRI,908937,493241
2014,MRO,101778,3046
2014,PKG,75677,392.6
2014,ZEN,1463172,-67415
2014,GLPI,1575965,185384
2014,JBHT,728535,374792
2014,RGA,898174,684047
2014,NBIX,914475,-60542
2014,CSL,790051,251.3
2014,AAP,1158449,493825
2014,CGNX,851205,121485
2014,PTC,857005,160194
2014,AZPN,929940,85783
2014,SRPT,873303,-135789
2014,LII,1069202,205.8
2014,ABMD,815094,7351
2014,XPO,1166003,-63.6
2014,G,1398659,192002
2014,AIZ,1267238,470907
2014,LAMR,1090425,253518
2014,MOH,1179929,62223
2014,ALK,766421,605
2014,TPR,1116132,781336
2014,MPWR,1280452,35495
2014,OLED,1005284,41854
2014,TECH,842023,110948
2014,JNPR,1043604,-334.3
2014,ST,1477294,283749
2014,FFIV,1048695,311183
2014,LPLA,1397911,178043
2014,PRGO,1585364,-205.3
2014,FLIR,354908,200261
2014,KSS,885639,867
2014,HUBS,1404655,-48229
2014,PBCT,1378946,251.7
2014,EWBC,1069157,342483
2014,PFPT,1212458,-64239
2014,RHI,315213,305928
2014,SPR,1364885,358.8
2014,DCI,29644,260224
2014,POST,1530950,-343.2
2014,TCF,814184,174187
2014,PB,1068851,297441
2014,CIEN,936395,-40637
2014,ORI,74260,409.7
2014,WWD,108312,165844
2014,FIVE,1177609,48024
2014,CW,26324,113338
2014,MIDD,769520,193312
2014,MKSI,1049502,115778
2014,UNM,5513,413.4
2014,BRX,1581068,132851
2014,W,1616707,-148098
2014,TOL,794170,340032
2014,RL,1037038,776
2014,NATI,935494,126333
2014,CASY,726958,126820
2014,JBLU,1158463,401
2014,BERY,1378992,62
2014,WSM,719955,278902
2014,NUAN,1002517,-150343
2014,NXST,1142417,64550
2014,BPOP,763901,-313490
2014,WAL,1212545,147951
