year,Company,CIK,NetIncomeLoss
2013,AAPL,320193,37037
2013,AMZN,1018724,274
2013,FB,1326801,1500
2013,JPM,19617,17923
2013,INTC,50863,9620
2013,HD,354950,5385
2013,CSCO,858877,9983
2013,ADBE,796343,289985
2013,BA,12927,4585
2013,NFLX,1065280,112403
2013,CRM,1108524,-232175
2013,NVDA,1045810,439990
2013,AMGN,318154,5081
2013,NEE,753308,1908
2013,UNP,100885,4388
2013,LLY,59478,4684.8
2013,TXN,97476,2162
2013,LMT,936468,2981
2013,TSLA,1318605,-74014
2013,DHR,313616,2695
2013,AXP,4962,5359
2013,GS,886982,8040
2013,SYK,310764,1006
2013,CB,896159,3758
2013,ANTM,1156039,2489.7
2013,INTU,896878,858
2013,FISV,798354,648
2013,ISRG,1035267,671
2013,NOW,1373715,-6684
2013,AMAT,6951,256
2013,APD,2969,994.2
2013,AMD,2488,-83
2013,COF,927628,4159
2013,PGR,80661,1165.4
2013,HUM,49071,1231
2013,LRCX,707549,113879
2013,GD,40533,2357
2013,EOG,821189,2197109
2013,ADSK,769397,228.8
2013,ILMN,1110803,125308
2013,ADI,6281,673487
2013,ROST,745732,786763
2013,MAR,1048286,626
2013,ALL,899051,2280
2013,ROP,882835,538293
2013,AFL,4977,3158
2013,OXY,797468,5903
2013,XEL,72903,948234
2013,CTSH,1058290,1228578
2013,DAL,27904,10540
2013,WEC,783325,577.4
2013,TROW,1113169,1047.7
2013,EA,712515,98
2013,ORLY,898173,670292
2013,JCI,833444,536
2013,TDG,1260221,302789
2013,REGN,872589,424362
2013,MSI,68505,1099
2013,PEG,788784,1243
2013,FLT,1175454,284501
2013,MCK,927653,1338
2013,KLAC,319201,543149
2013,VRSK,1442145,348380
2013,PCAR,75362,1111.6
2013,TMUS,1283699,35
2013,AZO,866787,1016480
2013,SWK,93556,490.3
2013,MCHP,827054,127389
2013,CERN,804753,398354
2013,AWK,1410636,369264
2013,MSCI,1408198,222557
2013,DFS,1393612,170
2013,CSGP,1057352,29734
2013,RMD,943819,307133
2013,ANSS,1013462,245327
2013,PANW,1327567,-29246
2013,XLNX,743988,487536
2013,HSY,47111,820470
2013,DXCM,1093557,-29.8
2013,FAST,815556,448636
2013,GLW,24741,1961
2013,DLTR,935703,596.7
2013,ALGN,1097149,64295
2013,CLX,21076,572
2013,CDNS,813672,164243
2013,RCL,884887,473692
2013,WDC,106040,980
2013,VEEV,1393052,23615
2013,CDW,1402057,132.8
2013,MTD,1037646,306094
2013,MXIM,743316,454912
2013,DOV,29905,1003129
2013,FTNT,1262039,44273
2013,MRVL,1058057,315320
2013,CINF,20286,517
2013,CXO,1358071,251003
2013,TIF,98246,416157
2013,KMX,1170010,434284
2013,RF,1281761,1122
2013,BMRN,1048477,-176353
2013,CTL,18926,-239
2013,CAH,721371,334
2013,RNG,1384905,-46098
2013,AKAM,1086222,293487
2013,BURL,1579298,16150
2013,WAB,943452,292235
2013,HBAN,49196,638741
2013,HOLX,859737,-1172838
2013,LDOS,1336920,164
2013,GRMN,1121788,612412
2013,SSNC,1402436,117895
2013,LNT,352541,376.2
2013,ABC,1140859,433707
2013,ATO,731802,243194
2013,NTAP,1002047,505.3
2013,LNG,3570,-332780
2013,SGEN,1060736,-62520
2013,TTWO,946581,-29491
2013,IT,749251,182801
2013,AMTD,1173431,675
2013,ZBRA,877212,134358
2013,ALNY,1178670,-89225
2013,IEX,832101,255215
2013,VAR,203527,438248
2013,TYL,860731,39101
2013,JKHY,779152,176645
2013,MKTX,1278021,76016
2013,NVR,906163,266477
2013,EPAM,1352010,61994
2013,RJF,720005,367154
2013,TER,97210,164947
2013,TXT,217346,498
2013,FICO,814547,90095
2013,VMW,1124610,1014
2013,LNC,59558,1244
2013,URI,1067701,387
2013,PODD,1145197,-44974
2013,AAL,6201,-1834
2013,DPZ,1286681,142985
2013,PHM,822416,2620116
2013,TSCO,916365,328234
2013,WRB,11544,499925
2013,BRO,79282,217112
2013,FDS,1013237,198637
2013,HII,1501585,261
2013,BAH,1443646,219058
2013,PKI,31791,167212
2013,LKQ,1065696,311623
2013,AGNC,1423689,1259
2013,NDSN,72331,221817
2013,NBL,72207,978
2013,CHRW,1043277,415904
2013,SIRI,908937,377215
2013,MRO,101778,1753
2013,PKG,75677,436283
2013,GLPI,1575965,19830
2013,JBHT,728535,342382
2013,RGA,898174,418837
2013,NBIX,914475,-46090
2013,OHI,888491,172521
2013,CSL,790051,209.7
2013,AAP,1158449,391758
2013,DVN,1090012,-20
2013,PTC,857005,143769
2013,AZPN,929940,45262
2013,POOL,945841,97330
2013,SRPT,873303,-111985
2013,LII,1069202,171.8
2013,ABMD,815094,15014
2013,XPO,1166003,-48530
2013,G,1398659,229717
2013,LAMR,1090425,40139
2013,MOH,1179929,52929
2013,ALK,766421,508
2013,JAZZ,1232524,216312
2013,TPR,1116132,1034420
2013,NWL,814453,474.6
2013,OLED,1005284,74052
2013,TECH,842023,112561
2013,ST,1477294,188125
2013,FFIV,1048695,277314
2013,LPLA,1397911,181857
2013,FLIR,354908,177015
2013,KSS,885639,889
2013,PBCT,1378946,232.4
2013,EWBC,1069157,295045
2013,PFPT,1212458,-27531
2013,RHI,315213,252195
2013,SPR,1364885,-621.4
2013,DCI,29644,247377
2013,POST,1530950,15.2
2013,TCF,814184,151668
2013,PB,1068851,221398
2013,CIEN,936395,-85431
2013,ORI,74260,447.8
2013,WWD,108312,145942
2013,FIVE,1177609,32142
2013,CW,26324,137981
2013,MIDD,769520,153928
2013,MKSI,1049502,35776
2013,UNM,5513,858.1
2013,TOL,794170,170606
2013,RL,1037038,750
2013,NATI,935494,80513
2013,CASY,726958,110625
2013,JBLU,1158463,168
2013,BERY,1378992,57
2013,WSM,719955,256730
2013,NUAN,1002517,-115238
2013,NXST,1142417,-1785
2013,BPOP,763901,599327
2013,WAL,1212545,114523
2013,EXEL,939767,-244760
2013,THG,944695,251
2013,CREE,895419,86925
2013,AXS,1214816,727465
2013,PII,931015,377292
2013,M,794367,1335
2013,CFR,39263,237866
2013,HBI,1359841,330494
2013,SRC,1308606,1677
2013,NYCB,910073,475547
2013,ALSN,1411207,165.4
2013,BC,14930,769.2
2013,BLUE,1293971,-25321
2013,ZNGA,1439404,-36982
2013,AWI,7431,94.1
2013,MTG,876437,-49848
2013,MANH,1056696,67296
2013,MAT,63276,903944
2013,SMG,825542,161.1
2013,AYI,1144215,127.4
2013,CRI,1060822,160407
2013,KNX,1492691,155422
2013,RP,1286225,20692
2013,HP,46765,736639
2013,CACC,885550,219.7
2013,CR,25445,219502
2013,LSTR,853816,146009
2013,XEC,1168054,564689
2013,THO,730263,152862
2013,FL,850209,429
2013,JWN,72333,734
2013,PACW,1102112,45115
2013,STL,1070154,25254
2013,LOGM,1420302,-7682
2013,IART,917520,-16977
2013,GPS,39911,1280
2013,CIM,1409493,327767
2013,FNB,37808,117804
2013,LOPE,1434588,88711
2013,EXP,918646,57744
2013,NKTR,906709,-162013
2013,ICUI,883984,40418
2013,TKR,98362,262.7
2013,AVT,8858,450073
2013,FCNCA,798941,167699
2013,NFG,70145,260001
2013,COHR,21510,66355
2013,MFA,1055160,302709
2013,MUR,717423,1123473
2013,PEGA,1013857,38043
2013,APLE,1418121,115222
2013,BKU,1504008,208936
2013,FEYE,1370880,-120635
2013,MSM,1003078,237995
2013,AGIO,1439222,-39407
2013,ACHC,1520697,42579
2013,NEU,1282637,264742
2013,TDC,816761,377
2013,KAR,1395942,67.7
2013,R,85961,237792
2013,OLN,74303,178.6
2013,THS,1320695,86988
2013,CLR,732834,764219
2013,AN,350698,374.9
2013,WLK,1262823,610425
2013,WWE,1091907,2764
2013,UFS,1381531,91
2013,MD,893949,280517
2013,NUS,1021561,364888
2013,URBN,912615,237314
2013,SFM,1575515,51326
2013,MCY,64996,112143
2013,TFSL,1381668,55959
2013,RRC,315852,115722
